DocID,TableNum,Columns,class
10232,1,['Unnamed: 0' '2880M ' '2881M ' '2882M ' '2883M ' '2884M ' '2885M '],0
103455,1,['1. Overview ' '1 '],0
103455,2,"['Unnamed: 2' 'w ' 'NORM3186 ' 'Unnamed: 5' 'Unnamed: 6' 'Unnamed: 7'
 'w .1' 'NORM3187 ' 'Unnamed: 10' 'Unnamed: 11' 'V ' 'Unnamed: 13'
 'NORM3188 ' 'Unnamed: 15' 'Z v ']",0
103455,3,"['Tenure Type ' 'Tenure Number ' 'Status ' 'Date Granted ' 'Date Expires '
 'Principal Holder ' 'No. Sub-blocks ']",
103455,4,"['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 2' 'Unnamed: 3' 'Unnamed: 4'
 'Unnamed: 5' 'Unnamed: 6' 'Unnamed: 7' 'PLim ' 'Unnamed: 10']",
105472,1,['1 EPM26324 Tenure '],
105472,2,['1 SUMMARY '],
105472,3,"['Tenement ' 'Holder ' 'Date of Grant ' 'Original Sub- blocks '
 'Sub-blocks retained ' 'Sub-blocks relinquished ']",
105472,4,"['F ' 'G ' 'H ' 'J ' 'K ' 'F .1' 'G L ' 'H .1' 'J .1' 'K .1' 'F .2' 'G .1'
 'H .2' 'J .2']",
105814,1,['1 Introduction ' 'Unnamed: 1'],
105814,2,"['Figure 1: EPM 16203 ""Mt Success"" Location Map 6 ']",
105814,3,['BIM ' 'Block ' 'Sub-blocks '],
105814,4,['BIM ' 'Block ' 'Sub-blocks '],
111200,1,['Summary ' '3 '],
111218,1,['INTRODUCTION ' '1 '],
111218,2,['Figure 1: Regional location plan of tenement EPM 8608 '],
111218,3,['EPM ' 'NAME ' 'LICENCEE ' 'SUB-BLOCKS ' 'FROM ' 'TO '],
111218,4,"['CLON105H X ' 'CLON105J ' 'CLON105K ' 'CLON1O6F ' 'Unnamed: 5'
 'CLON106G ' 'CLON106H ']",
11128,1,['l. SUMMARY ' '1 '],
11128,2,"['Cainozoic ' 'Cza ' 'Alluvial sand gravel, silt and clay ']",
11129,1,['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 2' 'Unnamed: 3' '$ 2 OOO '],
11129,2,"['2. Graphic Lithological logs:- ' 'Unnamed: 1' 'a) ' 'NW ' '25 : '
 'NW .1' '26 ']",
11148,1,['Unnamed: 0' 'Page '],
11148,2,"['8 ' 'Unnamed: 2' 'Unnamed: 3' 'Unnamed: 4' 'Unnamed: 5' 'Unnamed: 6'
 'Unnamed: 7' 'Unnamed: 8' 'Unnamed: 10' '26"" 15 ']",
11148,3,"['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 2' 'Unnamed: 4' 'Unnamed: 5'
 'Unnamed: 6']",
11148,4,['Doncaster Mbr and Bungil Fm X ' 'Unnamed: 1' 'Fault '],
11148,5,"['Depth in metres to top of :- Drillhole ' 'Gubberamunda Sandstone '
 'Westbourne Formation ' 'Springbok Sandstone ' 'Walloon Coal Measures ']",
11148,6,['Unnamed: 0' 'Block ' 'Sub-Block '],
112814,1,['INTRODUCTION ' '4 '],
112814,2,['1 LOCATION MAP OF EPC 25625 SUTTOR 5 '],
112814,3,['Mining Lease Application ' 'Principal Road '],
112814,4,['Blocks ' 'sub-blocks '],
112814,5,['Blocks ' 'sub-blocks '],
112814,6,"['R ' 'S S ' 'T ' 'U ' 'Q ' 'R .1' 'S ' 'T .1' 'U .1' 'Q .1' 'R .2' 'S .1'
 'T .2' 'U .2' 'Q .2' 'R .3' 'S .2' 'T .3' 'U .3' 'D ' 'R S ']",
112814,7,['AGE ' 'GROUP ' 'FORMATION ' 'MAIN COAL '],
113294,1,"['Document Title: '
 'Exploration Permit for Minerals (EPM) 15356 Partial Relinquishment Report for Period Ending 14 May 2019 ']",
113294,2,['Recipient ' 'Distribution Methods '],
113294,3,['Issue ' 'Description ' 'Date ' 'Author ' 'Reviewer '],
113294,4,['Queensland ' 'South Australia '],
113294,5,['Summary '],
113294,6,['BIM Code ' 'Block Number ' 'Sub-blocks '],
113294,7,['EPM No. ' '15356 '],
113294,8,['Unnamed: 5' 'Unnamed: 6' 'Unnamed: 7'],
115049,1,['Type and number of Tenure ' 'ATP1056 '],
11527,1,['SUMMARY ' 'I '],
11527,2,['FIGURE NO. ' 'TITLE ' 'DRAWING NO. '],
11527,3,['TABLE NO. ' 'Unnamed: 1' 'PAGE NO. '],
11527,4,"['SIX MONTH PERIOD ENDED ' 'NO. HOLES DRILLED ' 'NO. GEOPHYS. LOGGED '
 'CHIP (m) ' 'CORE (63 mm) ' 'REMARKS ']",
11527,5,"['Type of Drillhole ' 'No. of Holes ' 'No. of Metres Chip Drilled '
 'No. of Metres Cored ']",
11527,6,"['Rotary Chip Hole ' 'TD (m) ' 'Partly Cored Drilthole (63 mm) '
 'TD (m) .1']",1
11527,7,['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 2' 'TABLE ' 'Unnamed: 4'],
11527,8,"['R.F.A. NO. ' 'DATE SUBMITTED ' 'DRILLHOLE ' 'Unnamed: 3'
 'ANALYSIS CONDUCTED ']",1
11527,9,"['JONES, G.D. ' '1978 '
 'Thiess Bros. Pty. Limited - Miing Division for Brigalow Mines Pty. Ltd. AP 230C Hornet Bank. Exploration Progress Report on 6 month period ended 14th December, 1978. ']",
1229,1,['Bendaaticeras ' 'flindersi ' '(Me Coy) '],
1229,2,"['Laing, ' 'A.C.M. '
 'and Powr, P.L. 1960. Carpentarin Sub-bain: In the Geoloey of Qucnsland, Jour. Geo1. Soc. hust. vol. 7, P. 324 ']",
13687,1,"['Cretaceous ' 'Hecate Granite (Kh) '
 'Granodiorite and late stage leucocratic phases. ']",
13687,2,"['Unnamed: 0' 'Authority to Prospect 2126M, 1980-81. ']",
15042,1,['Unnamed: 0' 'PAGE NO. '],
15042,2,['Unnamed: 0' 'ENCLOSURE NO. '],
15042,3,['APPENDICES ' 'APPENDIX NO. '],
15042,4,['Hartogen Energy (Q1d) Limited ' '20.0% '],
15568,1,['Author : ' 'J.M. Hammond (AUSTAMAX) ' 'Distribution ' 'Unnamed: 3'],
15568,2,['Unnamed: 0' 'PAGE '],
15568,3,"['PLAN ' '1 ' 'Mt. Coolon (contours) '
 'North, Residual Magnetic Intensity Sheet 1, 1:25000. ']",
15648,1,['SUMMARY ' '1 '],
15648,2,['SURVEY ' 'YEAR ' 'OPERATOR ' 'SOURCE ' 'FOLD '],
15648,3,"['COVERAGE ' ': 1200%, 120 channel ']",
15648,4,['AUTHOR: ' 'J. Lamberto '],
15648,5,"['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 2' 'Unnamed: 3' 'Unnamed: 4'
 'Unnamed: 5']",
15648,6,"['EROMANGA ' 'BASIN ' 'Unnamed: 3' 'GLOBAL ' 'EUSTATIC ' 'Unnamed: 6'
 'CYCLES ' 'Unnamed: 8']",
17077,1,['Unnamed: 0' 'Pages '],
17077,2,"['Unnamed: 2' 'Unnamed: 3' 'Unnamed: 4' '208 $ ' 'v ' 'Unnamed: 7'
 'Unnamed: 8' 'Unnamed: 9' 'Ut 2017 ' 'HS PINE ' 'MIN ' 'ina Poin '
 'Unnamed: 15' '2027 ' 'Hedvey Is vear Bay ']",
17077,3,['Clermont ' 'Unnamed: 1'],
17077,4,['Blocks Clermont ' 'Sub-blocks ' 'Total '],
17077,5,['Unnamed: 0' 'Unnamed: 1' 'REFERENCES '],
17077,6,"['Dunstan, B. ' '1916 '
 'Queensland Mineral Deposits: a Review of Occurrences, Production, Values and Prospects. Magnesite, Dolomite and Magnesium Salts. ,. Qld. Govt. Min. J. 17, pp 529-533 ']",
17077,7,"['Murriyg CAG. ' '1975(a (ia) '
 'eology: of the BRIty (1 inten $:50,000 Sheet Atag SFY569. Espianatory Nobes.. ENEw Min.. Rese eol. Geophy AI ']",
20170,1,"['Trench ' 'Volume* (m3) ' 'Grade (g/m3) ' 'Using 0.1g/m3 Volume* (m3) '
 'Cut-off Gradet (g/m3) ' 'Using 0.2g/m3 Volume*Gradel (m3) '
 'Cut-off (/m3) ']",
20170,2,"['Sample ' 'Est. Vol (m3 ) ' 'Bullion (g) ' 'Rec.Au (g) * '
 'Grade (g/* ) ']",
20616,1,['Figure No. ' 'Title ' 'Scale ' 'Pian No. '],
20616,2,['1. ' 'Reconnaissance Soil Traverse '],
20616,3,['1. ' 'Stream Sediment Analytical Data '],
20616,4,['SAMPLE NO. ' 'Au (ppb) ' 'As (ppm) '],
20616,5,['SAMPLE NO. ' 'Au (ppb) ' 'As (ppm) ' 'TI (ppb) '],
20616,6,['Unnamed: 0' '$ '],
20616,7,['Map Ref. ' 'SE55-13 '],
21622,1,['Unnamed: 0' 'Page '],
21622,2,['Unnamed: 0' 'Unnamed: 1' 'Following Page '],
21622,3,['Block ' 'Sub-Blocks '],
21622,4,['GROUP 1 ' 'Sub-Blocks '],
21622,5,['Somple No. ' 'Width (m) ' 'Au ppm ' 'As ppm ' 'Pb ppm ' 'Sb ppm '],
21622,6,['Unnamed: 0' '0-030 ' '015 ' '0200 ' '220 ' '65 ' 'Unnamed: 7'],
21659,1,['1. INTRODUCTION ' '1 '],
21659,2,"['FIGURE ' '1 ' 'Tenement History A to P 5899M Stockman Creek A4-1074 '
 'Opposite page 1 ']",
21659,3,['Normanton ' 'Unnamed: 1'],
21659,4,"['Instrument: '
 'SIROTEM Mk2 receiver and RVR-2 coil receiver SATX crystal synchronized transmitter ']",
21659,5,"['LINE ' 'STATION ' 'TIME CONSTANT (msec) ' 'ANOMALY WIDTH (m) '
 'PRIORITY ']",
21659,6,['Grid: ' 'Stockman '],
21659,7,['Detailed ' 'survey ' 'over ' 'conductors ' 'Unnamed: 4'],
21838,1,['Unnamed: 0' 'Unnamed: 2' 'Unnamed: 3' 'Unnamed: 4' 'Following '],
21899,1,['1. INTRODUCTION ' '1 '],
21899,2,"['Unnamed: 0' 'Unnamed: 2' 'Unnamed: 3' 'Unnamed: 4' 'Unnamed: 5'
 'Unnamed: 6' 'Unnamed: 7' 'Unnamed: 8' 'Unnamed: 9' 'Unnamed: 10'
 'Unnamed: 11' 'Unnamed: 12' 'A to ' '8 ' 'Unnamed: 16']",
21899,3,"['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 2' 'Unnamed: 3' 'Unnamed: 4'
 'Unnamed: 5' 'Unnamed: 6']",
21899,4,['Prepared: :L Haas ' 'Date: July 1990 ' 'Unnamed: 2'],
22568,1,['INTRODUCTION ' '1 '],
22568,2,['Appendix 1 ' 'Geological Drill Logs and Analytical Results HLR01-21 '],
22570,1,['INTRODUCTION ' '1 '],
22570,2,['follow-up stream ' 'The '],
22701,1,['Traverse ' 'Hole No. ' 'From ' 'To ' 'No. of Metres ' 'HM % '],1
22701,2,"['1.9 ' 'Unnamed: 1' 'Unnamed: 2' 'Unnamed: 3' 'Unnamed: 4' 'Unnamed: 5'
 'Unnamed: 6' 'Unnamed: 7' 'Unnamed: 8' 'Unnamed: 9']",
23067,1,"['Figure ' '2 ' 'Ground ' 'Magnetic ' 'Profile, ' 'Traverse ' 'Al '
 'Line ' '5000N ']",
23067,2,"['Figure 19 Ground ' 'Magnetic ' 'Profile, ' 'Traverse ' 'A21 ' 'Line '
 '5000N ']",
23067,3,"['Figure ' '37 ' 'Ground Magnetic Profile, Traverse ' 'A41 ' 'Line '
 '5000N ']",
23067,4,['BLOCK ' 'SUB-BLOCKS '],
23067,5,"['1933 ' 'a,f,1,g,r,V,w,x 1 q, W,X ']",
23067,6,"['INGRAM P '
 'January 1979 Annual Report for Authority to Prospect 1894M. CR 7080. ']",
23067,7,[],
23067,8,['Unnamed: 3'],
23067,9,['Unnamed: 3' 'Unnamed: 5' 'Unnamed: 6' 'Unnamed: 8'],
23067,10,['Unnamed: 0'],
23067,11,[],
23067,12,['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 4' 'Unnamed: 5'],
23067,13,[],
23067,14,[],
23067,15,[],
23067,16,[],
23067,17,['Unnamed: 1' 'Unnamed: 5'],
23067,18,['Unnamed: 3'],
23067,19,['Unnamed: 3'],
23067,20,['Unnamed: 0' 'Unnamed: 4'],
23067,21,[],
23067,22,[],
23067,23,['Unnamed: 0'],
23067,24,['Unnamed: 2' 'Unnamed: 6' 'Unnamed: 8'],
23067,25,[],
23067,26,[],
23067,27,['Unnamed: 1' 'Unnamed: 3' 'Unnamed: 5'],
23067,28,['Unnamed: 2'],
23067,29,['Unnamed: 3' 'Unnamed: 4' 'M ' 'Unnamed: 6'],
23067,30,['Unnamed: 2' 'Unnamed: 3'],
23067,31,['Unnamed: 2'],
23067,32,['Unnamed: 2' 'Unnamed: 3' 'Unnamed: 6' 'Unnamed: 7' 'Unnamed: 8'],
23067,33,['Unnamed: 0' 'Unnamed: 4'],
23067,34,['Unnamed: 3'],
23067,35,[],
23067,36,['Unnamed: 0' 'Unnamed: 2' 'Unnamed: 3'],
23067,37,['Unnamed: 0' 'Unnamed: 3' 'Unnamed: 4' 'Unnamed: 5'],
23067,38,['Unnamed: 6'],
23067,39,['Unnamed: 2'],
23067,40,['Unnamed: 0' 'Unnamed: 4'],
23067,41,[],
23067,42,['Unnamed: 0' 'Unnamed: 5'],
23067,43,[],
23067,44,[],
23508,1,['1.1 The Longford Project Area ' '1 '],
23508,2,['Unnamed: 0' 'PAGE '],
23508,3,['Unnamed: 0' 'PAGE '],
23508,4,['Unnamed: 0' 'Unnamed: 1' 'DRAWING NO '],
23508,5,['Unnamed: 0' 'DRAWING '],
23508,6,['Unnamed: 0' 'DRAWING NO '],
23508,7,['Unnamed: 0' 'Unnamed: 1' 'DRAWING NO '],
23508,8,['Unnamed: 0' 'Unnamed: 1' 'DRAWING NO '],
23508,9,['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 2' 'PAGE '],
23508,10,['76/89 ' 'Walkabout Creek '],
23508,11,"['2130"" 22-00 ' 'Broadlands McKINLAY EL RITA FINUCANE RANGE '
 'EULOLO KYNUNA ']",
23508,12,['613 ' 'All '],
23508,13,['SURVEY TYPE: ' 'Unnamed: 1' 'eromagnetic/Aeroradionetric '],
23508,14,"['SITE ' 'NO. HOLE ' 'NO. INTERPRETED TARGET ' 'INTERPRETED TARGET '
 '(M) E ' 'LOCAL GRID N ' 'CO-ORDINATES E ' 'AMG N ' 'LINE KM GROUND MAG '
 'PROPERTY OWNER ']",1
23508,15,['GO dI ' 'Unnamed: 1' 'Ot SNV '],
23508,16,"['SITE ' 'NO. HOLE NO. ' 'ROCK TYPE ' 'BASEMENT (M) ' 'TARGET (M) '
 'TOTAL DEPTH (M) ' 'WATER TABLE (M) ' 'APPROX FLOW GAL/HR ']",1
23508,17,['52600 52500 ' 'Unnamed: 2' 'Unnamed: 3' 'Unnamed: 4' 'Unnamed: 5'],
23508,18,['52500 52400 ' 'xk ' 'Unnamed: 5'],
23508,19,['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 2'],
23508,20,['53000 ' 'Unnamed: 3' 'Unnamed: 4' 'Unnamed: 5'],
23508,21,['Prepared: C. Edgor ' 'Date: April 1991 ' 'Unnamed: 2'],
23508,22,['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 2'],
23508,23,['52000 ' 'Unnamed: 7'],
23508,24,['52000 51950 ' 'Unnamed: 3' 'Unnamed: 5' 'Unnamed: 6'],
23508,25,['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 2'],
23508,26,['51900 ' 'Unnamed: 1' 'Unnamed: 5'],
23508,27,['Prepared: C. Edgor ' 'Date: April 1991 ' 'Unnamed: 2'],
23508,28,"['Prepared: SondI ' 'Date: Moy, 1992 ' 'Unnamed: 2']",
23508,29,['51750 51700 ' 'Unnamed: 15'],
23508,30,['Prepared: C. Edgor ' 'Date April 1991 ' 'Unnamed: 2'],
23508,31,['52500 ' 'Unnamed: 3'],
23508,32,['Unnamed: 0'],
23508,33,['52400 '],
23508,34,['Prepared: C. Edgor ' 'Date April 1991 ' 'Unnamed: 2'],
23508,35,['52000 ' 'Unnamed: 6'],
23508,36,['Unnamed: 0' 'Unnamed: 8' 'Unnamed: 10'],
23508,37,['52000 '],
23508,38,['Unnamed: 0' 'Unnamed: 6'],
23508,39,['Unnamed: 0'],
23508,40,['Unnamed: 0' 'Unnamed: 9' 'Unnamed: 11' 'Unnamed: 13'],
23508,41,['Unnamed: 0' 'Unnamed: 10'],
23508,42,['51450 ' 'Unnamed: 7'],
23508,43,"['51700 ' 'Unnamed: 2' 'Unnamed: 6' 'Unnamed: 7' 'Unnamed: 9'
 'Unnamed: 11' 'Unnamed: 12' 'Unnamed: 14']",
23508,44,['Prepared: I Sand ' 'Date: Moy 1992 ' 'Unnamed: 2'],
23508,45,['Unnamed: 0' 'Unnamed: 2' 'Unnamed: 5' 'Unnamed: 13'],
23508,46,['13 - ' '14 m ' 'Weathered Qtz-Bio-Feld Schist (fine-gr. '],
23508,47,['- 14 m ' 'overburden '],
23508,48,['Unnamed: 8' 'Unnamed: 9'],
23508,49,"['Prepared: I.SandI ' 'Date: May, 1992 ' 'Unnamed: 2']",
23508,50,['51650 ' 'Unnamed: 14'],
23508,51,['Unnamed: 0'],
23508,52,"['Prepared: I .Sand| ' 'Date: June, 1992 ' 'Unnamed: 4']",
23508,53,['Unnamed: 0' 'Unnamed: 13' 'Unnamed: 14' 'Unnamed: 17'],
23508,54,['Il6-EV ToN 6uimeg ' 'suoqsuug :anueo '],
23508,55,[],
23508,56,['Survey ' 'Unnamed: 1'],
23508,57,['SURVEY TYPE: ' 'Figure 8 Moving Loop TEM '],
23508,58,"['MAGNETIC CO-ORDINATES ' 'SOURCE ' 'DEPTH TO SOURCE ' 'INCL OF SOURCE '
 'SUSCEPTIBILITY SI UNITS ' 'DRILL ' 'COLLAR ' 'DRILL HOLE INCL '
 'DRILL HOLE AZIMUTH ' 'DOWN HOLE DEPTH TO CENTRE OF SOURCE ']",
23508,59,"['HOLE NO. ' 'INCL & AZI ' 'COLLAR (local Easting '
 'COORDINATES grid) Northing ' 'TOTAL DEPTH (down-hole) (ma) '
 'DEPTH TO BASEMENT (down-hole) (m) ' 'BASEMENT PROTEROZOIC ROCK TYPES '
 'WATER FLOW (Gal/Hr) ' 'GEOCHEMISTRY (best 1 or 2 intervals) ']",1
23508,60,"['KDP04 : ' '11535E/26050N, Vertical ']",
23508,61,['125.5 ' '- 138 m ' 'Qtz-musc-garnet schist (weathered) '],
23508,62,['LOCATION: ' 'Kevin Downs Grid '],
23508,63,['Unnamed: 0' 'SI d001 ' 'EldOOl ' '-N0S097 '],
23508,64,['Z16-8V FON 6uimeig ' 'auogsig anueo '],
23508,65,['LOCATION: ' 'Mayfield Grid '],
23508,66,"['MAGNETIC CO-ORDINATES ' 'SOURCE ' 'DEPTH TO SOURCE ' 'INCL OF SOURCE '
 'SUSCEPTIBILITY SI UNITS ' 'DRILL ' 'COLLAR ' 'DRILL HOLE INCL '
 'DRILL HOLE AZIMUTH ' 'DOWN HOLE DEPTH TO CENTRE OF SOURCE ']",
23508,67,"['MAGNETIC CO-ORDINATES ' 'SOURCE ' 'DEPTH TO SOURCE ' 'INCL OF SOURCE '
 'SUSCEPTIBILITY SI UNITS ' 'DRILL ' 'COLLAR ' 'DRILL HOLE INCL '
 'DRILL HOLE AZIMUTH ' 'DOWN HOLE DEPTH TO CENTRE OF SOURCE ']",
23508,68,"['HOLE NO. ' 'NORTHING ' 'EASTING ' 'TRUE AZIMUTH (DEGREES) '
 'DIP (DEGREES) ' 'DOWN HOLE TOTAL DEPTH (m) '
 'DOWN HOLE DEPTH TO BASEMENT (m) ' 'ROCK TYPE/GEOLOGY SUMMARY LOG '
 'ANOMALOUS GEOCHEMISTRY (MAX. VALUES) ']",1
23508,69,"['HOLE NO. ' 'NORTHING ' 'EASTING ' 'TRUE AZIMUTH (DEGREES) '
 'DIP (DEGREES) ' 'DOWN HOLE TOTAL DEPTH (m) '
 'DOWN HOLE DEPTH TO BASEMENT (m) ' 'ROCK TYPE/GEOLOGY SUMMARY LOG '
 'ANOMALOUS GEOCHEMISTRY (MAX. VALUES) ']",1
23508,70,"['HOLE NO. ' 'NORTHING ' 'EASTING ' 'TRUE AZIMUTH (DEGREES) '
 'DIP (DEGREES) ' 'DOWN HOLE TOTAL DEPTH (m) '
 'DOWN HOLE DEPTH TO BASEMENT (m) ' 'ROCK TYPE/GEOLOGY SUMMARY LOG '
 'ANOMALOUS GEOCHEMISTRY (MAX. VALUES) ']",1
23508,71,"['HOLE NO. ' 'NORTHING ' 'EASTING ' 'TRUE AZIMUTH (DEGREES) '
 'DIP (DEGREES) ' 'DOWN HOLE TOTAL DEPTH (m) '
 'DOWN HOLE DEPTH TO BASEMENT (m) ' 'ROCK YPE/GEOLOGY SUMMARY LOG '
 'ANOMALOUS GEOCHEMISTRY (MAX. VALUES) ']",1
23508,72,"['HOLE NO. ' 'NORTHING ' 'EASTING ' 'TRUE AZIMUTH DEGREES '
 'DIP (DEGREES) ' 'DOWN HOLE TOTAL DEPTH (m) '
 'DOWN HOLE DEPTH TO BASEMENT (m) ' 'ROCK TYPE/GEOLOGY SUMMARY LOG '
 'ANOMALOUS GEOCHEMISTRY (MAX. VALUES) ']",1
23508,73,['F ' 'E ' 'Unnamed: 4' 'Unnamed: 5'],
23508,74,['LOCATION: ' 'Mayfields Grid '],
23543,1,['Unnamed: 0' 'Unnamed: 2' 'Unnamed: 3' 'Unnamed: 4' 'DRAWING NO '],
23543,2,['Unnamed: 0' 'NORMANTON BLOCK ' 'IDENTIFICATION ' 'MAP - ' 'SERIES B '],
23545,1,['Unnamed: 0' 'Page No. '],
23545,2,"['Location Map ' '1:250,000 ' 'A4-1330 ']",
23545,3,['BIM ' 'BLOCK ' 'Unnamed: 2' 'SUB-BLOCKS '],
23545,4,['BIM ' 'BLOCK ' 'SUB-BLOCKS '],
23545,5,['BIM ' 'BLOCK ' 'Unnamed: 2' 'SUB-BLOCKS '],
23545,6,['Age ' 'Unnamed: 1' 'Formation ' 'Lithology '],
23545,7,"['c SAMPLE NUMBER ' 'Au ppb PM216 ' 'Cu ppm G001 ' 'Pb ppm G001 '
 'Zn ppm G001 ' 'Fe % G001 ' 'Mn ppm G001 ' 'Pd ppb PM216 '
 'COMMENTS wrt Au ']",
23545,8,"['SAMPLE NUMBER ' 'Au ppb PM216 ' 'Cu ppm GO01 ' 'Pb ppm G001 '
 'Zn ppm G0O1 ' 'Fe % G001 ' 'Mn ppm G001 ' 'Pd ppb PM216 '
 'COMMENTS wrt Au ']",
23545,9,"['SAMPLE NUMBER ' 'Au ppb PM216 ' 'Cu ppm G001 ' 'Pb ppm G001 '
 'Zn ppm G001 ' 'Fe $ G001 ' 'Mn ppm G001 ' 'Pd ppb PM216 '
 'COMMENTS wrt Au ']",
23545,10,"['SAMPLE NUMBER ' 'Au ppb PM216 ' 'Cu ppm G001 ' 'Pb ppm G001 '
 'Zn ppm G001 ' 'Fe $ G001 ' 'Mn ppm G001 ' 'Pd ppb PM216 ']",
23545,11,"['GSQ ' 'CR ' '17360 ' ': ' 'ATP ' '4765, ' 'Cyprus ' 'Gold ' 'Aust. '
 'Corp ']",
23732,1,['Unnamed: 0' '2 ' 'Graphic Logs '],
23732,2,['Area ' '1205 ' 'y Z '],
