DocID,TableNum,Columns,Class,TagMethod
3051,5,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Sample ', 'Origin ', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'nan', 'Rosewood ', 'nan', 'Collie ', 'nan', 'Greta ', 'nan', 'Bulli ', 'nan', 'nan', 'ad (a) ', 'daf (a) % ', 'ad % ', 'daf % ', 'ad % ', 'daf % ', 'ad % ', 'daf % ', 'Moisture ', 'Ash ', 'nan', 'Volatile matter ', 'Fixed carbon ', 'Carbon ', 'Hydrogen ', 'Nitrogen ', 'Sulphur ', 'Oxygen (by difference) ']",0,manual
3051,6,"['Serial No. SC ', 'Exchange Capacity SO3H SO 3H meq/g ', 'Sulphonation Temperature C ', 'O ', 'O ', 'O ']",0,manual
3051,7,"['Serial No. SC ', 'Exchange Capacity SO3H meq/g ', 'Time hr ', 'Remarks ', 'Oleun aaded in single stage ']",0,manual
3051,8,"['Serial No. SC ', 'Coal:H2s04 ratio w/v ', 'Exchange Capacity SO3H mec/g ', 'P205 Released from C-grade ', 'Time hr ']",0,manual
3051,9,"['Serial No. SC ', 'Exchange Capacity SO3H meq/g ', 'P205 Released from C-grade ', 'Time hr ', 'Remarks ', 'Compare to SC-20 in Table 6 ', 'Compare to SC-20 in Tale 6 ']",0,manual
3051,10,"['Coal ', 'Unnamed: 1', 'Unnamed: 2', 'Soil ', 'C-grade ', 'Released ', 'Total(a) ', 'Release ', 'Type ', 'Weight g ', 'Type ', 'Weight 8 ', 'Weight g ', 'P205 mg ', 'P205 mg ', 'Efficiency % ', 'SC23 ', 'nan', 'SC23 ', 'P3 ', 'SC23 ', 'P2 ', 'SC23 ', 'Pl ', 'SC23 ', 'P3 ', 'SC23 ', 'P2 ', 'SC23 ', 'P1 ', 'nan', 'P3 ', 'P2 ', 'Pl ']",0,manual
3051,11,"['Coal ', 'Origin and ', 'Coal .1', 'Unnamed: 3', 'Unnamed: 4', 'Phosphate ', 'Released ', 'by ', 'Unnamed: 8', 'nan', 'Modification ', 'nan', 'Stirrig, ', 'P205 ', 'pom ', 'nan', 'Percolation, ', 'P20. ppm ', 'nan', 'nan', 'Soil PI ', 'Soil P2 ', 'Soil P3 ', 'Soii P1 ', 'Soil P2 ', 'Soil P3 ', 'Newcastle: ', 'sulphonated ', 'CSIRO (?) : ', 'oxidized ', 'Yallourn: ', 'crude ', 'Collie: ', 'crude ', 'L/Creek:* ', 'crude ', 'nan', 'Collie: ', 'oxidized ', 'L/Creek ', 'oxidized ', 'Newcastle: ', 'sulphonated ', 'Total phosphate ', 'in soils ']",0,manual
3051,12,"['H2$04, 90c: ', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'av. ', 'aV. ', 'aV. ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ', 'ie ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ', 'nan', 'nan', 'Ambient temperature ', 'nan', 'nan', 'H2S04, 90c: ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'av. ', 'av. ', 'av. ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ', 'w ', 'nan', 'e ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ', nan]",0,manual
3051,13,"['Ambient temperature ', 'nan', 'Ambient temperature ', 'nan', 'nan', 'Greta ', 'nan', 'nan', 'nan', 'nan', 'H2$04, 90c: ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ', 'w ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ', 'nan', 'w- ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ', 'nan', 'nan', 'Ambient temperature ', 'nan', 'ae ', 'nan', 'nan', 'nan', 'Bulli ', 'nan', 'nan', 'nan', 'nan', 'H2$04, 90c: ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ']",0,manual
3051,14,"['Ambient temperature ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ambient temperature ', 'w ', 'Ambient temperature ']",0,manual
3051,15,"['Unnamed: 1', 'X ', 'Unnamed: 3', 'nan', 'X ', 'nan', 'X ', 'nan', 'nan', 'V LEGEND ', 'nan', 'nan', 'A - 1:5 X ', 'oal:olcum W/V, 4 hrs conicct, ', 'AMB.T, 0.50, ', 'V - 1:5 ', 'Coal:oleum W/V. 4 hrs contact, ', 'AMB.T, 5 $O, ']",0,manual
3424,1,"['SUMMARY ', 'DRILLING PROJECT ', 'nan', 'A. Program ', 'B. Results ', 'C. Conclusions ', 'D. Vessels, Equipment and Personnel ', 'GEOPHYSICAL SURVEY ', 'A. Seismic System ', 'B. Navigation System ', 'C. Interpretation ', 'D. Correlation Between Seismic ', 'nan', 'and Coring Results ', 'E. Conclusions and Recommendations ']",0,manual
3831,1,"['LOCATION ', 'ACCESS ', 'INTRODUCTION & HISTORY ', 'GEOLOGY ', 'GEOPHYSICS ', 'GEOCHEMISTRY ', 'MINERALISATION ']",0,manual
4411,1,"['Introduction: ', 'Location: ', 'Purpose of Investigation: ', 'B ', 'Method of Investigation: ', 'Two; ', 'nan', 'Topography ', 'Drainage ', 'Three ', 'nan', 'Regional Geology: ', 'Mapping: ', 'Mineralization and Alteration: ', 'Geological Assesments: ', 'Conclusions: ']",,
10189,1,"['Unnamed: 0', 'Page ', 'TABULATED DATA ', 'THEORY AND METHOD ', 'COMMENTS AND CONCLUSIONS ', 'PLOTS OF DATA VERSUS DEPTH ', 'n-ALKANE DISTRIBUTIONS ', 'CAPILLARY GLC TRACES ']",,
10189,2,"['Unnamed: 1', 'DEPTH(M) ', 'XSOM ', 'XTOC ', 'SOM(ng)/ToC(g) SOM( /T0C(g ', 'SAT (ng) )/ToC(g ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Com ', 'nan', 'nan', 'nan', nan]",,
10189,3,"['XSAT ', 'XAROM ', 'XNS0 ', 'PRIST/PHYT ', 'PRIST/NC17 ', 'PHYT/NC18 ', 'PAP ', 'AROM/SAT ', 'CPI(1) ', 'CPI(2) ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ']",,
10189,4,"['DEPTH(A) ', 'CN12 ', 'CN13 ', 'CN14 ', 'CN15 ', 'CN16 ', 'CN17 ', 'CN18 ', 'CN19 ', 'CN20 ', 'CN21 ', 'CN22 ', 'CN23 ', 'CN24 ', 'CN25 ', 'CN26 ', 'CN27 ', 'CN28 ', 'CN29 ', 'CN30 ', 'CN31 ']",,
10189,5,"['DEPTH(m) ', 'Cr(%) ', 'Ct (%) ', 'Cr/ct ', 'Ct-Cr ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ']",,
10189,6,"['Unnamed: 0', 'DEPTH(M ', 'XSOM ', 'XTOC ', 'SOM(mg)/T0C(g) ', 'SAT (ug) /ToC(g) ', 'Coal ', 'Shale ', 'Shole ', 'Coo ', nan]",,
10189,7,"['XSAT ', 'XAROM ', 'XNS0 ', 'PRIST/PHYT ', 'PRIST/NC17 ', 'PHYT/NC18 ', 'PAP ', 'AROM/SAT ', 'CPI (1) ', 'CPI(2) ', 'nd ', 'nd ', 'nd ', 'nd ', 'nd ']",,
10189,8,"['CN12 ', 'CN13 ', 'CN14 ', 'CN15 ', 'CN16 ', 'CN17 ', 'CN18 ', 'CN19 ', 'CN20 ', 'CN21 ', 'CN22 ', 'CN23 ', 'CN24 ', 'CN25 ', 'CN26 ', 'CN27 ', 'CN28 ', 'CN29 ', 'CN30 ', 'CN31 ']",,
10189,9,"['Unnamed: 0', 'DEPTH(M) ', 'Cr (%) ', 'Ct(%) ', 'Cr/ct ', 'Ct-Cr ', 'Coal ', 'nd ', 'nd ', 'nd ', 'Shale ', 'nd ', 'nd ', 'nd ', 'Shale ', 'nd ', 'nd ', 'nd ', 'Coal ', 'nd ', 'nd ', 'nd ', nan, 'nd ', 'nd ', 'nd ']",,
10189,10,"['CN12 ', 'CN13 ', 'CN14 ', 'CN15 ', 'CN16 ', 'CN17 ', 'CN18 ', 'CN19 ', 'CN20 ', 'CN21 ', 'CN22 ', 'CN23 ', 'CN24 ', 'CN25 ', 'CN26 ', 'CN27 ', 'CN28 ', 'CN29 ', 'CN30 ', 'CN31 ']",,
10189,11,"['Unnamed: 1', 'Percentage of soluble organic matter in the ', 'nan', 'Percentage by weight of saturated compounds ', 'Percentage by weight of aromatic compounds ', 'Percentage by weight of asphaltenes plus ', 'PRIST ', 'Pristane ', 'PHYT ', 'Phytane ', 'NC17 ', 'nan', 'n-heptadecane (i.e. n-alkane with 17 carbon ', 'NC18 ', 'nan', 'n-octadecane (i.e. n-alkane with 18 carbon ', 'PAP ', 'Percentage of aromatic protons in the aromatic ', 'CPI ', 'Carbon Preference Index ']",,
10189,12,"['CLASSIFICATION ', 'Unnamed: 1', 'SOM* ', 'Unnamed: 3', 'SaOM* ', 'nan', 'PPM ', 'PPM ', 'POOR ', 'MODERATE ', 'GOOD ']",,
10189,13,"['Sample Depth ', 'Lithology ', 'Sample Depth .1', 'Lithology .1', 'Shale ', 'Shale ', 'Coal ', 'Shale ', 'Coal ', 'Coal ', 'Shale ', 'Shale ', 'Shale ', 'Shale ', 'Shale ', 'Shale ', 'Shale ', 'Shale ', 'Shale ', nan, nan]",,
10189,14,"['Sample Depth ', 'Lithology ', 'Sample Depth .1', 'Lithology .1', 'Coal ', 'Shale ', 'Shale ', 'Coal ', nan, nan, 'Shale ']",,
10189,15,"['pristane/n-C,. 17 ', 'Unnamed: 2', 'Terrestrial source ', 'Mixed source ', 'Marine source ']",,
10189,16,"['nan', 'nan', 'A ', 'nan', 'nan', 'nan', 'nan', 'A ', 'nan', 'A ', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'A ', 'nan', 'nan', 'nan', 'A ', 'A ', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'A ', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'nan', nan, 'A ', nan, nan]",,
10189,17,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'nan', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'A ', nan]",,
10189,18,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'nan', 'N ', 'nan', 'D ', 'A ', 'nan', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'A ', nan, nan, 'A ']",,
10189,19,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 3', 'nan', 'I A ', 'nan', 'A ', 'nan', 'nan', 'A ', 'nan', 'A ', 'nan', 'nan', 'A ', 'A ', 'nan', 'AA ', 'nan', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'A ', 'nan', 'A ', nan]",,
10189,20,"['Unnamed: 1', 'Unnamed: 2', 'Unnamed: 4', 'nan', 'nan', 'nan', 'A ', 'A ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Al A ', 'nan', 'nan', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', nan, 'A ', nan, nan]",,
10189,21,"['Unnamed: 0', 'Unnamed: 1', 'KA ', 'nan', 'A ', 'nan', 'nan', 'A ', 'A ', 'nan', 'A ', 'nan', 'nan', 'A ', 'nan', 'nan', 'A ', 'nan', 'nan', 'A ', 'nan', 'A ', 'A ', 'nan', 'A ', 'nan', 'nan', 'A ', 'nan', 'nan', 'A ', 'nan', 'nan', 'A ', nan, nan]",,
10189,22,"['Unnamed: 0', 'A ', 'nan', 'A ', 'nan', 'M ', 'nan', 'A ', 'A ', 'nan', 'A ', 'A ', 'nan', 'A ', 'nan', 'A ', 'nan', 'A ', 'nan', 'nan', 'A ', nan, 'A ']",,
10189,23,"['Unnamed: 0', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 5', 'A ', 'nan', 'O ', 'nan', 'nan', 'A ', 'nan', 'O ', 'nan', 'nan', 'AA ', 'nan', 'nan', 'A A ', 'nan', 'O ', 'O ', 'nan', 'A ', 'O ', 'nan', 'nan', 'A ', 'O ', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'nan', 'nan', 'A NA ', 'O O O ', 'nan', 't ', 'tt ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'A ', 'nan', 'nan', 'O+ ', 'nan', 'A A ', 'O ', 'O ', nan]",,
10189,24,"['A ', 'A ', 'A A ', 'A ', 'A ', 'A ', 'A ', 'A A ', 'A ']",,
10189,25,"['Unnamed: 0', 'Unnamed: 2', 'nan', 'm) ', 'N ', nan]",,
10232,1,"['Unnamed: 0', 'Salaries and Wages ', 'Messing and Accommodation ', 'nan', 'nan', 'nan', 'nan', 'nan', 'Diamond Drilling ', 'nan', 'nan', 'nan', 'nan', 'nan', 'Other Drilling ', 'nan', 'nan', 'nan', 'nan', 'nan', 'Transport ', 'nan', 'nan', 'nan', 'nan', 'nan', 'Contract Surveys and Air Photos ', 'nan', 'nan', 'nan', 'nan', 'nan', 'Occupancy and Location Expenses ', 'TOTAL ']",,
11128,1,['l. SUMMARY '],,
11128,2,"['Cainozoic ', 'Cza ', 'Alluvial sand gravel, silt and clay ', 'Tertiary ', 'Ta ', 'Mudstone, shale, sandstone minor carbonaceous ', 'nan', 'Tb ', 'Basaltic lava ', 'Lower Permian ', 'Bm ', 'Basement rocks, volcanics and sediments of the and Rannes Beds ']",,
11129,1,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'year ', 'nan', 'nan', 'year ', 'nan', 'nan', 'year ', 'nan', 'nan', 'Exploration ', 'Expenditure ', 'year ', 'Exploration ', 'Expenditure ', 'year ', 'Exploration ', 'Expenditure ', 'year ', 'Exploration ', 'Expenditure ', 'year ']",,
11129,2,"['Unnamed: 1', 'a) ', 'NW ', 'NW .1', 'nan', 'nan', 'b ', 'NW ', 'NW ', 'nan', 'nan', 'c) ', 'NW ', 'NW ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'to ', 'NW ', 'nan', 'nan', nan, 'NW ', 'to ', 'NW 31 ', nan]",,
11148,1,"['Unnamed: 0', 'Page ', 'INTRODUCTION ', 'EXPLORATION IN RELINQUISHED AREA ', 'nan', 'nan', 'nan', 'GEOLOGY ', 'nan', 'nan', 'CONCLUSIONS ', 'SCHEDULE OF AREA RELINQUISHED ', 'REFERENCES ']",,
11148,2,"['Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 10', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'ATP ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'RELINQUISHED ', 'SUB-BLOCKS ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'WARREGO ', 'nan', 'Miles ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'MIG ', 'nan', 'Chinchillo ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'River ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'ATP Group ', 'nan', nan, nan, 'co ', nan, nan, nan, nan, nan, nan]",,
