DocID,LineNum,SectionText,Heading
26168,9,cyfra1  	REGIONAL GEOLOGY cyfra1 ,1
26168,10,cyfra1 punkt cyfra2  	Stratigraphy cyfra1 ,2
26168,11,cyfra1 punkt cyfra2  	Structure and Metamorphism cyfra1 ,2
26168,12,cyfra1  	EXPLORATION ACTIVITY cyfra1 ,1
26168,13,cyfra1 punkt cyfra2  	Surface Inspection and Mapping cyfra1 ,2
26168,14,cyfra1 punkt cyfra2  	Rock Chip Sampling cyfra1 ,2
26168,15,cyfra1 punkt cyfra2  	Soil Geochemistry cyfra1 ,2
26168,16,cyfra1 punkt cyfra2  	Airborne EM (GEOTEM) Survey Re-interpretation cyfra1 ,2
26168,17,cyfra1  	CONCLUSIONS cyfra1 ,1
26168,18,REFERENCES cyfra1 ,1
26168,19,DEPARTMENT OF MIAIKI,0
26168,20,Exploration Reports Managamen i,0
26168,21,TRANSACTION No,0
26168,23,REPORT NO,0
26168,24,.36.1.6.8,0
26168,25,PART,0
26515,0,EPM 9873 	January 1995,0
26515,1,TABLE OF CONTENTS,0
26515,2,SUMMARY,1
26515,3,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
26515,4,cyfra1 punkt  	TENEMENT DETAILS cyfra1 ,1
26515,5,cyfra1 punkt  	GEOLOGY cyfra1 ,1
26515,6,cyfra1 punkt  	PREVIOUS EXPLORATION cyfra1 ,1
26515,7,cyfra1 punkt  	BHP EXPLORATION PROGRAM cyfra1 ,1
26515,8,cyfra1 punkt  	DISCUSSION cyfra1 ,1
26515,9,cyfra1 punkt  	RECOMMENDATIONS AND CONCLUSIONS cyfra1 ,1
26515,10,REFERENCES cyfra1 ,1
26515,11,DEPARTMENT OF MINERALS AND ENERGY,0
26515,12,Exploration Reports Management System,0
26515,13,TRANSACTION No 	$.1012,0
26515,14,REPORT NO 	265.3..,0
26515,15,PART 	of,0
26518,0,EPM 9216 	February 1995,0
26518,1,TABLE OF CONTENTS,0
26518,2,SUMMARY,1
26518,3,Page,0
26518,4,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
26518,5,cyfra1 punkt  	TENEMENT INFORMATION cyfra1 ,1
26518,6,cyfra1 punkt  	PREVIOUS WORK cyfra1 ,1
26518,7,cyfra1 punkt  	EXPLORATION BY BHPM cyfra1 ,1
26518,8,cyfra1 punkt cyfra2  	Open Range Aeromagnetic Survey cyfra1 ,2
26518,9,cyfra1 punkt cyfra2  	Exploration During 1993 cyfra1 ,2
26518,10,cyfra1 punkt cyfra2 punkt cyfra3  Airborne EM Survey cyfra1 ,2
26518,11,cyfra1 punkt cyfra2 punkt cyfra3  Ground Magnetics cyfra1 ,2
26518,12,cyfra1 punkt cyfra2 punkt cyfra3  Soil Sampling cyfra1 ,2
26518,13,cyfra1 punkt cyfra2  	Exploration during 1994,2
26518,14,cyfra1 punkt  	CONCLUSIONS cyfra1 ,1
26518,15,DEPARTMENT off MINERALS AND ENERGY,0
26518,16,Exploration Reports Management System,0
26518,17,TRANSACTION NO 	$7R.6,0
26518,18,REPORT NO 	069.8,0
26518,19,PART 	of,0
26525,0,"EPMs 9348, 9913, 9914, 9941 & 10416 	February 1995",0
26525,1,TABLE OF CONTENTS,0
26525,2,SUMMARY,1
26525,3,Page,0
26525,4,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
26525,5,cyfra1 punkt  	TENEMENT DETAILS cyfra1 ,1
26525,6,cyfra1 punkt cyfra2  	EPM 9348 - Lighthouse cyfra1 ,2
26525,7,cyfra1 punkt cyfra2  	EPM 9913 - Mt Misery cyfra1 ,2
26525,8,cyfra1 punkt cyfra2  	EPM 9914 - Stephen Creek cyfra1 ,2
26525,9,cyfra1 punkt cyfra2  	EPM 9941 - White Springs Creek cyfra1 ,2
26525,10,cyfra1 punkt cyfra2  	EPM 10416 Eveleigh cyfra1 ,2
26525,11,cyfra1 punkt  	GEOLOGY cyfra1 ,1
26525,12,cyfra1 punkt  	PREVIOUS EXPLORATION cyfra1 ,1
26525,13,cyfra1 punkt cyfra2  	Lighthouse/Mt Misery EPMs cyfra1 ,2
26525,14,cyfra1 punkt cyfra2  	White Springs Creek/Eveleigh EPMs cyfra1 ,2
26525,15,cyfra1 punkt cyfra2  	Stephen Creek EPM cyfra1 ,2
26525,16,cyfra1 punkt  	WORK CONDUCTED cyfra1 ,1
26525,17,cyfra1 punkt cyfra2  	Aeromagnetics Data cyfra1 ,2
26525,18,cyfra1 punkt cyfra2  	Ground Checking of Aeromagnetic Features cyfra1 ,2
26525,19,cyfra1 punkt cyfra2  	Stream Sediment Geochemistry cyfra1 ,2
26525,20,cyfra1 punkt cyfra2  	Rock-chip Geochemistry/Mineralisation Styles cyfra1 ,2
26525,21,cyfra1 punkt cyfra2  	Heavy Mineral Sampling cyfra1 ,2
26525,22,cyfra1 punkt cyfra2  	BLEG Stream Sampling cyfra1 ,2
26525,23,cyfra1 punkt  	CONCLUSIONS AND RECOMMENDATIONS cyfra1 ,1
26845,0,EPM 9335,0
26845,1,Jun-95,0
26845,2,TABLE OF CONTENTS,0
26845,3,Page,0
26845,4,SUMMARY,1
26845,5,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
26845,6,cyfra1 punkt  	TENEMENT DETAILS cyfra1 ,1
26845,7,cyfra1 punkt  	GEOLOGY cyfra1 ,1
26845,8,cyfra1 punkt  	PREVIOUS EXPLORATION cyfra1 ,1
26845,9,cyfra1 punkt  	BHP EXPLORATION PROGRAM cyfra1 ,1
26845,10,cyfra1 punkt cyfra2  	Stream Sediment Sampling cyfra1 ,2
26845,11,cyfra1 punkt cyfra2  	Soil Sampling cyfra1 ,2
26845,12,cyfra1 punkt cyfra2  	Rock-chip Sampling cyfra1 ,2
26845,13,cyfra1 punkt  	DISCUSSION cyfra1 ,1
26845,14,cyfra1 punkt  	RECOMMENDATIONS AND CONCLUSIONS cyfra1 ,1
26845,15,REFERENCES cyfra1 ,1
27409,0,EPM 8440 	December 1995,0
27409,1,TABLE OF CONTENTS,0
27409,2,Page,0
27409,3,SUMMARY,1
27409,4,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
27409,5,cyfra1 punkt cyfra2  	Tenement details cyfra1 ,2
27409,6,cyfra1 punkt cyfra2  	Site rehabilitation cyfra1 ,2
27409,7,cyfra1 punkt cyfra2  	Geology and target concept cyfra1 ,2
27409,8,cyfra1 punkt  	PREVIOUS EXPLORATION cyfra1 ,1
27409,9,cyfra1 punkt  	WORK COMPLETED cyfra1 ,1
27409,10,cyfra1 punkt cyfra2  	Ground magneties cyfra1 ,2
27409,11,cyfra1 punkt cyfra2  	Drilling cyfra1 ,2
27409,12,"cyfra1 punkt cyfra2 punkt cyfra3  Site 44 ""Clonagh"" cyfra1 ",2
27409,13,cyfra1 punkt  	CONCLUSIONS AND RECOMMENDATION cyfra1 ,1
27958,0,EPM 10777 	April 1996,0
27958,1,TABLE OF CONTENTS,0
27958,2,Page,0
27958,3,SUMMARY,1
27958,4,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
27958,5,cyfra1 punkt  	TENEMENT DETAILS cyfra1 ,1
27958,6,cyfra1 punkt  	EXPLORATION BY BHP cyfra1 ,1
27958,7,cyfra1 punkt cyfra2  Regional Interpretation cyfra1 ,2
27958,8,cyfra1 punkt cyfra2  Ground SIROTEM Survey cyfra1 ,2
27958,9,cyfra1 punkt  	CONCLUSION cyfra1 ,1
27972,0,"EPMs 8662, 8688, 8734 	15 February 1996",0
27972,1,TABLE OF CONTENTS,0
27972,2,SUMMARY,1
27972,3,Page,0
27972,4,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
27972,5,cyfra1 punkt  	TENEMENT DETAILS cyfra1 ,1
27972,6,cyfra1 punkt cyfra2  	EPM 8662 Fernhill cyfra1 ,2
27972,7,cyfra1 punkt cyfra2  	EPM 8688 Frasers Well cyfra1 ,2
27972,8,cyfra1 punkt cyfra2  	EPM 8734 Percyvale cyfra1 ,2
27972,9,cyfra1 punkt  	GEOLOGY cyfra1 ,1
27972,10,cyfra1 punkt  	PAST EXPLORATION cyfra1 ,1
27972,11,cyfra1 punkt  	EXPLORATION CONDUCTED cyfra1 ,1
27972,12,cyfra1 punkt cyfra2  	Introduction cyfra1 ,2
27972,13,cyfra1 punkt cyfra2  	Geology cyfra1 ,2
27972,14,cyfra1 punkt cyfra2  	Geochemistry cyfra1 ,2
27972,15,cyfra1 punkt cyfra2 punkt cyfra3  	Stream Sediment Geochemistry cyfra1 ,2
27972,16,cyfra1 punkt cyfra2 punkt cyfra3  	Rock chip sampling cyfra1 ,2
27972,17,cyfra1 punkt cyfra2 punkt cyfra3  	Soil Sampling cyfra1 ,2
27972,18,cyfra1 punkt cyfra2  	Geophysics cyfra1 ,2
27972,19,cyfra1 punkt cyfra2 punkt cyfra3  	Acquisition of Aeromagnetic Data cyfra1 ,2
27972,20,cyfra1 punkt cyfra2 punkt cyfra3  	Ground Magnetic Traverses cyfra1 ,2
27972,21,cyfra1 punkt cyfra2 punkt cyfra3  	Airborne GEOTEM survey cyfra1 ,2
27972,22,cyfra1 punkt cyfra2 punkt cyfra3  	Ground EM cyfra1 ,2
27972,23,cyfra1 punkt cyfra2  	RC and Diamond Drilling cyfra1 ,2
27972,24,cyfra1 punkt  	CONCLUSIONS cyfra1 ,1
27972,25,REFERENCES cyfra1 ,1
28298,0,EPM 10778 	August 1996,0
28298,1,TABLE OF CONTENTS,0
28298,2,Page,0
28298,3,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
28298,4,cyfra1 punkt  	TENEMENT INFORMATION cyfra1 ,1
28298,5,cyfra1 punkt  	PREVIOUS EXPLORATION cyfra1 ,1
28298,6,cyfra1 punkt  	EXPLORATION RATIONALE cyfra1 ,1
28298,7,cyfra1 punkt cyfra2  	Geology cyfra1 ,2
28298,8,cyfra1 punkt cyfra2  	Exploration Target and Concept cyfra1 ,2
28298,9,cyfra1 punkt  	WORK COMPLETED BY BHP MINERALS cyfra1 ,1
28298,10,cyfra1 punkt cyfra2  	GEOTEM Reprocessing Results cyfra1 ,2
28298,11,cyfra1 punkt cyfra2  	GEOTEM Results cyfra1 ,2
28298,12,cyfra1 punkt cyfra2  	Moving Loop EM Surveying cyfra1 ,2
28298,13,cyfra1 punkt cyfra2  	Moving Loop EM Processing cyfra1 ,2
28298,14,cyfra1 punkt cyfra2  	Moving Loop EM Results cyfra1 ,2
29013,0,Police Creek Annual Report 	June 1997,0
29013,1,TABLE OF CONTENTS,0
29013,2,Page,0
29013,3,SUMMARY,1
29013,4,INTRODUCTION cyfra1 ,1
29013,5,cyfra1 punkt cyfra2  	Purpose and aim of report cyfra1 ,2
29013,6,cyfra1 punkt cyfra2  	Locatioan of the Police Creek GEOTEM survey cyfra1 ,2
29013,7,cyfra1 punkt cyfra2  	Survey's coordinate system cyfra1 ,2
29013,8,cyfra1 punkt cyfra2  	Tenement status and details cyfra1 ,2
29013,9,cyfra1 punkt cyfra2  	Local geology cyfra1 ,2
29013,10,cyfra1 punkt cyfra2  	Target rationale and concept cyfra1 ,2
29013,11,cyfra1 punkt cyfra2  	Previous work done cyfra1 ,2
29013,12,cyfra1 punkt  	1997 POLICE CREEK GEOTEM SURVEY cyfra1 ,1
29013,13,cyfra1 punkt cyfra2  	GEOTEM survey area cyfra1 ,2
29013,14,cyfra1 punkt cyfra2  	Technical survey parameters cyfra1 ,2
29013,15,cyfra1 punkt cyfra2 punkt cyfra3  GEOTEM character over survey area cyfra1 ,2
29013,16,cyfra1 punkt cyfra2 punkt cyfra3  GEOTEM anomalies cyfra1 ,2
29013,17,cyfra1 punkt  	FOLLOW UP OF GEOTEM ANOMALIES cyfra1 ,1
29013,18,cyfra1 punkt  	CONCLUSIONS AND RECOMMENDATIONS cyfra1 ,1
29013,19,cyfra1 punkt  	REFERENCES cyfra1 ,1
29349,0,"EPMs 8913, 10435 Sandy Creek JV 	November 1997",0
29349,1,TABLE OF CONTENTS,0
29349,2,Page,0
29349,3,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
29349,4,cyfra1 punkt  	TENEMENTS cyfra1 ,1
29349,5,cyfra1 punkt  	GEOLOGY cyfra1 ,1
29349,6,cyfra1 punkt  	WORK COMPLETED cyfra1 ,1
29349,7,cyfra1 punkt cyfra2  	Kuridala Combined GEOTEM and Aeromagnetic Survey cyfra1 ,2
29349,8,cyfra1 punkt cyfra2  	Jolimont Gravity Survey cyfra1 ,2
29349,9,cyfra1 punkt cyfra2  	Bustard Flat Moving Loop SIROTEM cyfra1 ,2
29349,10,cyfra1 punkt cyfra2  	Bustard Flat Drilling: ANP453 cyfra1 ,2
29349,11,cyfra1 punkt cyfra2  	CONCLUSIONS AND RECOMMENDATIONS cyfra1 ,2
29733,0,Lightning Creek/Buster Creek Joint Venture 	March 1997,0
29733,1,TABLE OF CONTENTS,0
29733,2,Page,0
29733,3,SUMMARY,1
29733,4,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
29733,5,cyfra1 punkt  	TENEMENT DETAILS cyfra1 ,1
29733,6,cyfra1 punkt  	PREVIOUS WORK cyfra1 ,1
29733,7,cyfra1 punkt  	WORK COMPLETED FOR THE YEAR TO 15 TH cyfra1 ,1
29733,8,"DECEMBER, 1997",0
29733,9,cyfra1 punkt cyfra2  	Cowie GEOTEM anomaly cyfra1 ,2
29733,10,cyfra1 punkt cyfra2  	Moving Loop EM and Ground Magnetics cyfra1 ,2
29733,11,cyfra1 punkt cyfra2  	Diamond drilling cyfra1 ,2
29733,12,cyfra1 punkt  	CONCLUSIONS AND RECOMMENDATIONS cyfra1 ,1
30281,0,CONTENTS,0
30281,1,ITEM 	PAGE,0
30281,2,SUMMARY cyfra1 ,1
30281,3,INTRODUCTION cyfra1 ,1
30281,4,Table 1: Borehole Data cyfra1 ,2
30281,5,GEOLOGY cyfra1 ,1
30281,6,DRILLING OPERATIONS 	2 3,1
30281,7,LITHOLOGICAL AND MUD GAS LOGGING cyfra1 ,1
30281,8,WIRELINE LOGGING cyfra1 ,1
30281,9,DRILL STEM TESTING cyfra1 ,1
30281,10,PLUG AND ABANDON PROGRAMME 	3 4,1
30281,11,ATTACHED FIGURES,0
30281,12,Figure 1 	Location and Geological Setting,0
30281,13,Figure 2 	Drilling Progress,0
30281,14,ENCLOSURES,0
30281,15,Cuttings Descriptions,0
30281,16,Formation Evaluation Log,0
30281,17,S7 313,0
30281,18,cyfra1 e 3023.\ 28.\,0
30392,0,Urandangi Project Annual Report 	September 1998,0
30392,1,TABLE OF CONTENTS,0
30392,2,Page,0
30392,3,SUMMARY,1
30392,4,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
30392,5,-,0
30392,6,cyfra1 punkt  	TENURE cyfra1 ,1
30392,7,cyfra1 punkt  	RATIONALE FOR EXPLORATION cyfra1 ,1
30392,8,cyfra1 punkt  	PREVIOUS WORK BY BHP MINERALS cyfra1 ,1
30392,9,cyfra1 punkt  	WORK COMPLETED BY BHP MINERALS IN THE CURRENT,1
30392,10,TERM cyfra1 ,0
30392,11,cyfra1 punkt cyfra2  	Site U 24 cyfra1 ,2
30392,12,cyfra1 punkt  	CONCLUSIONS cyfra1 ,1
30540,0,EPM 10628 	September 1998,0
30540,1,TABLE OF CONTENTS,0
30540,2,Page,0
30540,3,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
30540,4,cyfra1 punkt  	TENEMENT DETAILS cyfra1 ,1
30540,5,cyfra1 punkt  	PREVIOUS EXPLORATION cyfra1 ,1
30540,6,cyfra1 punkt  	WORK COMPLETED cyfra1 ,1
30540,7,"cyfra1 punkt cyfra2  	Ground PROTEM Survey, Line 2100N cyfra1 ",2
30540,8,cyfra1 punkt cyfra2  	Drill Hole BD01 cyfra1 ,2
30540,9,"cyfra1 punkt cyfra2  	Downhole PROTEM, Hole BD01 cyfra1 ",2
30540,10,cyfra1 punkt  	CONCLUSION cyfra1 ,1
30540,11,REFERENCES cyfra1 ,1
31069,0,TABLE OF CONTENTS,0
31069,1,Page,0
31069,2,SUMMARY,1
31069,3,cyfra1 punkt  INTRODUCTION cyfra1 ,1
31069,4,cyfra1 punkt  	TENEMENT DETAILS cyfra1 ,1
31069,5,cyfra1 punkt cyfra2  Location and Access cyfra1 ,2
31069,6,cyfra1 punkt cyfra2  Tenure cyfra1 ,2
31069,7,cyfra1 punkt  GEOLOGY cyfra1 ,1
31069,8,cyfra1 punkt  	WORK COMPLETED cyfra1 ,1
31069,9,cyfra1 punkt cyfra2  	125 Hz GEOTEM Survey - Aberfoyle cyfra1 ,2
31069,10,cyfra1 punkt cyfra2  	25 Hz GEOTEMDEEP Survey - BHP Minerals cyfra1 ,2
31069,11,cyfra1 punkt cyfra2  Aeromagnetics cyfra1 ,2
31069,12,cyfra1 punkt  CONCLUSIONS cyfra1 ,1
31069,13,DEPARTMENT OF MINERALS AND ENERGY,0
31069,14,Exploration Reports Management System,0
31069,15,TRANSACTION No: 	5.8.4..,0
31069,16,REPORT NO,0
31069,18,PART 	I.. 	I..of,0
31356,0,CR 31356,0
31356,1,EPM 10732 - Partial Relinquishment Report 	October 1999,0
31356,2,TABLE OF CONTENTS,0
31356,3,SUMMARY 	Page,1
31356,4,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
31356,5,cyfra1 punkt  	TENEMENT DETAILS cyfra1 ,1
31356,6,cyfra1 punkt  	GEOLOGY cyfra1 ,1
31356,7,cyfra1 punkt  	PREVIOUS WORK cyfra1 ,1
31356,8,cyfra1 punkt  	WORK COMPLETED cyfra1 ,1
31356,9,cyfra1 punkt cyfra2  	25 Hz GEOTEM Survey cyfra1 ,2
31356,10,cyfra1 punkt  	CONCLUSIONS cyfra1 ,1
32676,0,CR 10157 EPM 7786 Longford 	March 2001,0
32676,1,TABLE OF CONTENTS,0
32676,2,Page,0
32676,3,SUMMARY,1
32676,4,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
32676,5,cyfra1 punkt  	HISTORY AND TENEMENT DETAILS cyfra1 ,1
32676,6,cyfra1 punkt  	GEOLOGY cyfra1 ,1
32676,7,cyfra1 punkt  	WORK COMPLETED BY BHPM cyfra1 ,1
32676,8,cyfra1 punkt cyfra2  	Summary of Work Completed cyfra1 ,2
32676,9,cyfra1 punkt cyfra2  Aeromagnetic Surveys cyfra1 ,2
32676,10,cyfra1 punkt cyfra2  Ground Magnetic Surveys cyfra1 ,2
32676,11,cyfra1 punkt cyfra2  Ground EM Surveys cyfra1 ,2
32676,12,cyfra1 punkt cyfra2  Gravity Surveys cyfra1 ,2
32676,13,cyfra1 punkt cyfra2  	Stream BLEG and Soil and Rock Sampling Mayfields Area cyfra1 ,2
32676,14,cyfra1 punkt cyfra2  Drilling cyfra1 ,2
32676,15,cyfra1 punkt cyfra2  	Down Hole EM Surveys cyfra1 ,2
32676,16,cyfra1 punkt cyfra2  Petrology cyfra1 ,2
32676,17,cyfra1 punkt  	CONCLUSIONS cyfra1 ,1
32676,18,REFERENCES cyfra1 ,1
33054,0,CR 10352 - EPM 11217 South Palmer River 	November 2001,0
33054,1,TABLE OF CONTENTS,0
33054,2,Page,0
33054,3,SUMMARY,1
33054,4,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
33054,5,cyfra1 punkt  	TENEMENT DETAILS cyfra1 ,1
33054,6,cyfra1 punkt  	GEOLOGY AND EXPLORATION MODEL cyfra1 ,1
33054,7,cyfra1 punkt cyfra2  Geology cyfra1 ,2
33054,8,cyfra1 punkt cyfra2  	Exploration Model cyfra1 ,2
33054,9,cyfra1 punkt  	WORK COMPLETED cyfra1 ,1
33054,10,cyfra1 punkt cyfra2  	Summary of Wrok Completed cyfra1 ,2
33054,11,cyfra1 punkt cyfra2  	Stream Sediment Sampling cyfra1 ,2
33054,12,cyfra1 punkt cyfra2  	Rock Chip Sampling cyfra1 ,2
33054,13,cyfra1 punkt cyfra2  	Soil Sampling cyfra1 ,2
33054,14,cyfra1 punkt cyfra2  	Work by Strike Mining cyfra1 ,2
33054,15,cyfra1 punkt  	CONCLUSIONS cyfra1 ,1
33355,0,CR cyfra1 ,0
33355,1,CONTENTS,0
33355,2,FIGURES,0
33355,3,cyfra1 punkt  	Borehole Location Map,0
33355,4,APPENDICES,0
33355,5,A. 	English Lithology Logs,0
33355,6,B. 	Graphical Logs,0
33355,7,C. 	Downhole Geophysical Logs,0
36198,0,TABLE OF CONTENTS,0
36198,1,Page,0
36198,2,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
36198,3,cyfra1 punkt  	TENURE cyfra1 ,1
36198,4,cyfra1 punkt  	GEOLOGY cyfra1 ,1
36198,5,cyfra1 punkt  	PREVIOUS EXPLORATION WORK cyfra1 ,1
36198,6,cyfra1 punkt  	EXPLORATION WORK COMPLETED cyfra1 ,1
36198,7,cyfra1 punkt cyfra2  	Introduction cyfra1 ,2
36198,8,cyfra1 punkt cyfra2  	Drilling cyfra1 ,2
36198,9,cyfra1 punkt  	CONCLUSIONS cyfra1 ,1
36198,10,List of Figures,0
36198,11,Drawing No.,0
36198,12,Figure 1 	Location - Tenement Map 	A4-2324,0
36198,13,Figure 2 	Summary Map Showing all Work Completed 	A4-2561,0
36198,14,List of Tables,0
36198,15,Page,0
36198,16,Table 1 	Tenement Details cyfra1 ,0
