DocID,PageNum,LineNum,SectionPrefix,SectionText,SectionPage,Heading,TagMethod,LineText
103455,2,8,cyfra1 punkt , 	Previous Explorations ,cyfra1 ,,,cyfra1 punkt  	Previous Explorations cyfra1 
103455,2,9,cyfra1 punkt , 	Exploration Work and Results ,cyfra1 ,,,cyfra1 punkt  	Exploration Work and Results cyfra1 
105472,2,1,,Contents,,,,Contents
105472,2,2,cyfra1 , 	SUMMARY ,cyfra1 ,,,cyfra1  	SUMMARY cyfra1 
105472,2,3,cyfra1 , TENURE ,cyfra1 ,,,cyfra1  TENURE cyfra1 
105472,2,4,cyfra1 , 	LOCATION & ACCESS ,cyfra1 ,,,cyfra1  	LOCATION & ACCESS cyfra1 
105472,2,5,cyfra1 , 	EXPLORATION IN RELINOUISHED SUBBLOCKS ,cyfra1 ,,,cyfra1  	EXPLORATION IN RELINOUISHED SUBBLOCKS cyfra1 
105472,2,6,cyfra1 punkt cyfra2 , 	Geological Setting ,cyfra1 ,,,cyfra1 punkt cyfra2  	Geological Setting cyfra1 
105472,2,7,cyfra1 punkt cyfra2 , 	Historical Exploration ,cyfra1 ,,,cyfra1 punkt cyfra2  	Historical Exploration cyfra1 
105472,2,8,cyfra1 punkt cyfra2 , 	SEM Exploration ,cyfra1 ,,,cyfra1 punkt cyfra2  	SEM Exploration cyfra1 
105472,2,9,cyfra1 , CONCLUSIONS ,cyfra1 ,,,cyfra1  CONCLUSIONS cyfra1 
105472,2,10,,List of Figures,,,,List of Figures
105472,2,11,,Figure 1 	EPM26324 Tenure ,cyfra1 ,,,Figure 1 	EPM26324 Tenure cyfra1 
105472,2,12,,Figure 2 	EPM26324 Location Plan ,cyfra1 ,,,Figure 2 	EPM26324 Location Plan cyfra1 
105472,2,13,,"Figure 3 	Geological Setting EPM 26324 ""Fish Hole Creek"" ",cyfra1 ,,,"Figure 3 	Geological Setting EPM 26324 ""Fish Hole Creek"" cyfra1 "
105472,2,14,,Figure 4 	Historical Exploration Results and GSQ Mapped Geology ,cyfra1 ,,,Figure 4 	Historical Exploration Results and GSQ Mapped Geology cyfra1 
105472,2,15,,Figure 5 	Historical Exploration Results (BLEG Results only) ,cyfra1 ,,,Figure 5 	Historical Exploration Results (BLEG Results only) cyfra1 
105472,2,16,,Figure 6 	EPM 26324 Targets ,cyfra1 ,,,Figure 6 	EPM 26324 Targets cyfra1 
105814,3,1,,CARPENTARIA GOLD PTY LTD,,,,CARPENTARIA GOLD PTY LTD
105814,3,2,,TABLE OF CONTENTS,,,,TABLE OF CONTENTS
105814,3,3,cyfra1 , Introduction ,cyfra1 ,,,cyfra1  Introduction cyfra1 
105814,3,4,cyfra1 , 	Location and Access ,cyfra1 ,,,cyfra1  	Location and Access cyfra1 
105814,3,5,cyfra1 , 	Tenure ,cyfra1 ,,,cyfra1  	Tenure cyfra1 
105814,3,6,cyfra1 , 	Regional Geology ,cyfra1 ,,,cyfra1  	Regional Geology cyfra1 
105814,3,7,cyfra1 punkt cyfra2 , 	Geology of EPM 16203 ,cyfra1 ,,,cyfra1 punkt cyfra2  	Geology of EPM 16203 cyfra1 
105814,3,8,cyfra1 punkt cyfra2 , 	Structure ,cyfra1 ,,,cyfra1 punkt cyfra2  	Structure cyfra1 
105814,3,9,cyfra1 punkt cyfra2 , 	Mineralisation ,cyfra1 ,,,cyfra1 punkt cyfra2  	Mineralisation cyfra1 
105814,3,10,cyfra1 , 	Previous Exploration ,cyfra1 ,,,cyfra1  	Previous Exploration cyfra1 
105814,3,11,cyfra1 , 	Work conducted by Carpentaria Gold Pty Ltd on relinquished sub-blocks ,cyfra1 ,,,cyfra1  	Work conducted by Carpentaria Gold Pty Ltd on relinquished sub-blocks cyfra1 
105814,3,12,cyfra1 punkt cyfra2 , 	Regional Soil Sampling ,cyfra1 ,,,cyfra1 punkt cyfra2  	Regional Soil Sampling cyfra1 
105814,3,13,cyfra1 punkt cyfra2 , 	Prospect Soil Sampling ,cyfra1 ,,,cyfra1 punkt cyfra2  	Prospect Soil Sampling cyfra1 
105814,3,14,cyfra1 punkt cyfra2 , 	Rock Chip Sampling ,cyfra1 ,,,cyfra1 punkt cyfra2  	Rock Chip Sampling cyfra1 
105814,3,15,cyfra1 , 	Environment ,cyfra1 ,,,cyfra1  	Environment cyfra1 
105814,3,16,cyfra1 , 	QAQC ,cyfra1 ,,,cyfra1  	QAQC cyfra1 
105814,3,17,cyfra1 , References ,cyfra1 ,,,cyfra1  References cyfra1 
105814,3,18,,LIST OF FIGURES,,,,LIST OF FIGURES
105814,3,19,,"All map projections in this report are in ""MGA Zone55 (GDA94)"" unless otherwise noted.",,,,"All map projections in this report are in ""MGA Zone55 (GDA94)"" unless otherwise noted."
105814,3,20,,"Figure 1: EPM 16203 ""Mt Success"" Location Map ",cyfra1 ,,,"Figure 1: EPM 16203 ""Mt Success"" Location Map cyfra1 "
105814,3,21,,Figure 2: EPM 16203 Sub-block Identification Map ,cyfra1 ,,,Figure 2: EPM 16203 Sub-block Identification Map cyfra1 
105814,3,22,,Figure 3: Regional Geology of EPM 16203 ,cyfra1 ,,,Figure 3: Regional Geology of EPM 16203 cyfra1 
105814,3,23,,Figure 4: EPM 16203 Regional Geology Legend ,cyfra1 ,,,Figure 4: EPM 16203 Regional Geology Legend cyfra1 
105814,3,24,,Figure 5: Summary of work completed within relinquished sub-blocks ,cyfra1 ,,,Figure 5: Summary of work completed within relinquished sub-blocks cyfra1 
105814,3,25,,Figure 6: Work completed within relinquished sub-blocks (coloured for Au) ,cyfra1 ,,,Figure 6: Work completed within relinquished sub-blocks (coloured for Au) cyfra1 
105814,3,26,,LIST OF TABLES,,,,LIST OF TABLES
105814,3,27,,Table 1: Sub-blocks relinquished effective 27th September 2017 ,cyfra1 ,,,Table 1: Sub-blocks relinquished effective 27th September 2017 cyfra1 
105814,3,28,,Table 2: Sub-blocks retained Carpentaria Gold Pty Ltd ,cyfra1 ,,,Table 2: Sub-blocks retained Carpentaria Gold Pty Ltd cyfra1 
105814,3,29,,EPM 16203 Mt Success 	3 	Partial Relinq Report 2017,,,,EPM 16203 Mt Success 	3 	Partial Relinq Report 2017
111200,2,1,,Table of contents,,,,Table of contents
111200,2,2,,Summary ,cyfra1 ,,,Summary cyfra1 
111200,2,3,,Introduction ,cyfra1 ,,,Introduction cyfra1 
111200,2,4,,Resource authority information ,cyfra1 ,,,Resource authority information cyfra1 
111200,2,5,,General area information ,cyfra1 ,,,General area information cyfra1 
111200,2,6,,Location map - resource authority ,cyfra1 ,,,Location map - resource authority cyfra1 
111200,2,7,,Technical summary ,cyfra1 ,,,Technical summary cyfra1 
111200,2,8,,Previous work ,cyfra1 ,,,Previous work cyfra1 
111200,2,9,,Work in reporting period and discussion ,cyfra1 ,,,Work in reporting period and discussion cyfra1 
111200,2,10,,Conclusion ,cyfra1 ,,,Conclusion cyfra1 
111200,2,11,,Statement of reason for relinquishment ,cyfra1 ,,,Statement of reason for relinquishment cyfra1 
111200,2,12,,Copyright statement ,cyfra1 ,,,Copyright statement cyfra1 
111200,2,13,cyfra1 , of 11,,,,cyfra1  of 11
111218,3,1,,TABLE OF CONTENTS,,,,TABLE OF CONTENTS
111218,3,2,,Page,,,,Page
111218,3,3,cyfra1 , 	INTRODUCTION ,cyfra1 ,,,cyfra1  	INTRODUCTION cyfra1 
111218,3,4,cyfra1 , 	GEOLOGICAL AND TECTONIC SETTING ,cyfra1 ,,,cyfra1  	GEOLOGICAL AND TECTONIC SETTING cyfra1 
111218,3,5,cyfra1 , 	PREVIOUS MINOTAUR ACTIVITIES ,cyfra1 ,,,cyfra1  	PREVIOUS MINOTAUR ACTIVITIES cyfra1 
111218,3,6,cyfra1 , 	MINOTAUR ACTIVITIES FOR THE CURRENT PERIOD ,cyfra1 ,,,cyfra1  	MINOTAUR ACTIVITIES FOR THE CURRENT PERIOD cyfra1 
111218,3,7,cyfra1 punkt cyfra2 , 	MINOTAUR-ASSISTED UNIVERSITY RESEARCH ,cyfra1 ,,,cyfra1 punkt cyfra2  	MINOTAUR-ASSISTED UNIVERSITY RESEARCH cyfra1 
111218,3,8,cyfra1 punkt cyfra2 punkt cyfra3 , 	University of South Australia isotopic analysis ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt cyfra3  	University of South Australia isotopic analysis cyfra1 
111218,3,9,cyfra1 punkt cyfra2 punkt cyfra3 , 	Murdoch University deposit genesis study ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt cyfra3  	Murdoch University deposit genesis study cyfra1 
111218,3,10,cyfra1 punkt cyfra2 punkt cyfra3 , 	Monash University metal and fluid source study ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt cyfra3  	Monash University metal and fluid source study cyfra1 
111218,3,11,cyfra1 punkt cyfra2 , 	INTERPRETATION OF REGIONAL MAGNETOTELLURIC DATA ,cyfra1 ,,,cyfra1 punkt cyfra2  	INTERPRETATION OF REGIONAL MAGNETOTELLURIC DATA cyfra1 
111218,3,12,cyfra1 punkt cyfra2 punkt cyfra3 , 	Results ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt cyfra3  	Results cyfra1 
111218,3,13,cyfra1 , 	CONCLUSIONS ,cyfra1 ,,,cyfra1  	CONCLUSIONS cyfra1 
111218,3,14,cyfra1 , 	REFERENCES ,cyfra1 ,,,cyfra1  	REFERENCES cyfra1 
111218,3,15,,LIST OF FIGURES,,,,LIST OF FIGURES
111218,3,16,,Figure 1: Regional location plan of tenement EPM 8608 ,cyfra1 ,,,Figure 1: Regional location plan of tenement EPM 8608 cyfra1 
111218,3,17,,Figure 2: Sub-block map for EPM 8608 ,cyfra1 ,,,Figure 2: Sub-block map for EPM 8608 cyfra1 
111218,3,18,,"Figure 3: Interpreted tectonic map for EPM 8608 (GSQ, 2011) ",cyfra1 ,,,"Figure 3: Interpreted tectonic map for EPM 8608 (GSQ, 2011) cyfra1 "
111218,3,19,,"Figure 4: Proterozoic event stratigraphy for the Eastern Fold Belt (Betts and Giles, 2006). ",cyfra1 ,,,"Figure 4: Proterozoic event stratigraphy for the Eastern Fold Belt (Betts and Giles, 2006). cyfra1 "
111218,3,20,,"Figure 5: Prospect names, previous Minotaur drilling and ground EM surveys on EPM 8608 over",,,,"Figure 5: Prospect names, previous Minotaur drilling and ground EM surveys on EPM 8608 over"
111218,3,21,,regional TMI-RTP image and inset detailed TMI-RTP image derived from ground magnetic survey. ,cyfra1 ,,,regional TMI-RTP image and inset detailed TMI-RTP image derived from ground magnetic survey. cyfra1 
111218,3,22,,"Figure 6: Prospect names, previous Minotaur drilling and ground EM surveys on EPM 8608 over best-",,,,"Figure 6: Prospect names, previous Minotaur drilling and ground EM surveys on EPM 8608 over best-"
111218,3,23,,available 1VD gravity data ,cyfra1 ,,,available 1VD gravity data cyfra1 
111218,3,24,,Figure 7: Location of 2016 soil geochemistry sample sites (Geochemistry Through Cover university,,,,Figure 7: Location of 2016 soil geochemistry sample sites (Geochemistry Through Cover university
111218,3,25,,research project) at the Cormorant North Prospect. ,cyfra1 ,,,research project) at the Cormorant North Prospect. cyfra1 
111218,3,26,,"Figure 8: Location of Cormorant Prospect approximately 60km northeast of Cloncurry, Queensland.",,,,"Figure 8: Location of Cormorant Prospect approximately 60km northeast of Cloncurry, Queensland."
111218,3,28,,Figure 9: Location of Cormorant drillholes within the central and northwestern portions of EPM,,,,Figure 9: Location of Cormorant drillholes within the central and northwestern portions of EPM
111218,3,29,cyfra1 punkt , Gypsy Plains Prospect lies in the southeastern sub-blocks. ,cyfra1 ,,,cyfra1 punkt  Gypsy Plains Prospect lies in the southeastern sub-blocks. cyfra1 
111218,3,30,,"Figure 10: Location of Cormorant drillholes and interpreted tectonic relationships (GSQ, 2011) ",cyfra1 ,,,"Figure 10: Location of Cormorant drillholes and interpreted tectonic relationships (GSQ, 2011) cyfra1 "
111218,3,31,,Figure 11: Interpreted extent of Cormorant pyrrhotite breccia relative to domain boundary Mount,,,,Figure 11: Interpreted extent of Cormorant pyrrhotite breccia relative to domain boundary Mount
111218,3,32,,"Margaret Fault, drill collars and TMI RTP imagery ",cyfra1 ,,,"Margaret Fault, drill collars and TMI RTP imagery cyfra1 "
111218,3,33,,Figure 12: Location of Cloncurry Magnetotelluric Project stations in relation to the township of,,,,Figure 12: Location of Cloncurry Magnetotelluric Project stations in relation to the township of
111218,3,34,,Cloncurry and Minotaur's Naraku tenements including EPM 8608 (orange boundary). GDA94 Zone54.,,,,Cloncurry and Minotaur's Naraku tenements including EPM 8608 (orange boundary). GDA94 Zone54.
111218,3,36,,"Figure 13: 2120m depth slice from Cloncurry MT survey, with known prospects mineral occurrences",,,,"Figure 13: 2120m depth slice from Cloncurry MT survey, with known prospects mineral occurrences"
111218,3,37,,"labelled, interpreted outline of Mount Margaret Fault highlighted in red and Cormorant Trend in",,,,"labelled, interpreted outline of Mount Margaret Fault highlighted in red and Cormorant Trend in"
111218,3,38,,green ,cyfra1 ,,,green cyfra1 
111218,3,39,,Figure 14: 2120m depth slice image over greyscale RTP cnorm image ,cyfra1 ,,,Figure 14: 2120m depth slice image over greyscale RTP cnorm image cyfra1 
111218,3,40,,ii,,,,ii
11127,2,1,,CONTENTS,,,,CONTENTS
11127,2,2,,SUMMARY,,,,SUMMARY
11127,2,3,cyfra1 punkt , INTRODUCTION,,,,cyfra1 punkt  INTRODUCTION
11127,2,4,cyfra1 punkt cyfra2 , Area Selection,,,,cyfra1 punkt cyfra2  Area Selection
11127,2,5,cyfra1 punkt cyfra2 , Title,,,,cyfra1 punkt cyfra2  Title
11127,2,6,cyfra1 punkt , 	REGIONAL AND LOCAL GEOLOGY,,,,cyfra1 punkt  	REGIONAL AND LOCAL GEOLOGY
11127,2,7,cyfra1 punkt , 	PREVIOUS WORK,,,,cyfra1 punkt  	PREVIOUS WORK
11127,2,8,cyfra1 punkt , 	EXPLORATION BY SELTRUST MINING CORPORATION,,,,cyfra1 punkt  	EXPLORATION BY SELTRUST MINING CORPORATION
11127,2,9,cyfra1 punkt cyfra2 , Geological Reconnaissance and Rock Chip Sampling,,,,cyfra1 punkt cyfra2  Geological Reconnaissance and Rock Chip Sampling
11127,2,10,cyfra1 punkt cyfra2 , Ground Geophysics,,,,cyfra1 punkt cyfra2  Ground Geophysics
11127,2,11,cyfra1 punkt cyfra2 punkt cyfra3 , 	Combined SIROTEM and Magnetic Survey,,,,cyfra1 punkt cyfra2 punkt cyfra3  	Combined SIROTEM and Magnetic Survey
11127,2,12,cyfra1 punkt cyfra2 punkt cyfra3 , 	Wonomo Waterhole Magnetic Survey,,,,cyfra1 punkt cyfra2 punkt cyfra3  	Wonomo Waterhole Magnetic Survey
11127,2,13,cyfra1 punkt cyfra2 punkt cyfra3 , 	Reconnaissance Ground Magnetic Surveys,,,,cyfra1 punkt cyfra2 punkt cyfra3  	Reconnaissance Ground Magnetic Surveys
11127,2,14,cyfra1 punkt cyfra2 , Percussion Drilling,,,,cyfra1 punkt cyfra2  Percussion Drilling
11127,2,15,cyfra1 punkt , 	EXPENDITURE,,,,cyfra1 punkt  	EXPENDITURE
11127,2,16,cyfra1 punkt , 	CONCLUSIONS AND RECOMMENDATIONS,,,,cyfra1 punkt  	CONCLUSIONS AND RECOMMENDATIONS
11127,2,17,cyfra1 punkt , REFERENCES,,,,cyfra1 punkt  REFERENCES
11128,2,1,,CONTENTS,,,,CONTENTS
11128,2,2,,l. SUMMARY ,cyfra1 ,,,l. SUMMARY cyfra1 
11128,2,3,cyfra1 punkt , 	INTRODUCTION ,cyfra1 ,,,cyfra1 punkt  	INTRODUCTION cyfra1 
11128,2,4,cyfra1 punkt , GEOLOGY ,cyfra1 ,,,cyfra1 punkt  GEOLOGY cyfra1 
11128,2,5,cyfra1 punkt cyfra2 punkt , I. Genera ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt  I. Genera cyfra1 
11128,2,6,cyfra1 punkt cyfra2 punkt , Stratigraphy ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt  Stratigraphy cyfra1 
11128,2,7,cyfra1 punkt cyfra2 punkt cyfra3 , Basement Rocks ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt cyfra3  Basement Rocks cyfra1 
11128,2,8,cyfra1 punkt cyfra2 punkt cyfra3 ,. Tertiary Sediments ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt cyfra3 . Tertiary Sediments cyfra1 
11128,2,9,cyfra1 punkt cyfra2 punkt cyfra3 ,. Tertiary Basalts ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt cyfra3 . Tertiary Basalts cyfra1 
11128,2,10,cyfra1 punkt cyfra2 punkt cyfra3 ,. Cainozoic ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt cyfra3 . Cainozoic cyfra1 
11128,2,11,cyfra1 punkt , 	OIL SHALE OCCURRENCES ,cyfra1 ,,,cyfra1 punkt  	OIL SHALE OCCURRENCES cyfra1 
11128,2,12,cyfra1 punkt , 	CONCLUSIONS AND RECOMMENDATLONS ,cyfra1 ,,,cyfra1 punkt  	CONCLUSIONS AND RECOMMENDATLONS cyfra1 
11128,2,13,cyfra1 punkt , REFERENCES ,cyfra1 ,,,cyfra1 punkt  REFERENCES cyfra1 
11128,2,14,,FIGURES,,,,FIGURES
11128,2,15,,FIGURE J 	A to P 3098M - Location Diagram,,,,FIGURE J 	A to P 3098M - Location Diagram
11128,2,16,,FIGURE 2 	A to P 3098M - General Geology.,,,,FIGURE 2 	A to P 3098M - General Geology.
11148,2,1,,CONTENTS,,,,CONTENTS
11148,2,2,,Page,,,,Page
11148,2,3,cyfra1 punkt , 	INTRODUCTION ,cyfra1 ,,,cyfra1 punkt  	INTRODUCTION cyfra1 
11148,2,4,cyfra1 punkt , 	EXPLORATION IN RELINQUISHED AREA ,cyfra1 ,,,cyfra1 punkt  	EXPLORATION IN RELINQUISHED AREA cyfra1 
11148,2,5,cyfra1 punkt cyfra2 , Drilling,,,,cyfra1 punkt cyfra2  Drilling
11148,2,6,cyfra1 punkt cyfra2 , Petrophysical Logging,,,,cyfra1 punkt cyfra2  Petrophysical Logging
11148,2,7,cyfra1 punkt cyfra2 , Coal Quality,,,,cyfra1 punkt cyfra2  Coal Quality
11148,2,8,cyfra1 punkt , 	GEOLOGY ,cyfra1 ,,,cyfra1 punkt  	GEOLOGY cyfra1 
11148,2,9,cyfra1 punkt cyfra2 , Regional Geology,,,,cyfra1 punkt cyfra2  Regional Geology
11148,2,10,cyfra1 punkt cyfra2 , Drilling Results in the Relinquished Area,,,,cyfra1 punkt cyfra2  Drilling Results in the Relinquished Area
11148,2,11,cyfra1 punkt , 	CONCLUSIONS ,cyfra1 ,,,cyfra1 punkt  	CONCLUSIONS cyfra1 
11148,2,12,cyfra1 punkt , 	SCHEDULE OF AREA RELINQUISHED ,cyfra1 ,,,cyfra1 punkt  	SCHEDULE OF AREA RELINQUISHED cyfra1 
11148,2,13,cyfra1 punkt , 	REFERENCES ,cyfra1 ,,,cyfra1 punkt  	REFERENCES cyfra1 
112814,2,1,,TABLE OF CONTENTS,,,,TABLE OF CONTENTS
112814,2,2,,INTRODUCTION ,cyfra1 ,,,INTRODUCTION cyfra1 
112814,2,3,,Location and Access ,cyfra1 ,,,Location and Access cyfra1 
112814,2,4,,TENURE ,cyfra1 ,,,TENURE cyfra1 
112814,2,5,,GEOLOGY AND STRATIGRAPHY ,cyfra1 ,,,GEOLOGY AND STRATIGRAPHY cyfra1 
112814,2,7,,PREVIOUS EXPLORATION AND DISCUSSION - OPEN FILE ,cyfra1 ,,,PREVIOUS EXPLORATION AND DISCUSSION - OPEN FILE cyfra1 
112814,2,8,,"CLUTHA DEVELOPMENT PTY LTD, ATP 13C ",cyfra1 ,,,"CLUTHA DEVELOPMENT PTY LTD, ATP 13C cyfra1 "
112814,2,9,,"ST JOSEPH PHELPS DODGE EXPLORATION PTY LTD, ATP49C ",cyfra1 ,,,"ST JOSEPH PHELPS DODGE EXPLORATION PTY LTD, ATP49C cyfra1 "
112814,2,10,,"MINES ADMINISTRATION PTY LTD, ATP72C: ",cyfra1 ,,,"MINES ADMINISTRATION PTY LTD, ATP72C: cyfra1 "
