DocID,PageNum,LineNum,Text,SectionPrefix,SectionText,SectionPage,ProcessedText,Heading,TagMethod
105472,2,3,2 TENURE 	4,cyfra1 , TENURE ,cyfra1 ,cyfra1  TENURE cyfra1 ,1,auto
105472,2,4,3 	LOCATION & ACCESS 	6,cyfra1 , 	LOCATION & ACCESS ,cyfra1 ,cyfra1  	LOCATION & ACCESS cyfra1 ,0,auto
105472,2,5,4 	EXPLORATION IN RELINOUISHED SUBBLOCKS 	7,cyfra1 , 	EXPLORATION IN RELINOUISHED SUBBLOCKS ,cyfra1 ,cyfra1  	EXPLORATION IN RELINOUISHED SUBBLOCKS cyfra1 ,1,auto
105472,2,6,4.1 	Geological Setting 	7,cyfra1 punkt cyfra2 , 	Geological Setting ,cyfra1 ,cyfra1 punkt cyfra2  	Geological Setting cyfra1 ,2,auto
105472,2,7,4.2 	Historical Exploration 	8,cyfra1 punkt cyfra2 , 	Historical Exploration ,cyfra1 ,cyfra1 punkt cyfra2  	Historical Exploration cyfra1 ,2,auto
105472,2,8,4.3 	SEM Exploration 	11,cyfra1 punkt cyfra2 , 	SEM Exploration ,cyfra1 ,cyfra1 punkt cyfra2  	SEM Exploration cyfra1 ,2,auto
105472,2,9,5 CONCLUSIONS 	13,cyfra1 , CONCLUSIONS ,cyfra1 ,cyfra1  CONCLUSIONS cyfra1 ,1,auto
105472,2,10,List of Figures,,List of Figures,,List of Figures,0,auto
105472,2,11,Figure 1 	EPM26324 Tenure 	5,,Figure 1 	EPM26324 Tenure ,cyfra1 ,Figure 1 	EPM26324 Tenure cyfra1 ,0,auto
105472,2,12,Figure 2 	EPM26324 Location Plan 	6,,Figure 2 	EPM26324 Location Plan ,cyfra1 ,Figure 2 	EPM26324 Location Plan cyfra1 ,0,auto
105472,2,13,"Figure 3 	Geological Setting EPM 26324 ""Fish Hole Creek"" 	7",,"Figure 3 	Geological Setting EPM 26324 ""Fish Hole Creek"" ",cyfra1 ,"Figure 3 	Geological Setting EPM 26324 ""Fish Hole Creek"" cyfra1 ",0,auto
105472,2,14,Figure 4 	Historical Exploration Results and GSQ Mapped Geology 	9,,Figure 4 	Historical Exploration Results and GSQ Mapped Geology ,cyfra1 ,Figure 4 	Historical Exploration Results and GSQ Mapped Geology cyfra1 ,1,auto
105472,2,15,Figure 5 	Historical Exploration Results (BLEG Results only) 	10,,Figure 5 	Historical Exploration Results (BLEG Results only) ,cyfra1 ,Figure 5 	Historical Exploration Results (BLEG Results only) cyfra1 ,2,auto
105472,2,16,Figure 6 	EPM 26324 Targets 	12,,Figure 6 	EPM 26324 Targets ,cyfra1 ,Figure 6 	EPM 26324 Targets cyfra1 ,0,auto
105814,3,1,CARPENTARIA GOLD PTY LTD,,CARPENTARIA GOLD PTY LTD,,CARPENTARIA GOLD PTY LTD,0,auto
105814,3,2,TABLE OF CONTENTS,,TABLE OF CONTENTS,,TABLE OF CONTENTS,0,auto
105814,3,3,1 Introduction 	5,cyfra1 , Introduction ,cyfra1 ,cyfra1  Introduction cyfra1 ,1,auto
105814,3,4,2 	Location and Access 	5,cyfra1 , 	Location and Access ,cyfra1 ,cyfra1  	Location and Access cyfra1 ,0,auto
105814,3,5,3 	Tenure 	7,cyfra1 , 	Tenure ,cyfra1 ,cyfra1  	Tenure cyfra1 ,1,auto
105814,3,6,4 	Regional Geology 	9,cyfra1 , 	Regional Geology ,cyfra1 ,cyfra1  	Regional Geology cyfra1 ,1,auto
105814,3,7,4.1 	Geology of EPM 16203 	10,cyfra1 punkt cyfra2 , 	Geology of EPM 16203 ,cyfra1 ,cyfra1 punkt cyfra2  	Geology of EPM 16203 cyfra1 ,2,auto
105814,3,8,4.2 	Structure 	11,cyfra1 punkt cyfra2 , 	Structure ,cyfra1 ,cyfra1 punkt cyfra2  	Structure cyfra1 ,2,auto
105814,3,9,4.3 	Mineralisation 	11,cyfra1 punkt cyfra2 , 	Mineralisation ,cyfra1 ,cyfra1 punkt cyfra2  	Mineralisation cyfra1 ,2,auto
105814,3,10,5 	Previous Exploration 	14,cyfra1 , 	Previous Exploration ,cyfra1 ,cyfra1  	Previous Exploration cyfra1 ,1,auto
105814,3,11,6 	Work conducted by Carpentaria Gold Pty Ltd on relinquished sub-blocks 	14,cyfra1 , 	Work conducted by Carpentaria Gold Pty Ltd on relinquished sub-blocks ,cyfra1 ,cyfra1  	Work conducted by Carpentaria Gold Pty Ltd on relinquished sub-blocks cyfra1 ,0,auto
105814,3,12,6.1 	Regional Soil Sampling 	14,cyfra1 punkt cyfra2 , 	Regional Soil Sampling ,cyfra1 ,cyfra1 punkt cyfra2  	Regional Soil Sampling cyfra1 ,2,auto
105814,3,13,6.2 	Prospect Soil Sampling 	14,cyfra1 punkt cyfra2 , 	Prospect Soil Sampling ,cyfra1 ,cyfra1 punkt cyfra2  	Prospect Soil Sampling cyfra1 ,2,auto
105814,3,14,6.3 	Rock Chip Sampling 	14,cyfra1 punkt cyfra2 , 	Rock Chip Sampling ,cyfra1 ,cyfra1 punkt cyfra2  	Rock Chip Sampling cyfra1 ,2,auto
105814,3,15,7 	Environment 	17,cyfra1 , 	Environment ,cyfra1 ,cyfra1  	Environment cyfra1 ,1,auto
105814,3,16,8 	QAQC 	17,cyfra1 , 	QAQC ,cyfra1 ,cyfra1  	QAQC cyfra1 ,1,auto
105814,3,17,9 References 	17,cyfra1 , References ,cyfra1 ,cyfra1  References cyfra1 ,1,auto
105814,3,18,LIST OF FIGURES,,LIST OF FIGURES,,LIST OF FIGURES,0,auto
105814,3,19,"All map projections in this report are in ""MGA Zone55 (GDA94)"" unless otherwise noted.",,"All map projections in this report are in ""MGA Zone55 (GDA94)"" unless otherwise noted.",,"All map projections in this report are in ""MGA Zone55 (GDA94)"" unless otherwise noted.",0,auto
105814,3,20,"Figure 1: EPM 16203 ""Mt Success"" Location Map 	6",,"Figure 1: EPM 16203 ""Mt Success"" Location Map ",cyfra1 ,"Figure 1: EPM 16203 ""Mt Success"" Location Map cyfra1 ",0,auto
105814,3,21,Figure 2: EPM 16203 Sub-block Identification Map 	8,,Figure 2: EPM 16203 Sub-block Identification Map ,cyfra1 ,Figure 2: EPM 16203 Sub-block Identification Map cyfra1 ,0,auto
105814,3,22,Figure 3: Regional Geology of EPM 16203 	12,,Figure 3: Regional Geology of EPM 16203 ,cyfra1 ,Figure 3: Regional Geology of EPM 16203 cyfra1 ,0,auto
105814,3,23,Figure 4: EPM 16203 Regional Geology Legend 	13,,Figure 4: EPM 16203 Regional Geology Legend ,cyfra1 ,Figure 4: EPM 16203 Regional Geology Legend cyfra1 ,0,auto
105814,3,24,Figure 5: Summary of work completed within relinquished sub-blocks 	15,,Figure 5: Summary of work completed within relinquished sub-blocks ,cyfra1 ,Figure 5: Summary of work completed within relinquished sub-blocks cyfra1 ,0,auto
105814,3,25,Figure 6: Work completed within relinquished sub-blocks (coloured for Au) 	16,,Figure 6: Work completed within relinquished sub-blocks (coloured for Au) ,cyfra1 ,Figure 6: Work completed within relinquished sub-blocks (coloured for Au) cyfra1 ,0,auto
105814,3,26,LIST OF TABLES,,LIST OF TABLES,,LIST OF TABLES,0,auto
105814,3,27,Table 1: Sub-blocks relinquished effective 27th September 2017 	7,,Table 1: Sub-blocks relinquished effective 27th September 2017 ,cyfra1 ,Table 1: Sub-blocks relinquished effective 27th September 2017 cyfra1 ,0,auto
105814,3,28,Table 2: Sub-blocks retained Carpentaria Gold Pty Ltd 	7,,Table 2: Sub-blocks retained Carpentaria Gold Pty Ltd ,cyfra1 ,Table 2: Sub-blocks retained Carpentaria Gold Pty Ltd cyfra1 ,0,auto
105814,3,29,EPM 16203 Mt Success 	3 	Partial Relinq Report 2017,,EPM 16203 Mt Success 	3 	Partial Relinq Report 2017,,EPM 16203 Mt Success 	3 	Partial Relinq Report 2017,0,auto
111200,2,1,Table of contents,,Table of contents,,Table of contents,0,auto
111200,2,2,Summary 	3,,Summary ,cyfra1 ,Summary cyfra1 ,1,auto
111200,2,3,Introduction 	4,,Introduction ,cyfra1 ,Introduction cyfra1 ,1,auto
111200,2,4,Resource authority information 	4,,Resource authority information ,cyfra1 ,Resource authority information cyfra1 ,0,auto
111200,2,5,General area information 	5,,General area information ,cyfra1 ,General area information cyfra1 ,0,auto
111200,2,6,Location map - resource authority 	6,,Location map - resource authority ,cyfra1 ,Location map - resource authority cyfra1 ,0,auto
111200,2,7,Technical summary 	7,,Technical summary ,cyfra1 ,Technical summary cyfra1 ,1,auto
111200,2,8,Previous work 	7,,Previous work ,cyfra1 ,Previous work cyfra1 ,1,auto
111200,2,9,Work in reporting period and discussion 	8,,Work in reporting period and discussion ,cyfra1 ,Work in reporting period and discussion cyfra1 ,1,auto
111200,2,10,Conclusion 	09,,Conclusion ,cyfra1 ,Conclusion cyfra1 ,1,auto
111200,2,11,Statement of reason for relinquishment 	10,,Statement of reason for relinquishment ,cyfra1 ,Statement of reason for relinquishment cyfra1 ,0,auto
111200,2,12,Copyright statement 	11,,Copyright statement ,cyfra1 ,Copyright statement cyfra1 ,1,auto
111200,2,13,2 of 11,cyfra1 , of 11,,cyfra1  of 11,0,auto
111218,3,1,TABLE OF CONTENTS,,TABLE OF CONTENTS,,TABLE OF CONTENTS,0,auto
111218,3,2,Page,,Page,,Page,0,auto
111218,3,3,1 	INTRODUCTION 	1,cyfra1 , 	INTRODUCTION ,cyfra1 ,cyfra1  	INTRODUCTION cyfra1 ,1,auto
111218,3,4,2 	GEOLOGICAL AND TECTONIC SETTING 	3,cyfra1 , 	GEOLOGICAL AND TECTONIC SETTING ,cyfra1 ,cyfra1  	GEOLOGICAL AND TECTONIC SETTING cyfra1 ,1,auto
111218,3,5,3 	PREVIOUS MINOTAUR ACTIVITIES 	6,cyfra1 , 	PREVIOUS MINOTAUR ACTIVITIES ,cyfra1 ,cyfra1  	PREVIOUS MINOTAUR ACTIVITIES cyfra1 ,1,auto
111218,3,6,4 	MINOTAUR ACTIVITIES FOR THE CURRENT PERIOD 	10,cyfra1 , 	MINOTAUR ACTIVITIES FOR THE CURRENT PERIOD ,cyfra1 ,cyfra1  	MINOTAUR ACTIVITIES FOR THE CURRENT PERIOD cyfra1 ,1,auto
111218,3,7,4.1 	MINOTAUR-ASSISTED UNIVERSITY RESEARCH 	11,cyfra1 punkt cyfra2 , 	MINOTAUR-ASSISTED UNIVERSITY RESEARCH ,cyfra1 ,cyfra1 punkt cyfra2  	MINOTAUR-ASSISTED UNIVERSITY RESEARCH cyfra1 ,2,auto
111218,3,8,4.1.1 	University of South Australia isotopic analysis 	15,cyfra1 punkt cyfra2 punkt cyfra3 , 	University of South Australia isotopic analysis ,cyfra1 ,cyfra1 punkt cyfra2 punkt cyfra3  	University of South Australia isotopic analysis cyfra1 ,2,auto
111218,3,9,4.1.2 	Murdoch University deposit genesis study 	15,cyfra1 punkt cyfra2 punkt cyfra3 , 	Murdoch University deposit genesis study ,cyfra1 ,cyfra1 punkt cyfra2 punkt cyfra3  	Murdoch University deposit genesis study cyfra1 ,2,auto
111218,3,10,4.1.3 	Monash University metal and fluid source study 	15,cyfra1 punkt cyfra2 punkt cyfra3 , 	Monash University metal and fluid source study ,cyfra1 ,cyfra1 punkt cyfra2 punkt cyfra3  	Monash University metal and fluid source study cyfra1 ,2,auto
111218,3,11,4.2 	INTERPRETATION OF REGIONAL MAGNETOTELLURIC DATA 	16,cyfra1 punkt cyfra2 , 	INTERPRETATION OF REGIONAL MAGNETOTELLURIC DATA ,cyfra1 ,cyfra1 punkt cyfra2  	INTERPRETATION OF REGIONAL MAGNETOTELLURIC DATA cyfra1 ,2,auto
111218,3,12,4.2.1 	Results 	17,cyfra1 punkt cyfra2 punkt cyfra3 , 	Results ,cyfra1 ,cyfra1 punkt cyfra2 punkt cyfra3  	Results cyfra1 ,2,auto
111218,3,13,5 	CONCLUSIONS 	19,cyfra1 , 	CONCLUSIONS ,cyfra1 ,cyfra1  	CONCLUSIONS cyfra1 ,1,auto
111218,3,14,6 	REFERENCES 	20,cyfra1 , 	REFERENCES ,cyfra1 ,cyfra1  	REFERENCES cyfra1 ,1,auto
111218,3,15,LIST OF FIGURES,,LIST OF FIGURES,,LIST OF FIGURES,0,auto
111218,3,16,Figure 1: Regional location plan of tenement EPM 8608 	1,,Figure 1: Regional location plan of tenement EPM 8608 ,cyfra1 ,Figure 1: Regional location plan of tenement EPM 8608 cyfra1 ,0,auto
111218,3,17,Figure 2: Sub-block map for EPM 8608 	3,,Figure 2: Sub-block map for EPM 8608 ,cyfra1 ,Figure 2: Sub-block map for EPM 8608 cyfra1 ,0,auto
111218,3,18,"Figure 3: Interpreted tectonic map for EPM 8608 (GSQ, 2011) 	4",,"Figure 3: Interpreted tectonic map for EPM 8608 (GSQ, 2011) ",cyfra1 ,"Figure 3: Interpreted tectonic map for EPM 8608 (GSQ, 2011) cyfra1 ",0,auto
111218,3,19,"Figure 4: Proterozoic event stratigraphy for the Eastern Fold Belt (Betts and Giles, 2006). 	5",,"Figure 4: Proterozoic event stratigraphy for the Eastern Fold Belt (Betts and Giles, 2006). ",cyfra1 ,"Figure 4: Proterozoic event stratigraphy for the Eastern Fold Belt (Betts and Giles, 2006). cyfra1 ",1,auto
111218,3,20,"Figure 5: Prospect names, previous Minotaur drilling and ground EM surveys on EPM 8608 over",,"Figure 5: Prospect names, previous Minotaur drilling and ground EM surveys on EPM 8608 over",,"Figure 5: Prospect names, previous Minotaur drilling and ground EM surveys on EPM 8608 over",0,auto
111218,3,21,regional TMI-RTP image and inset detailed TMI-RTP image derived from ground magnetic survey. 	7,,regional TMI-RTP image and inset detailed TMI-RTP image derived from ground magnetic survey. ,cyfra1 ,regional TMI-RTP image and inset detailed TMI-RTP image derived from ground magnetic survey. cyfra1 ,0,auto
111218,3,22,"Figure 6: Prospect names, previous Minotaur drilling and ground EM surveys on EPM 8608 over best-",,"Figure 6: Prospect names, previous Minotaur drilling and ground EM surveys on EPM 8608 over best-",,"Figure 6: Prospect names, previous Minotaur drilling and ground EM surveys on EPM 8608 over best-",0,auto
111218,3,23,available 1VD gravity data 	8,,available 1VD gravity data ,cyfra1 ,available 1VD gravity data cyfra1 ,0,auto
111218,3,24,Figure 7: Location of 2016 soil geochemistry sample sites (Geochemistry Through Cover university,,Figure 7: Location of 2016 soil geochemistry sample sites (Geochemistry Through Cover university,,Figure 7: Location of 2016 soil geochemistry sample sites (Geochemistry Through Cover university,2,auto
111218,3,25,research project) at the Cormorant North Prospect. 	9,,research project) at the Cormorant North Prospect. ,cyfra1 ,research project) at the Cormorant North Prospect. cyfra1 ,1,auto
111218,3,26,"Figure 8: Location of Cormorant Prospect approximately 60km northeast of Cloncurry, Queensland.",,"Figure 8: Location of Cormorant Prospect approximately 60km northeast of Cloncurry, Queensland.",,"Figure 8: Location of Cormorant Prospect approximately 60km northeast of Cloncurry, Queensland.",0,auto
111218,3,28,Figure 9: Location of Cormorant drillholes within the central and northwestern portions of EPM,,Figure 9: Location of Cormorant drillholes within the central and northwestern portions of EPM,,Figure 9: Location of Cormorant drillholes within the central and northwestern portions of EPM,0,auto
111218,3,29,8608. Gypsy Plains Prospect lies in the southeastern sub-blocks. 	12,cyfra1 punkt , Gypsy Plains Prospect lies in the southeastern sub-blocks. ,cyfra1 ,cyfra1 punkt  Gypsy Plains Prospect lies in the southeastern sub-blocks. cyfra1 ,0,auto
111218,3,30,"Figure 10: Location of Cormorant drillholes and interpreted tectonic relationships (GSQ, 2011) 	13",,"Figure 10: Location of Cormorant drillholes and interpreted tectonic relationships (GSQ, 2011) ",cyfra1 ,"Figure 10: Location of Cormorant drillholes and interpreted tectonic relationships (GSQ, 2011) cyfra1 ",0,auto
111218,3,31,Figure 11: Interpreted extent of Cormorant pyrrhotite breccia relative to domain boundary Mount,,Figure 11: Interpreted extent of Cormorant pyrrhotite breccia relative to domain boundary Mount,,Figure 11: Interpreted extent of Cormorant pyrrhotite breccia relative to domain boundary Mount,0,auto
111218,3,32,"Margaret Fault, drill collars and TMI RTP imagery 	14",,"Margaret Fault, drill collars and TMI RTP imagery ",cyfra1 ,"Margaret Fault, drill collars and TMI RTP imagery cyfra1 ",1,auto
111218,3,33,Figure 12: Location of Cloncurry Magnetotelluric Project stations in relation to the township of,,Figure 12: Location of Cloncurry Magnetotelluric Project stations in relation to the township of,,Figure 12: Location of Cloncurry Magnetotelluric Project stations in relation to the township of,1,auto
111218,3,34,Cloncurry and Minotaur's Naraku tenements including EPM 8608 (orange boundary). GDA94 Zone54.,,Cloncurry and Minotaur's Naraku tenements including EPM 8608 (orange boundary). GDA94 Zone54.,,Cloncurry and Minotaur's Naraku tenements including EPM 8608 (orange boundary). GDA94 Zone54.,0,auto
111218,3,36,"Figure 13: 2120m depth slice from Cloncurry MT survey, with known prospects mineral occurrences",,"Figure 13: 2120m depth slice from Cloncurry MT survey, with known prospects mineral occurrences",,"Figure 13: 2120m depth slice from Cloncurry MT survey, with known prospects mineral occurrences",0,auto
111218,3,37,"labelled, interpreted outline of Mount Margaret Fault highlighted in red and Cormorant Trend in",,"labelled, interpreted outline of Mount Margaret Fault highlighted in red and Cormorant Trend in",,"labelled, interpreted outline of Mount Margaret Fault highlighted in red and Cormorant Trend in",0,auto
111218,3,38,green 	17,,green ,cyfra1 ,green cyfra1 ,1,auto
