DocID,LineNum,SectionPrefix,SectionText,SectionPage,Heading
26515,9,7., 	RECOMMENDATIONS AND CONCLUSIONS ,	5,1
26515,10,,REFERENCES ,	6,1
26515,11,,DEPARTMENT OF MINERALS AND ENERGY,,0
26515,12,,Exploration Reports Management System,,0
26515,13,,TRANSACTION No 	$.1012,,0
26515,14,,REPORT NO 	265.3..,,0
26515,15,,PART 	of,,0
26518,0,,EPM 9216 	February 1995,,0
26518,1,,TABLE OF CONTENTS,,0
26518,2,,SUMMARY,,1
26518,3,,Page,,0
26518,4,1., 	INTRODUCTION ,	1,1
26518,5,2., 	TENEMENT INFORMATION ,	1,1
26518,6,3., 	PREVIOUS WORK ,	1,1
26518,7,4., 	EXPLORATION BY BHPM ,	1,1
26518,8,4.1, 	Open Range Aeromagnetic Survey ,	1,2
26518,9,4.2, 	Exploration During 1993 ,	1,2
26518,10,4.2.1, Airborne EM Survey ,	2,2
26518,11,4.2.2, Ground Magnetics ,	2,2
26518,12,4.2.3, Soil Sampling ,	2,2
26518,13,4.3, 	Exploration during 1994,,2
26518,14,5., 	CONCLUSIONS ,	3,1
26518,15,,DEPARTMENT off MINERALS AND ENERGY,,0
26518,16,,Exploration Reports Management System,,0
26518,17,,TRANSACTION NO 	$7R.6,,0
26518,18,,REPORT NO 	069.8,,0
26518,19,,PART 	of,,0
26525,0,,"EPMs 9348, 9913, 9914, 9941 & 10416 	February 1995",,0
26525,1,,TABLE OF CONTENTS,,0
26525,2,,SUMMARY,,1
26525,3,,Page,,0
26525,4,1., 	INTRODUCTION ,	1,1
26525,5,2., 	TENEMENT DETAILS ,	1,1
26525,6,2.1, 	EPM 9348 - Lighthouse ,	1,2
26525,7,2.2, 	EPM 9913 - Mt Misery ,	2,2
26525,8,2.3, 	EPM 9914 - Stephen Creek ,	2,2
26525,9,2.4, 	EPM 9941 - White Springs Creek ,	3,2
26525,10,2.5, 	EPM 10416 Eveleigh ,	3,2
26525,11,3., 	GEOLOGY ,	4,1
26525,12,4., 	PREVIOUS EXPLORATION ,	5,1
26525,13,4.1, 	Lighthouse/Mt Misery EPMs ,	5,2
26525,14,4.2, 	White Springs Creek/Eveleigh EPMs ,	6,2
26525,15,4.3, 	Stephen Creek EPM ,	8,2
26525,16,5., 	WORK CONDUCTED ,	10,1
26525,17,5.1, 	Aeromagnetics Data ,	10,2
26525,18,5.2, 	Ground Checking of Aeromagnetic Features ,	11,2
26525,19,5.3, 	Stream Sediment Geochemistry ,	11,2
26525,20,5.4, 	Rock-chip Geochemistry/Mineralisation Styles ,	12,2
26525,21,5.5, 	Heavy Mineral Sampling ,	14,2
26525,22,5.6, 	BLEG Stream Sampling ,	15,2
26525,23,6., 	CONCLUSIONS AND RECOMMENDATIONS ,	15,1
26845,0,,EPM 9335,,0
26845,1,,Jun-95,,0
26845,2,,TABLE OF CONTENTS,,0
26845,3,,Page,,0
26845,4,,SUMMARY,,1
26845,5,1., 	INTRODUCTION ,	1,1
26845,6,2., 	TENEMENT DETAILS ,	1,1
26845,7,3., 	GEOLOGY ,	1,1
26845,8,4., 	PREVIOUS EXPLORATION ,	1,1
26845,9,5., 	BHP EXPLORATION PROGRAM ,	4,1
26845,10,5.1, 	Stream Sediment Sampling ,	4,2
26845,11,5.2, 	Soil Sampling ,	5,2
26845,12,5.3, 	Rock-chip Sampling ,	5,2
26845,13,6., 	DISCUSSION ,	5,1
26845,14,7., 	RECOMMENDATIONS AND CONCLUSIONS ,	6,1
26845,15,,REFERENCES ,	6,1
27409,0,,EPM 8440 	December 1995,,0
27409,1,,TABLE OF CONTENTS,,0
27409,2,,Page,,0
27409,3,,SUMMARY,,1
27409,4,1., 	INTRODUCTION ,	1,1
27409,5,1.1, 	Tenement details ,	1,2
27409,6,1.2, 	Site rehabilitation ,	1,2
27409,7,1.3, 	Geology and target concept ,	2,2
27409,8,2., 	PREVIOUS EXPLORATION ,	2,1
27409,9,3., 	WORK COMPLETED ,	2,1
27409,10,3.1, 	Ground magneties ,	2,2
27409,11,3.2, 	Drilling ,	3,2
27409,12,3.2.1," Site 44 ""Clonagh"" ",	3,2
27409,13,4., 	CONCLUSIONS AND RECOMMENDATION ,	4,1
27958,0,,EPM 10777 	April 1996,,0
27958,1,,TABLE OF CONTENTS,,0
27958,2,,Page,,0
27958,3,,SUMMARY,,1
27958,4,1., 	INTRODUCTION ,	1,1
27958,5,2., 	TENEMENT DETAILS ,	1,1
27958,6,3., 	EXPLORATION BY BHP ,	1,1
27958,7,3.1, Regional Interpretation ,	1,2
27958,8,3.2, Ground SIROTEM Survey ,	1,2
27958,9,4., 	CONCLUSION ,	2,1
27972,0,,"EPMs 8662, 8688, 8734 	15 February 1996",,0
27972,1,,TABLE OF CONTENTS,,0
27972,2,,SUMMARY,,1
27972,3,,Page,,0
27972,4,1., 	INTRODUCTION ,	1,1
27972,5,2., 	TENEMENT DETAILS ,	1,1
27972,6,2.1, 	EPM 8662 Fernhill ,	1,2
27972,7,2.2, 	EPM 8688 Frasers Well ,	1,2
27972,8,2.3, 	EPM 8734 Percyvale ,	2,2
27972,9,3., 	GEOLOGY ,	2,1
27972,10,4., 	PAST EXPLORATION ,	4,1
27972,11,5., 	EXPLORATION CONDUCTED ,	4,1
27972,12,5.1, 	Introduction ,	4,2
27972,13,5.2, 	Geology ,	5,2
27972,14,5.3, 	Geochemistry ,	5,2
27972,15,5.3.1, 	Stream Sediment Geochemistry ,	5,2
27972,16,5.3.2, 	Rock chip sampling ,	5,2
27972,17,5.3.3, 	Soil Sampling ,	6,2
27972,18,5.4, 	Geophysics ,	7,2
27972,19,5.4.1, 	Acquisition of Aeromagnetic Data ,	7,2
27972,20,5.4.2, 	Ground Magnetic Traverses ,	8,2
27972,21,5.4.3, 	Airborne GEOTEM survey ,	8,2
27972,22,5.4.4, 	Ground EM ,	8,2
27972,23,5.5, 	RC and Diamond Drilling ,	9,2
27972,24,6., 	CONCLUSIONS ,	10,1
27972,25,,REFERENCES ,	11,1
28298,0,,EPM 10778 	August 1996,,0
28298,1,,TABLE OF CONTENTS,,0
28298,2,,Page,,0
28298,3,1., 	INTRODUCTION ,	1,1
28298,4,2., 	TENEMENT INFORMATION ,	1,1
28298,5,3., 	PREVIOUS EXPLORATION ,	1,1
28298,6,4., 	EXPLORATION RATIONALE ,	1,1
28298,7,4.1, 	Geology ,	1,2
28298,8,4.2, 	Exploration Target and Concept ,	1,2
28298,9,5., 	WORK COMPLETED BY BHP MINERALS ,	2,1
28298,10,5.1, 	GEOTEM Reprocessing Results ,	2,2
28298,11,5.2, 	GEOTEM Results ,	2,2
28298,12,5.3, 	Moving Loop EM Surveying ,	3,2
28298,13,5.4, 	Moving Loop EM Processing ,	3,2
28298,14,5.5, 	Moving Loop EM Results ,	3,2
29013,0,,Police Creek Annual Report 	June 1997,,0
29013,1,,TABLE OF CONTENTS,,0
29013,2,,Page,,0
29013,3,,SUMMARY,,1
29013,4,,INTRODUCTION ,	1,1
29013,5,1.1, 	Purpose and aim of report ,	1,2
29013,6,1.2, 	Locatioan of the Police Creek GEOTEM survey ,	1,2
29013,7,1.3, 	Survey's coordinate system ,	1,2
29013,8,1.4, 	Tenement status and details ,	1,2
29013,9,1.5, 	Local geology ,	2,2
29013,10,1.6, 	Target rationale and concept ,	2,2
29013,11,1.7, 	Previous work done ,	3,2
29013,12,2., 	1997 POLICE CREEK GEOTEM SURVEY ,	3,1
29013,13,2.1, 	GEOTEM survey area ,	3,2
29013,14,2.2, 	Technical survey parameters ,	3,2
29013,15,2.2.1, GEOTEM character over survey area ,	5,2
29013,16,2.2.2, GEOTEM anomalies ,	5,2
29013,17,3., 	FOLLOW UP OF GEOTEM ANOMALIES ,	10,1
29013,18,4., 	CONCLUSIONS AND RECOMMENDATIONS ,	10,1
29013,19,5., 	REFERENCES ,	11,1
29349,0,,"EPMs 8913, 10435 Sandy Creek JV 	November 1997",,0
29349,1,,TABLE OF CONTENTS,,0
29349,2,,Page,,0
29349,3,1., 	INTRODUCTION ,	1,1
29349,4,2., 	TENEMENTS ,	1,1
29349,5,3., 	GEOLOGY ,	1,1
29349,6,4., 	WORK COMPLETED ,	1,1
29349,7,4.1, 	Kuridala Combined GEOTEM and Aeromagnetic Survey ,	2,2
29349,8,4.2, 	Jolimont Gravity Survey ,	3,2
29349,9,4.3, 	Bustard Flat Moving Loop SIROTEM ,	3,2
29349,10,4.4, 	Bustard Flat Drilling: ANP453 ,	4,2
29349,11,5.0, 	CONCLUSIONS AND RECOMMENDATIONS ,	4,2
29733,0,,Lightning Creek/Buster Creek Joint Venture 	March 1997,,0
29733,1,,TABLE OF CONTENTS,,0
29733,2,,Page,,0
29733,3,,SUMMARY,,1
29733,4,1., 	INTRODUCTION ,	1,1
29733,5,2., 	TENEMENT DETAILS ,	1,1
29733,6,3., 	PREVIOUS WORK ,	2,1
29733,7,4., 	WORK COMPLETED FOR THE YEAR TO 15 TH ,	2,1
29733,8,,"DECEMBER, 1997",,0
29733,9,4.1, 	Cowie GEOTEM anomaly ,	2,2
29733,10,4.2, 	Moving Loop EM and Ground Magnetics ,	3,2
29733,11,4.3, 	Diamond drilling ,	3,2
29733,12,5., 	CONCLUSIONS AND RECOMMENDATIONS ,	4,1
30281,0,,CONTENTS,,0
30281,1,,ITEM 	PAGE,,0
30281,2,,SUMMARY ,	1,1
30281,3,,INTRODUCTION ,	1,1
30281,4,,Table 1: Borehole Data ,	1,2
30281,5,,GEOLOGY ,	2,1
30281,6,,DRILLING OPERATIONS 	2 3,,1
30281,7,,LITHOLOGICAL AND MUD GAS LOGGING ,	3,1
30281,8,,WIRELINE LOGGING ,	3,1
30281,9,,DRILL STEM TESTING ,	3,1
30281,10,,PLUG AND ABANDON PROGRAMME 	3 4,,1
30281,11,,ATTACHED FIGURES,,0
30281,12,,Figure 1 	Location and Geological Setting,,0
30281,13,,Figure 2 	Drilling Progress,,0
30281,14,,ENCLOSURES,,0
30281,15,,Cuttings Descriptions,,0
30281,16,,Formation Evaluation Log,,0
30281,17,,S7 313,,0
30281,18,3,e 3023.\ 28.\,,0
30392,0,,Urandangi Project Annual Report 	September 1998,,0
30392,1,,TABLE OF CONTENTS,,0
30392,2,,Page,,0
30392,3,,SUMMARY,,1
30392,4,1., 	INTRODUCTION ,	1,1
30392,5,,-,,0
30392,6,2., 	TENURE ,	1,1
30392,7,3., 	RATIONALE FOR EXPLORATION ,	1,1
30392,8,4., 	PREVIOUS WORK BY BHP MINERALS ,	1,1
30392,9,5., 	WORK COMPLETED BY BHP MINERALS IN THE CURRENT,,1
30392,10,,TERM ,	2,0
30392,11,5.1, 	Site U 24 ,	2,2
30392,12,6., 	CONCLUSIONS ,	3,1
30540,0,,EPM 10628 	September 1998,,0
30540,1,,TABLE OF CONTENTS,,0
30540,2,,Page,,0
30540,3,1., 	INTRODUCTION ,	1,1
30540,4,2., 	TENEMENT DETAILS ,	1,1
30540,5,3., 	PREVIOUS EXPLORATION ,	2,1
30540,6,4., 	WORK COMPLETED ,	2,1
30540,7,4.1," 	Ground PROTEM Survey, Line 2100N ",	2,2
30540,8,4.2, 	Drill Hole BD01 ,	3,2
30540,9,4.3," 	Downhole PROTEM, Hole BD01 ",	4,2
30540,10,5., 	CONCLUSION ,	4,1
30540,11,,REFERENCES ,	4,1
31069,0,,TABLE OF CONTENTS,,0
31069,1,,Page,,0
31069,2,,SUMMARY,,1
31069,3,1., INTRODUCTION ,	1,1
31069,4,2., 	TENEMENT DETAILS ,	1,1
31069,5,2.1, Location and Access ,	1,2
31069,6,2.2, Tenure ,	1,2
31069,7,3., GEOLOGY ,	2,1
31069,8,4., 	WORK COMPLETED ,	2,1
31069,9,4.1, 	125 Hz GEOTEM Survey - Aberfoyle ,	2,2
31069,10,4.2, 	25 Hz GEOTEMDEEP Survey - BHP Minerals ,	2,2
31069,11,4.3, Aeromagnetics ,	3,2
31069,12,5., CONCLUSIONS ,	3,1
31069,13,,DEPARTMENT OF MINERALS AND ENERGY,,0
31069,14,,Exploration Reports Management System,,0
31069,15,,TRANSACTION No: 	5.8.4..,,0
31069,16,,REPORT NO,,0
31069,18,,PART 	I.. 	I..of,,0
31356,0,,CR 31356,,0
31356,1,,EPM 10732 - Partial Relinquishment Report 	October 1999,,0
31356,2,,TABLE OF CONTENTS,,0
31356,3,,SUMMARY 	Page,,1
31356,4,1., 	INTRODUCTION ,	1,1
31356,5,2., 	TENEMENT DETAILS ,	1,1
31356,6,3., 	GEOLOGY ,	1,1
31356,7,4., 	PREVIOUS WORK ,	1,1
31356,8,5., 	WORK COMPLETED ,	2,1
31356,9,5.1, 	25 Hz GEOTEM Survey ,	2,2
31356,10,5., 	CONCLUSIONS ,	3,1
32676,0,,CR 10157 EPM 7786 Longford 	March 2001,,0
32676,1,,TABLE OF CONTENTS,,0
32676,2,,Page,,0
32676,3,,SUMMARY,,1
32676,4,1., 	INTRODUCTION ,	1,1
32676,5,2., 	HISTORY AND TENEMENT DETAILS ,	1,1
32676,6,3., 	GEOLOGY ,	2,1
32676,7,4., 	WORK COMPLETED BY BHPM ,	3,1
32676,8,4.1, 	Summary of Work Completed ,	3,2
32676,9,4.2, Aeromagnetic Surveys ,	3,2
32676,10,4.3, Ground Magnetic Surveys ,	5,2
32676,11,4.4, Ground EM Surveys ,	5,2
32676,12,4.5, Gravity Surveys ,	6,2
32676,13,4.6, 	Stream BLEG and Soil and Rock Sampling Mayfields Area ,	6,2
32676,14,4.7, Drilling ,	7,2
32676,15,4.8, 	Down Hole EM Surveys ,	10,2
32676,16,4.9, Petrology ,	10,2
32676,17,5., 	CONCLUSIONS ,	11,1
32676,18,,REFERENCES ,	12,1
33054,0,,CR 10352 - EPM 11217 South Palmer River 	November 2001,,0
33054,1,,TABLE OF CONTENTS,,0
33054,2,,Page,,0
33054,3,,SUMMARY,,1
33054,4,1., 	INTRODUCTION ,	1,1
33054,5,2., 	TENEMENT DETAILS ,	1,1
33054,6,3., 	GEOLOGY AND EXPLORATION MODEL ,	2,1
33054,7,3.1, Geology ,	2,2
33054,8,3.2, 	Exploration Model ,	2,2
33054,9,4., 	WORK COMPLETED ,	3,1
33054,10,4.1, 	Summary of Wrok Completed ,	3,2
33054,11,4.2, 	Stream Sediment Sampling ,	3,2
33054,12,4.3, 	Rock Chip Sampling ,	3,2
33054,13,4.4, 	Soil Sampling ,	4,2
33054,14,4.5, 	Work by Strike Mining ,	4,2
33054,15,5., 	CONCLUSIONS ,	4,1
33355,0,,CR ,	3,0
33355,1,,CONTENTS,,0
33355,2,,FIGURES,,0
33355,3,1., 	Borehole Location Map,,0
33355,4,,APPENDICES,,0
33355,5,,A. 	English Lithology Logs,,0
33355,6,,B. 	Graphical Logs,,0
33355,7,,C. 	Downhole Geophysical Logs,,0
36198,0,,TABLE OF CONTENTS,,0
36198,1,,Page,,0
36198,2,1., 	INTRODUCTION ,	1,1
36198,3,2., 	TENURE ,	1,1
36198,4,3., 	GEOLOGY ,	1,1
36198,5,4., 	PREVIOUS EXPLORATION WORK ,	3,1
36198,6,5., 	EXPLORATION WORK COMPLETED ,	3,1
36198,7,5.1, 	Introduction ,	3,2
36198,8,5.2, 	Drilling ,	3,2
36198,9,6., 	CONCLUSIONS ,	4,1
36198,10,,List of Figures,,0
36198,11,,Drawing No.,,0
36198,12,,Figure 1 	Location - Tenement Map 	A4-2324,,0
36198,13,,Figure 2 	Summary Map Showing all Work Completed 	A4-2561,,0
36198,14,,List of Tables,,0
36198,15,,Page,,0
36198,16,,Table 1 	Tenement Details ,	1,0
36198,17,,Table 2 	Major Stratigraphic Units - Wilgunya Area ,	2,0
36198,18,,Table 3 	Summary of Drilling Details ,	4,0
36198,19,,List of Appendices,,0
36198,20,,Appendix 1 	Drill Hole Logs and Data,,0
37414,0,,TABLE OF CONTENTS,,0
37414,1,,Page,,0
37414,2,1., 	INTRODUCTION ,	1,1
37414,3,2., 	TENURE ,	1,1
37414,4,3., 	GEOLOGY ,	2,1
37414,5,4., 	EXPLORATION MODELS ,	2,1
37414,6,5., 	EXPLORATION WORK COMPLETED BY BHPB ,	3,1
37414,7,5.1, 	Introduction ,	3,2
37414,8,5.2, 	FALCONTM Survey ,	3,2
37414,9,5.3, 	Data Interpretation ,	3,2
37414,10,6., 	CONCLUSIONS ,	4,1
37414,11,7., 	REFERENCES ,	5,1
37414,12,,List of Figures,,0
37414,13,,Drawing No.,,0
37414,14,,Figure 1 	Location - Tenement Map 	A4-2514,,0
37414,15,,Figure 2 	Regional Geology and Target Areas 	X,,0
37414,16,,List of Tables,,0
37414,17,,Page,,0
37414,18,,Table 1 	Tenement Details ,	1,0
37414,19,,List of Appendices,,0
37414,20,,Appendix 1 	Summary Information on Anomalies,,0
37838,0,,TABLE OF CONTENTS,,0
37838,1,,Page,,0
37838,2,1., 	INTRODUCTION ,	1,1
37838,3,2., 	TENURE ,	1,1
37838,4,3., 	GEOLOGY ,	1,1
37838,5,4., 	EXPLORATION WORK COMPLETED DURING THE PERIOD ,	2,1
37838,6,5., 	CONCLUSIONS ,	2,1
37838,7,,List of Figures,,0
37838,8,,Drawing No.,,0
37838,9,,Figure 1 	Location - Tenement Map 	A4-2417,,0
37838,10,,List of Tables,,0
37838,11,,Page,,0
37838,12,,Table 1 	Tenement Details ,	1,0
38865,0,,TABLE OF CONTENTS,,0
38865,1,,Page,,0
38865,2,1., 	INTRODUCTION ,	1,1
38865,3,2., 	TENURE ,	1,1
38865,4,3., 	GEOLOGY ,	1,1
38865,5,4., 	EXPLORATION WORK COMPLETED DURING THE PERIOD ,	1,1
38865,6,,List of Figures,,0
38865,7,,Drawing No.,,0
38865,8,,Figure 1 	Location Map 	A4-2417A,,0
38865,9,,List of Tables,,0
38865,10,,Page,,0
38865,11,,Table 1 	Tenement Details ,	1,0
39782,0,,TABLE OF CONTENTS,,0
39782,1,,Page,,0
39782,2,1., 	INTRODUCTION ,	1,1
39782,3,2., 	TENEMENT DETAILS ,	1,1
39782,4,3., 	GEOLOGY ,	1,1
39782,5,4., 	WORK COMPLETED ,	2,1
39782,6,4.1, Ground Geophysics ,	2,2
39782,7,4.2, Drilling ,	2,2
39782,8,5., 	CONCLUSIONS ,	4,1
39782,9,,List of Figures,,0
39782,10,,Drawing No.,,0
39782,11,,Figure 1 	Location Map 	A4-2630,,0
39782,12,,Figure 2 	Summary Map 	A3-1446,,0
39782,13,,Figure 3 	Strip Log (ESD04007),,0
39782,14,,Figure 4 	Strip Log (ESD04008),,0
39782,15,,List of Tables,,0
39782,16,,Page,,0
39782,17,,Table 1 	Tenement Details ,	1,0
39782,18,,Table 2 	Drilling Summary ,	3,0
39782,19,,List of Appendices,,0
39782,20,,Appendix 1 	Ground gravity and magnetic data,,0
39782,21,,"Appendix 2 	Drill Collar, downhole survey and downhole geology",,0
39782,22,,Appendix 3 	Downhole Geochemistry,,0
39782,23,,Appendix 4 	Downhole magnetic susceptibility readings,,0
39782,24,,Appendix 5 	Specific Gravity measurements (core),,0
42781,0,,TABLE OF CONTENTS,,0
42781,1,,Page,,0
42781,2,1., 	INTRODUCTION ,	6,1
42781,3,2., 	TENURE ,	6,1
42781,4,3., 	GEOLOGY ,	7,1
42781,5,4., 	EXPLORATION WORK COMPLETED DURING THE PERIOD ,	8,1
42781,6,4.1, 	Introduction ,	8,2
42781,7,4.2, 	Target Selection ,	9,2
42781,8,4.3, 	Geophysics ,	9,2
42781,9,5., 	CONCLUSIONS ,	41,1
42781,10,6., 	REFERENCES ,	41,1
42781,11,,List of Figures,,0
42781,12,,Drawing No.,,0
42781,13,,Figure 1 	Location Map 	A4-2649,,0
42781,14,,Figure 2 	Summary Map 	A4-2650,,0
42781,15,,List of Tables,,0
42781,16,,Page,,0
42781,17,,Table 1 	Tenement Details ,	6,0
42781,18,,Table 2 	Lithostratigraphic and geophysical comparison between the,,0
42781,19,,Soldiers Cap Group and Fullarton River Group ,	8,0
42781,20,,Table 3 	Description of Target Areas ,	9,0
42781,21,,List of Appendices,,0
42781,22,,Appendix 1 	Ground Gravity Data,,0
43505,0,,TABLE OF CONTENTS,,0
43505,1,,Page,,0
43505,2,1, 	Introduction ,	1,1
43505,3,1.1, Tenure ,	1,2
43505,4,1.2, Geology ,	2,2
43505,5,2, 	Exploration Completed ,	6,1
43505,6,2.1, Airborne Electromagnetics (AEM) ,	6,2
43505,7,2.1.1, Results ,	6,2
43505,8,2.1.2, Conclusions ,	7,2
43505,9,3, 	References ,	10,1
43505,10,,List of Figures,,0
43505,11,,Page,,0
43505,12,,Figure 1: Tenement Location Map ,	3,0
43505,13,,Figure 2: Airborne EM Lines over Aeromagnetics ,	7,0
43505,14,,Figure 3: Conductivity depth images for EPM14724 ,	8,0
43505,15,,Figure 4: Conductivity depth images for EPM14722 ,	9,0
43505,16,,List of Tables,,0
43505,17,,Page,,0
43505,18,,Table 1: Tenement Listing ,	1,0
43505,19,,Table 2: Tenement Details ,	1,0
43505,20,,Table 3 	Georgetown Province Litho-Stratigraphy ,	4,0
43505,21,,Table 4 	Airborne Equipment Specifications ,	7,0
44387,0,,TABLE OF CONTENTS,,0
44387,1,,Page,,0
44387,2,1., 	INTRODUCTION ,	1,1
44387,3,2., 	TENURE ,	1,1
44387,4,3., 	GEOLOGY ,	2,1
