DocID,LineNum,SectionText,Heading
26168,15,cyfra1 punkt cyfra2  	Soil Geochemistry strona ,2
26168,16,cyfra1 punkt cyfra2  	Airborne EM (GEOTEM) Survey Re-interpretation strona ,2
26168,17,cyfra1  	CONCLUSIONS strona ,1
26168,18,REFERENCES strona ,1
26168,19,DEPARTMENT OF MIAIKI,0
26168,20,Exploration Reports Managamen i,0
26168,21,TRANSACTION No,0
26168,23,REPORT NO,0
26168,24,.36.1.6.8,0
26168,25,PART,0
26515,0,EPM 9873 	January 1995,0
26515,1,TABLE OF CONTENTS,0
26515,2,SUMMARY,1
26515,3,cyfra1 punkt  	INTRODUCTION strona ,1
26515,4,cyfra1 punkt  	TENEMENT DETAILS strona ,1
26515,5,cyfra1 punkt  	GEOLOGY strona ,1
26515,6,cyfra1 punkt  	PREVIOUS EXPLORATION strona ,1
26515,7,cyfra1 punkt  	BHP EXPLORATION PROGRAM strona ,1
26515,8,cyfra1 punkt  	DISCUSSION strona ,1
26515,9,cyfra1 punkt  	RECOMMENDATIONS AND CONCLUSIONS strona ,1
26515,10,REFERENCES strona ,1
26515,11,DEPARTMENT OF MINERALS AND ENERGY,0
26515,12,Exploration Reports Management System,0
26515,13,TRANSACTION No 	$.1012,0
26515,14,REPORT NO 	265.3..,0
26515,15,PART 	of,0
26518,0,EPM 9216 	February 1995,0
26518,1,TABLE OF CONTENTS,0
26518,2,SUMMARY,1
26518,3,Page,0
26518,4,cyfra1 punkt  	INTRODUCTION strona ,1
26518,5,cyfra1 punkt  	TENEMENT INFORMATION strona ,1
26518,6,cyfra1 punkt  	PREVIOUS WORK strona ,1
26518,7,cyfra1 punkt  	EXPLORATION BY BHPM strona ,1
26518,8,cyfra1 punkt cyfra2  	Open Range Aeromagnetic Survey strona ,2
26518,9,cyfra1 punkt cyfra2  	Exploration During 1993 strona ,2
26518,10,cyfra1 punkt cyfra2 punkt cyfra3  Airborne EM Survey strona ,2
26518,11,cyfra1 punkt cyfra2 punkt cyfra3  Ground Magnetics strona ,2
26518,12,cyfra1 punkt cyfra2 punkt cyfra3  Soil Sampling strona ,2
26518,13,cyfra1 punkt cyfra2  	Exploration during 1994,2
26518,14,cyfra1 punkt  	CONCLUSIONS strona ,1
26518,15,DEPARTMENT off MINERALS AND ENERGY,0
26518,16,Exploration Reports Management System,0
26518,17,TRANSACTION NO 	$7R.6,0
26518,18,REPORT NO 	069.8,0
26518,19,PART 	of,0
26525,0,"EPMs 9348, 9913, 9914, 9941 & 10416 	February 1995",0
26525,1,TABLE OF CONTENTS,0
26525,2,SUMMARY,1
26525,3,Page,0
26525,4,cyfra1 punkt  	INTRODUCTION strona ,1
26525,5,cyfra1 punkt  	TENEMENT DETAILS strona ,1
26525,6,cyfra1 punkt cyfra2  	EPM 9348 - Lighthouse strona ,2
26525,7,cyfra1 punkt cyfra2  	EPM 9913 - Mt Misery strona ,2
26525,8,cyfra1 punkt cyfra2  	EPM 9914 - Stephen Creek strona ,2
26525,9,cyfra1 punkt cyfra2  	EPM 9941 - White Springs Creek strona ,2
26525,10,cyfra1 punkt cyfra2  	EPM 10416 Eveleigh strona ,2
26525,11,cyfra1 punkt  	GEOLOGY strona ,1
26525,12,cyfra1 punkt  	PREVIOUS EXPLORATION strona ,1
26525,13,cyfra1 punkt cyfra2  	Lighthouse/Mt Misery EPMs strona ,2
26525,14,cyfra1 punkt cyfra2  	White Springs Creek/Eveleigh EPMs strona ,2
26525,15,cyfra1 punkt cyfra2  	Stephen Creek EPM strona ,2
26525,16,cyfra1 punkt  	WORK CONDUCTED strona ,1
26525,17,cyfra1 punkt cyfra2  	Aeromagnetics Data strona ,2
26525,18,cyfra1 punkt cyfra2  	Ground Checking of Aeromagnetic Features strona ,2
26525,19,cyfra1 punkt cyfra2  	Stream Sediment Geochemistry strona ,2
26525,20,cyfra1 punkt cyfra2  	Rock-chip Geochemistry/Mineralisation Styles strona ,2
26525,21,cyfra1 punkt cyfra2  	Heavy Mineral Sampling strona ,2
26525,22,cyfra1 punkt cyfra2  	BLEG Stream Sampling strona ,2
26525,23,cyfra1 punkt  	CONCLUSIONS AND RECOMMENDATIONS strona ,1
26845,0,EPM 9335,0
26845,1,Jun-95,0
26845,2,TABLE OF CONTENTS,0
26845,3,Page,0
26845,4,SUMMARY,1
26845,5,cyfra1 punkt  	INTRODUCTION strona ,1
26845,6,cyfra1 punkt  	TENEMENT DETAILS strona ,1
26845,7,cyfra1 punkt  	GEOLOGY strona ,1
26845,8,cyfra1 punkt  	PREVIOUS EXPLORATION strona ,1
26845,9,cyfra1 punkt  	BHP EXPLORATION PROGRAM strona ,1
26845,10,cyfra1 punkt cyfra2  	Stream Sediment Sampling strona ,2
26845,11,cyfra1 punkt cyfra2  	Soil Sampling strona ,2
26845,12,cyfra1 punkt cyfra2  	Rock-chip Sampling strona ,2
26845,13,cyfra1 punkt  	DISCUSSION strona ,1
26845,14,cyfra1 punkt  	RECOMMENDATIONS AND CONCLUSIONS strona ,1
26845,15,REFERENCES strona ,1
27409,0,EPM 8440 	December 1995,0
27409,1,TABLE OF CONTENTS,0
27409,2,Page,0
27409,3,SUMMARY,1
27409,4,cyfra1 punkt  	INTRODUCTION strona ,1
27409,5,cyfra1 punkt cyfra2  	Tenement details strona ,2
27409,6,cyfra1 punkt cyfra2  	Site rehabilitation strona ,2
27409,7,cyfra1 punkt cyfra2  	Geology and target concept strona ,2
27409,8,cyfra1 punkt  	PREVIOUS EXPLORATION strona ,1
27409,9,cyfra1 punkt  	WORK COMPLETED strona ,1
27409,10,cyfra1 punkt cyfra2  	Ground magneties strona ,2
27409,11,cyfra1 punkt cyfra2  	Drilling strona ,2
27409,12,"cyfra1 punkt cyfra2 punkt cyfra3  Site 44 ""Clonagh"" strona ",2
27409,13,cyfra1 punkt  	CONCLUSIONS AND RECOMMENDATION strona ,1
27958,0,EPM 10777 	April 1996,0
27958,1,TABLE OF CONTENTS,0
27958,2,Page,0
27958,3,SUMMARY,1
27958,4,cyfra1 punkt  	INTRODUCTION strona ,1
27958,5,cyfra1 punkt  	TENEMENT DETAILS strona ,1
27958,6,cyfra1 punkt  	EXPLORATION BY BHP strona ,1
27958,7,cyfra1 punkt cyfra2  Regional Interpretation strona ,2
27958,8,cyfra1 punkt cyfra2  Ground SIROTEM Survey strona ,2
27958,9,cyfra1 punkt  	CONCLUSION strona ,1
27972,0,"EPMs 8662, 8688, 8734 	15 February 1996",0
27972,1,TABLE OF CONTENTS,0
27972,2,SUMMARY,1
27972,3,Page,0
27972,4,cyfra1 punkt  	INTRODUCTION strona ,1
27972,5,cyfra1 punkt  	TENEMENT DETAILS strona ,1
27972,6,cyfra1 punkt cyfra2  	EPM 8662 Fernhill strona ,2
27972,7,cyfra1 punkt cyfra2  	EPM 8688 Frasers Well strona ,2
27972,8,cyfra1 punkt cyfra2  	EPM 8734 Percyvale strona ,2
27972,9,cyfra1 punkt  	GEOLOGY strona ,1
27972,10,cyfra1 punkt  	PAST EXPLORATION strona ,1
27972,11,cyfra1 punkt  	EXPLORATION CONDUCTED strona ,1
27972,12,cyfra1 punkt cyfra2  	Introduction strona ,2
27972,13,cyfra1 punkt cyfra2  	Geology strona ,2
27972,14,cyfra1 punkt cyfra2  	Geochemistry strona ,2
27972,15,cyfra1 punkt cyfra2 punkt cyfra3  	Stream Sediment Geochemistry strona ,2
27972,16,cyfra1 punkt cyfra2 punkt cyfra3  	Rock chip sampling strona ,2
27972,17,cyfra1 punkt cyfra2 punkt cyfra3  	Soil Sampling strona ,2
27972,18,cyfra1 punkt cyfra2  	Geophysics strona ,2
27972,19,cyfra1 punkt cyfra2 punkt cyfra3  	Acquisition of Aeromagnetic Data strona ,2
27972,20,cyfra1 punkt cyfra2 punkt cyfra3  	Ground Magnetic Traverses strona ,2
27972,21,cyfra1 punkt cyfra2 punkt cyfra3  	Airborne GEOTEM survey strona ,2
27972,22,cyfra1 punkt cyfra2 punkt cyfra3  	Ground EM strona ,2
27972,23,cyfra1 punkt cyfra2  	RC and Diamond Drilling strona ,2
27972,24,cyfra1 punkt  	CONCLUSIONS strona ,1
27972,25,REFERENCES strona ,1
28298,0,EPM 10778 	August 1996,0
28298,1,TABLE OF CONTENTS,0
28298,2,Page,0
28298,3,cyfra1 punkt  	INTRODUCTION strona ,1
28298,4,cyfra1 punkt  	TENEMENT INFORMATION strona ,1
28298,5,cyfra1 punkt  	PREVIOUS EXPLORATION strona ,1
28298,6,cyfra1 punkt  	EXPLORATION RATIONALE strona ,1
28298,7,cyfra1 punkt cyfra2  	Geology strona ,2
28298,8,cyfra1 punkt cyfra2  	Exploration Target and Concept strona ,2
28298,9,cyfra1 punkt  	WORK COMPLETED BY BHP MINERALS strona ,1
28298,10,cyfra1 punkt cyfra2  	GEOTEM Reprocessing Results strona ,2
28298,11,cyfra1 punkt cyfra2  	GEOTEM Results strona ,2
28298,12,cyfra1 punkt cyfra2  	Moving Loop EM Surveying strona ,2
28298,13,cyfra1 punkt cyfra2  	Moving Loop EM Processing strona ,2
28298,14,cyfra1 punkt cyfra2  	Moving Loop EM Results strona ,2
29013,0,Police Creek Annual Report 	June 1997,0
29013,1,TABLE OF CONTENTS,0
29013,2,Page,0
29013,3,SUMMARY,1
29013,4,INTRODUCTION strona ,1
29013,5,cyfra1 punkt cyfra2  	Purpose and aim of report strona ,2
29013,6,cyfra1 punkt cyfra2  	Locatioan of the Police Creek GEOTEM survey strona ,2
29013,7,cyfra1 punkt cyfra2  	Survey's coordinate system strona ,2
29013,8,cyfra1 punkt cyfra2  	Tenement status and details strona ,2
29013,9,cyfra1 punkt cyfra2  	Local geology strona ,2
29013,10,cyfra1 punkt cyfra2  	Target rationale and concept strona ,2
29013,11,cyfra1 punkt cyfra2  	Previous work done strona ,2
29013,12,cyfra1 punkt  	1997 POLICE CREEK GEOTEM SURVEY strona ,1
29013,13,cyfra1 punkt cyfra2  	GEOTEM survey area strona ,2
29013,14,cyfra1 punkt cyfra2  	Technical survey parameters strona ,2
29013,15,cyfra1 punkt cyfra2 punkt cyfra3  GEOTEM character over survey area strona ,2
29013,16,cyfra1 punkt cyfra2 punkt cyfra3  GEOTEM anomalies strona ,2
29013,17,cyfra1 punkt  	FOLLOW UP OF GEOTEM ANOMALIES strona ,1
29013,18,cyfra1 punkt  	CONCLUSIONS AND RECOMMENDATIONS strona ,1
29013,19,cyfra1 punkt  	REFERENCES strona ,1
29349,0,"EPMs 8913, 10435 Sandy Creek JV 	November 1997",0
29349,1,TABLE OF CONTENTS,0
29349,2,Page,0
29349,3,cyfra1 punkt  	INTRODUCTION strona ,1
29349,4,cyfra1 punkt  	TENEMENTS strona ,1
29349,5,cyfra1 punkt  	GEOLOGY strona ,1
29349,6,cyfra1 punkt  	WORK COMPLETED strona ,1
29349,7,cyfra1 punkt cyfra2  	Kuridala Combined GEOTEM and Aeromagnetic Survey strona ,2
29349,8,cyfra1 punkt cyfra2  	Jolimont Gravity Survey strona ,2
29349,9,cyfra1 punkt cyfra2  	Bustard Flat Moving Loop SIROTEM strona ,2
29349,10,cyfra1 punkt cyfra2  	Bustard Flat Drilling: ANP453 strona ,2
29349,11,cyfra1 punkt cyfra2  	CONCLUSIONS AND RECOMMENDATIONS strona ,2
29733,0,Lightning Creek/Buster Creek Joint Venture 	March 1997,0
29733,1,TABLE OF CONTENTS,0
29733,2,Page,0
29733,3,SUMMARY,1
29733,4,cyfra1 punkt  	INTRODUCTION strona ,1
29733,5,cyfra1 punkt  	TENEMENT DETAILS strona ,1
29733,6,cyfra1 punkt  	PREVIOUS WORK strona ,1
29733,7,cyfra1 punkt  	WORK COMPLETED FOR THE YEAR TO 15 TH strona ,1
29733,8,"DECEMBER, 1997",0
29733,9,cyfra1 punkt cyfra2  	Cowie GEOTEM anomaly strona ,2
29733,10,cyfra1 punkt cyfra2  	Moving Loop EM and Ground Magnetics strona ,2
29733,11,cyfra1 punkt cyfra2  	Diamond drilling strona ,2
29733,12,cyfra1 punkt  	CONCLUSIONS AND RECOMMENDATIONS strona ,1
30281,0,CONTENTS,0
30281,1,ITEM 	PAGE,0
30281,2,SUMMARY strona ,1
30281,3,INTRODUCTION strona ,1
30281,4,Table 1: Borehole Data strona ,2
30281,5,GEOLOGY strona ,1
30281,6,DRILLING OPERATIONS 	2 3,1
30281,7,LITHOLOGICAL AND MUD GAS LOGGING strona ,1
30281,8,WIRELINE LOGGING strona ,1
30281,9,DRILL STEM TESTING strona ,1
30281,10,PLUG AND ABANDON PROGRAMME 	3 4,1
30281,11,ATTACHED FIGURES,0
30281,12,Figure 1 	Location and Geological Setting,0
30281,13,Figure 2 	Drilling Progress,0
30281,14,ENCLOSURES,0
30281,15,Cuttings Descriptions,0
30281,16,Formation Evaluation Log,0
30281,17,S7 313,0
30281,18,cyfra1 e 3023.\ 28.\,0
30392,0,Urandangi Project Annual Report 	September 1998,0
30392,1,TABLE OF CONTENTS,0
30392,2,Page,0
30392,3,SUMMARY,1
30392,4,cyfra1 punkt  	INTRODUCTION strona ,1
30392,5,-,0
30392,6,cyfra1 punkt  	TENURE strona ,1
30392,7,cyfra1 punkt  	RATIONALE FOR EXPLORATION strona ,1
30392,8,cyfra1 punkt  	PREVIOUS WORK BY BHP MINERALS strona ,1
30392,9,cyfra1 punkt  	WORK COMPLETED BY BHP MINERALS IN THE CURRENT,1
30392,10,TERM strona ,0
30392,11,cyfra1 punkt cyfra2  	Site U 24 strona ,2
30392,12,cyfra1 punkt  	CONCLUSIONS strona ,1
30540,0,EPM 10628 	September 1998,0
30540,1,TABLE OF CONTENTS,0
30540,2,Page,0
30540,3,cyfra1 punkt  	INTRODUCTION strona ,1
30540,4,cyfra1 punkt  	TENEMENT DETAILS strona ,1
30540,5,cyfra1 punkt  	PREVIOUS EXPLORATION strona ,1
30540,6,cyfra1 punkt  	WORK COMPLETED strona ,1
30540,7,"cyfra1 punkt cyfra2  	Ground PROTEM Survey, Line 2100N strona ",2
30540,8,cyfra1 punkt cyfra2  	Drill Hole BD01 strona ,2
30540,9,"cyfra1 punkt cyfra2  	Downhole PROTEM, Hole BD01 strona ",2
30540,10,cyfra1 punkt  	CONCLUSION strona ,1
30540,11,REFERENCES strona ,1
31069,0,TABLE OF CONTENTS,0
31069,1,Page,0
31069,2,SUMMARY,1
31069,3,cyfra1 punkt  INTRODUCTION strona ,1
31069,4,cyfra1 punkt  	TENEMENT DETAILS strona ,1
31069,5,cyfra1 punkt cyfra2  Location and Access strona ,2
31069,6,cyfra1 punkt cyfra2  Tenure strona ,2
31069,7,cyfra1 punkt  GEOLOGY strona ,1
31069,8,cyfra1 punkt  	WORK COMPLETED strona ,1
31069,9,cyfra1 punkt cyfra2  	125 Hz GEOTEM Survey - Aberfoyle strona ,2
31069,10,cyfra1 punkt cyfra2  	25 Hz GEOTEMDEEP Survey - BHP Minerals strona ,2
31069,11,cyfra1 punkt cyfra2  Aeromagnetics strona ,2
31069,12,cyfra1 punkt  CONCLUSIONS strona ,1
31069,13,DEPARTMENT OF MINERALS AND ENERGY,0
31069,14,Exploration Reports Management System,0
31069,15,TRANSACTION No: 	5.8.4..,0
31069,16,REPORT NO,0
31069,18,PART 	I.. 	I..of,0
31356,0,CR 31356,0
31356,1,EPM 10732 - Partial Relinquishment Report 	October 1999,0
31356,2,TABLE OF CONTENTS,0
31356,3,SUMMARY 	Page,1
31356,4,cyfra1 punkt  	INTRODUCTION strona ,1
31356,5,cyfra1 punkt  	TENEMENT DETAILS strona ,1
31356,6,cyfra1 punkt  	GEOLOGY strona ,1
31356,7,cyfra1 punkt  	PREVIOUS WORK strona ,1
31356,8,cyfra1 punkt  	WORK COMPLETED strona ,1
31356,9,cyfra1 punkt cyfra2  	25 Hz GEOTEM Survey strona ,2
31356,10,cyfra1 punkt  	CONCLUSIONS strona ,1
32676,0,CR 10157 EPM 7786 Longford 	March 2001,0
32676,1,TABLE OF CONTENTS,0
32676,2,Page,0
32676,3,SUMMARY,1
32676,4,cyfra1 punkt  	INTRODUCTION strona ,1
32676,5,cyfra1 punkt  	HISTORY AND TENEMENT DETAILS strona ,1
32676,6,cyfra1 punkt  	GEOLOGY strona ,1
32676,7,cyfra1 punkt  	WORK COMPLETED BY BHPM strona ,1
32676,8,cyfra1 punkt cyfra2  	Summary of Work Completed strona ,2
32676,9,cyfra1 punkt cyfra2  Aeromagnetic Surveys strona ,2
32676,10,cyfra1 punkt cyfra2  Ground Magnetic Surveys strona ,2
32676,11,cyfra1 punkt cyfra2  Ground EM Surveys strona ,2
32676,12,cyfra1 punkt cyfra2  Gravity Surveys strona ,2
32676,13,cyfra1 punkt cyfra2  	Stream BLEG and Soil and Rock Sampling Mayfields Area strona ,2
32676,14,cyfra1 punkt cyfra2  Drilling strona ,2
32676,15,cyfra1 punkt cyfra2  	Down Hole EM Surveys strona ,2
32676,16,cyfra1 punkt cyfra2  Petrology strona ,2
32676,17,cyfra1 punkt  	CONCLUSIONS strona ,1
32676,18,REFERENCES strona ,1
33054,0,CR 10352 - EPM 11217 South Palmer River 	November 2001,0
33054,1,TABLE OF CONTENTS,0
33054,2,Page,0
33054,3,SUMMARY,1
33054,4,cyfra1 punkt  	INTRODUCTION strona ,1
33054,5,cyfra1 punkt  	TENEMENT DETAILS strona ,1
33054,6,cyfra1 punkt  	GEOLOGY AND EXPLORATION MODEL strona ,1
33054,7,cyfra1 punkt cyfra2  Geology strona ,2
33054,8,cyfra1 punkt cyfra2  	Exploration Model strona ,2
33054,9,cyfra1 punkt  	WORK COMPLETED strona ,1
33054,10,cyfra1 punkt cyfra2  	Summary of Wrok Completed strona ,2
33054,11,cyfra1 punkt cyfra2  	Stream Sediment Sampling strona ,2
33054,12,cyfra1 punkt cyfra2  	Rock Chip Sampling strona ,2
33054,13,cyfra1 punkt cyfra2  	Soil Sampling strona ,2
33054,14,cyfra1 punkt cyfra2  	Work by Strike Mining strona ,2
33054,15,cyfra1 punkt  	CONCLUSIONS strona ,1
33355,0,CR strona ,0
33355,1,CONTENTS,0
33355,2,FIGURES,0
33355,3,cyfra1 punkt  	Borehole Location Map,0
33355,4,APPENDICES,0
33355,5,A. 	English Lithology Logs,0
33355,6,B. 	Graphical Logs,0
33355,7,C. 	Downhole Geophysical Logs,0
36198,0,TABLE OF CONTENTS,0
36198,1,Page,0
36198,2,cyfra1 punkt  	INTRODUCTION strona ,1
36198,3,cyfra1 punkt  	TENURE strona ,1
36198,4,cyfra1 punkt  	GEOLOGY strona ,1
36198,5,cyfra1 punkt  	PREVIOUS EXPLORATION WORK strona ,1
36198,6,cyfra1 punkt  	EXPLORATION WORK COMPLETED strona ,1
36198,7,cyfra1 punkt cyfra2  	Introduction strona ,2
36198,8,cyfra1 punkt cyfra2  	Drilling strona ,2
36198,9,cyfra1 punkt  	CONCLUSIONS strona ,1
36198,10,List of Figures,0
36198,11,Drawing No.,0
36198,12,Figure 1 	Location - Tenement Map 	A4-2324,0
36198,13,Figure 2 	Summary Map Showing all Work Completed 	A4-2561,0
36198,14,List of Tables,0
36198,15,Page,0
36198,16,Table 1 	Tenement Details strona ,0
36198,17,Table 2 	Major Stratigraphic Units - Wilgunya Area strona ,0
36198,18,Table 3 	Summary of Drilling Details strona ,0
36198,19,List of Appendices,0
36198,20,Appendix 1 	Drill Hole Logs and Data,0
37414,0,TABLE OF CONTENTS,0
37414,1,Page,0
37414,2,cyfra1 punkt  	INTRODUCTION strona ,1
37414,3,cyfra1 punkt  	TENURE strona ,1
37414,4,cyfra1 punkt  	GEOLOGY strona ,1
37414,5,cyfra1 punkt  	EXPLORATION MODELS strona ,1
37414,6,cyfra1 punkt  	EXPLORATION WORK COMPLETED BY BHPB strona ,1
37414,7,cyfra1 punkt cyfra2  	Introduction strona ,2
37414,8,cyfra1 punkt cyfra2  	FALCONTM Survey strona ,2
37414,9,cyfra1 punkt cyfra2  	Data Interpretation strona ,2
37414,10,cyfra1 punkt  	CONCLUSIONS strona ,1
37414,11,cyfra1 punkt  	REFERENCES strona ,1
37414,12,List of Figures,0
37414,13,Drawing No.,0
37414,14,Figure 1 	Location - Tenement Map 	A4-2514,0
37414,15,Figure 2 	Regional Geology and Target Areas 	X,0
37414,16,List of Tables,0
37414,17,Page,0
37414,18,Table 1 	Tenement Details strona ,0
37414,19,List of Appendices,0
37414,20,Appendix 1 	Summary Information on Anomalies,0
37838,0,TABLE OF CONTENTS,0
37838,1,Page,0
37838,2,cyfra1 punkt  	INTRODUCTION strona ,1
37838,3,cyfra1 punkt  	TENURE strona ,1
37838,4,cyfra1 punkt  	GEOLOGY strona ,1
37838,5,cyfra1 punkt  	EXPLORATION WORK COMPLETED DURING THE PERIOD strona ,1
37838,6,cyfra1 punkt  	CONCLUSIONS strona ,1
37838,7,List of Figures,0
37838,8,Drawing No.,0
37838,9,Figure 1 	Location - Tenement Map 	A4-2417,0
37838,10,List of Tables,0
37838,11,Page,0
37838,12,Table 1 	Tenement Details strona ,0
38865,0,TABLE OF CONTENTS,0
38865,1,Page,0
38865,2,cyfra1 punkt  	INTRODUCTION strona ,1
38865,3,cyfra1 punkt  	TENURE strona ,1
38865,4,cyfra1 punkt  	GEOLOGY strona ,1
