DocID,LineNum,LineText,HeadingType
25551,1,SUMMARY,Summ
25551,2, INTRODUCTION,Intro
25551,4, Introductory Statement,None
25551,6, Tenement Details,None
25551,8, Exploration Strategy,None
25551,10, Summary of Work Conducted,Work
25551,12, SURFACE EVALUATION,None
25551,14, Geology,None
25551,16, Rock Chip sampling,None
25551,18, GEOPHYSICS,None
25551,20, Airborne GEOTEM,None
25551,22, Moving Loop EM,None
25551,24, Ground magnetics,None
25551,26, CONCLUSION,None
25551,28, REFERENCES,None
26114,0,EPM ,None
26114,1,July ,None
26114,2,TABLE OF CONTENTS,None
26114,3,SUMMARY,Summ
26114,4,Page,None
26114,6,INTRODUCTION,Intro
26114,9,TENEMENT DETAILS,None
26114,12,GEOLOGY,None
26114,15,PREVIOUS EXPLORATION,None
26114,18,BHP EXPLORATION PROGRAM,None
26114,21,Reconnaissance Sampling,None
26114,24,The Three Peaks Prospect,None
26114,27,Gridding,None
26114,30,Mapping,None
26114,33,Soil Sampling,None
26114,36,Ground Magnetics Survey,None
26114,39,DISCUSSION,None
26114,42,RECOMMENDATIONS AND CONCLUSIONS,None
26114,44,REFERENCES,None
26114,46,DEPAFITAEEAT GAEECANS A AND CESGY,None
26114,47,Expioratlo Reports Management System,None
26114,48,TFANSACTION NO,None
26114,49,REPORT NC,None
26114,50,PAFT,None
26114,51,of,None
26168,0,CR CR  O  ,None
26168,1,EPM ,None
26168,2,January ,None
26168,3,TABLE OF CONTENTS,None
26168,4,Page,None
26168,5,SUMMARY,Summ
26168,7,INTRODUCTION,Intro
26168,10,Introductory Statement,None
26168,13,Tenement Details,None
26168,16,Summary of Work Conducted,Work
26168,19,REGIONAL GEOLOGY,None
26168,22,Stratigraphy,None
26168,25,Structure and Metamorphism,None
26168,28,EXPLORATION ACTIVITY,None
26168,31,Surface Inspection and Mapping,None
26168,34,Rock Chip Sampling,None
26168,37,Soil Geochemistry,None
26168,40,Airborne EM GEOTEM Survey Reinterpretation,None
26168,43,CONCLUSIONS,None
26168,45,REFERENCES,None
26168,47,DEPARTMENT OF MIAIKI,None
26168,48,Exploration Reports Managamen i,None
26168,49,TRANSACTION No,None
26168,51,REPORT NO,None
26168,53,PART,None
26515,0,EPM ,None
26515,1,January ,None
26515,2,TABLE OF CONTENTS,None
26515,3,SUMMARY,Summ
26515,5,INTRODUCTION,Intro
26515,8,TENEMENT DETAILS,None
26515,11,GEOLOGY,None
26515,14,PREVIOUS EXPLORATION,None
26515,17,BHP EXPLORATION PROGRAM,None
26515,20,DISCUSSION,None
26515,23,RECOMMENDATIONS AND CONCLUSIONS,None
26515,25,REFERENCES,None
26515,27,DEPARTMENT OF MINERALS AND ENERGY,None
26515,28,Exploration Reports Management System,None
26515,29,TRANSACTION No,None
26515,31,REPORT NO,None
26515,33,PART,None
26515,34,of,None
26518,0,EPM ,None
26518,1,February ,None
26518,2,TABLE OF CONTENTS,None
26518,3,SUMMARY,Summ
26518,4,Page,None
26518,6,INTRODUCTION,Intro
26518,9,TENEMENT INFORMATION,None
26518,12,PREVIOUS WORK,Work
26518,15,EXPLORATION BY BHPM,None
26518,18,Open Range Aeromagnetic Survey,None
26518,21,Exploration During ,None
26518,23, Airborne EM Survey,None
26518,25, Ground Magnetics,None
26518,27, Soil Sampling,None
26518,30,Exploration during ,None
26518,32,CONCLUSIONS,None
26518,34,DEPARTMENT off MINERALS AND ENERGY,None
26518,35,Exploration Reports Management System,None
26518,36,TRANSACTION NO,None
26518,37,R,None
26518,38,REPORT NO,None
26518,40,PART,None
26518,41,of,None
26525,0,EPMs      ,None
26525,1,February ,None
26525,2,TABLE OF CONTENTS,None
26525,3,SUMMARY,Summ
26525,4,Page,None
26525,6,INTRODUCTION,Intro
26525,9,TENEMENT DETAILS,None
26525,12,EPM   Lighthouse,None
26525,15,EPM   Mt Misery,None
26525,18,EPM   Stephen Creek,None
26525,21,EPM   White Springs Creek,None
26525,24,EPM  Eveleigh,None
26525,27,GEOLOGY,None
26525,30,PREVIOUS EXPLORATION,None
26525,33,LighthouseMt Misery EPMs,None
26525,36,White Springs CreekEveleigh EPMs,None
26525,39,Stephen Creek EPM,None
26525,42,WORK CONDUCTED,Work
26525,45,Aeromagnetics Data,None
26525,48,Ground Checking of Aeromagnetic Features,None
26525,51,Stream Sediment Geochemistry,None
26525,54,Rockchip GeochemistryMineralisation Styles,None
26525,57,Heavy Mineral Sampling,None
26525,60,BLEG Stream Sampling,None
26525,63,CONCLUSIONS AND RECOMMENDATIONS,None
26845,0,EPM ,None
26845,1,June ,None
26845,2,TABLE OF CONTENTS,None
26845,3,Page,None
26845,4,SUMMARY,Summ
26845,6,INTRODUCTION,Intro
26845,9,TENEMENT DETAILS,None
26845,12,GEOLOGY,None
26845,15,PREVIOUS EXPLORATION,None
26845,18,BHP EXPLORATION PROGRAM,None
26845,21,Stream Sediment Sampling,None
26845,24,Soil Sampling,None
26845,27,Rockchip Sampling,None
26845,30,DISCUSSION,None
26845,33,RECOMMENDATIONS AND CONCLUSIONS,None
26845,35,REFERENCES,None
27409,0,EPM ,None
27409,1,December ,None
27409,2,TABLE OF CONTENTS,None
27409,3,Page,None
27409,4,SUMMARY,Summ
27409,6,INTRODUCTION,Intro
27409,9,Tenement details,None
27409,12,Site rehabilitation,None
27409,15,Geology and target concept,None
27409,18,PREVIOUS EXPLORATION,None
27409,21,WORK COMPLETED,Work
27409,24,Ground magneties,None
27409,27,Drilling,None
27409,29, Site  Clonagh,None
27409,32,CONCLUSIONS AND RECOMMENDATION,None
27958,0,EPM ,None
27958,1,April ,None
27958,2,TABLE OF CONTENTS,None
27958,3,Page,None
27958,4,SUMMARY,Summ
27958,6,INTRODUCTION,Intro
27958,9,TENEMENT DETAILS,None
27958,12,EXPLORATION BY BHP,None
27958,14, Regional Interpretation,None
27958,16, Ground SIROTEM Survey,None
27958,19,CONCLUSION,None
27972,0,EPMs   ,None
27972,1, February ,None
27972,2,TABLE OF CONTENTS,None
27972,3,SUMMARY,Summ
27972,4,Page,None
27972,6,INTRODUCTION,Intro
27972,9,TENEMENT DETAILS,None
27972,12,EPM  Fernhill,None
27972,15,EPM  Frasers Well,None
27972,18,EPM  Percyvale,None
27972,21,GEOLOGY,None
27972,24,PAST EXPLORATION,None
27972,27,EXPLORATION CONDUCTED,None
27972,30,Introduction,None
27972,33,Geology,None
27972,36,Geochemistry,None
27972,39,Stream Sediment Geochemistry,None
27972,42,Rock chip sampling,None
27972,45,Soil Sampling,None
27972,48,Geophysics,None
27972,51,Acquisition of Aeromagnetic Data,None
27972,54,Ground Magnetic Traverses,None
27972,57,Airborne GEOTEM survey,None
27972,60,Ground EM,None
27972,63,RC and Diamond Drilling,None
27972,66,CONCLUSIONS,None
27972,68,REFERENCES,None
28298,0,EPM ,None
28298,1,August ,None
28298,2,TABLE OF CONTENTS,None
28298,3,Page,None
28298,5,INTRODUCTION,Intro
28298,8,TENEMENT INFORMATION,None
28298,11,PREVIOUS EXPLORATION,None
28298,14,EXPLORATION RATIONALE,None
28298,17,Geology,None
28298,20,Exploration Target and Concept,None
28298,23,WORK COMPLETED BY BHP MINERALS,Work
28298,26,GEOTEM Reprocessing Results,None
28298,29,GEOTEM Results,None
28298,32,Moving Loop EM Surveying,None
28298,35,Moving Loop EM Processing,None
28298,38,Moving Loop EM Results,None
29013,0,Police Creek Annual Report,None
29013,1,June ,None
29013,2,TABLE OF CONTENTS,None
29013,3,Page,None
29013,4,SUMMARY,Summ
29013,5,INTRODUCTION,Intro
29013,8,Purpose and aim of report,None
29013,11,Locatioan of the Police Creek GEOTEM survey,None
29013,14,Surveys coordinate system,None
29013,17,Tenement status and details,None
29013,20,Local geology,None
29013,23,Target rationale and concept,None
29013,26,Previous work done,Work
29013,29, POLICE CREEK GEOTEM SURVEY,None
29013,32,GEOTEM survey area,None
29013,35,Technical survey parameters,None
29013,37, GEOTEM character over survey area,None
29013,39, GEOTEM anomalies,None
29013,42,FOLLOW UP OF GEOTEM ANOMALIES,None
29013,45,CONCLUSIONS AND RECOMMENDATIONS,None
29013,48,REFERENCES,None
29349,0,EPMs   Sandy Creek JV,None
29349,1,November ,None
29349,2,TABLE OF CONTENTS,None
29349,3,Page,None
29349,5,INTRODUCTION,Intro
29349,8,TENEMENTS,None
29349,11,GEOLOGY,None
29349,14,WORK COMPLETED,Work
29349,17,Kuridala Combined GEOTEM and Aeromagnetic Survey,None
29349,20,Jolimont Gravity Survey,None
29349,23,Bustard Flat Moving Loop SIROTEM,None
29349,26,Bustard Flat Drilling ANP,None
29349,29,CONCLUSIONS AND RECOMMENDATIONS,None
29733,0,Lightning CreekBuster Creek Joint Venture,None
29733,1,March ,None
29733,2,TABLE OF CONTENTS,None
29733,3,Page,None
29733,4,SUMMARY,Summ
29733,6,INTRODUCTION,Intro
29733,9,TENEMENT DETAILS,None
29733,12,PREVIOUS WORK,Work
29733,15,WORK COMPLETED FOR THE YEAR TO  TH,Work
29733,17,DECEMBER ,None
29733,19,Cowie GEOTEM anomaly,None
29733,22,Moving Loop EM and Ground Magnetics,None
29733,25,Diamond drilling,None
29733,28,CONCLUSIONS AND RECOMMENDATIONS,None
30281,0,CONTENTS,None
30281,1,ITEM,None
30281,2,PAGE,None
30281,3,SUMMARY,Summ
30281,5,INTRODUCTION,Intro
30281,7,Table  Borehole Data,None
30281,9,GEOLOGY,None
30281,11,DRILLING OPERATIONS,None
30281,12, ,None
30281,13,LITHOLOGICAL AND MUD GAS LOGGING,None
30281,15,WIRELINE LOGGING,None
30281,17,DRILL STEM TESTING,None
30281,19,PLUG AND ABANDON PROGRAMME,None
30281,20, ,None
30281,21,ATTACHED FIGURES,None
30281,22,Figure ,None
30281,23,Location and Geological Setting,None
30281,24,Figure ,None
30281,25,Drilling Progress,None
30281,26,ENCLOSURES,None
30281,27,Cuttings Descriptions,None
30281,28,Formation Evaluation Log,None
30281,29,S ,None
30281,30,e  ,None
30392,0,Urandangi Project Annual Report,None
30392,1,September ,None
30392,2,TABLE OF CONTENTS,None
30392,3,Page,None
30392,4,SUMMARY,Summ
30392,6,INTRODUCTION,Intro
30392,10,TENURE,None
30392,13,RATIONALE FOR EXPLORATION,None
30392,16,PREVIOUS WORK BY BHP MINERALS,Work
30392,19,WORK COMPLETED BY BHP MINERALS IN THE CURRENT,Work
30392,20,TERM,None
30392,23,Site U ,None
30392,26,CONCLUSIONS,None
30540,0,EPM ,None
30540,1,September ,None
30540,2,TABLE OF CONTENTS,None
30540,3,Page,None
30540,5,INTRODUCTION,Intro
30540,8,TENEMENT DETAILS,None
30540,11,PREVIOUS EXPLORATION,None
30540,14,WORK COMPLETED,Work
30540,17,Ground PROTEM Survey Line N,None
30540,20,Drill Hole BD,None
30540,23,Downhole PROTEM Hole BD,None
30540,26,CONCLUSION,None
30540,28,REFERENCES,None
31069,0,TABLE OF CONTENTS,None
31069,1,Page,None
31069,2,SUMMARY,Summ
31069,3, INTRODUCTION,Intro
31069,6,TENEMENT DETAILS,None
31069,8, Location and Access,None
31069,10, Tenure,None
31069,12, GEOLOGY,None
31069,15,WORK COMPLETED,Work
31069,18, Hz GEOTEM Survey  Aberfoyle,None
31069,21, Hz GEOTEMDEEP Survey  BHP Minerals,None
31069,23, Aeromagnetics,None
31069,25, CONCLUSIONS,None
31069,27,DEPARTMENT OF MINERALS AND ENERGY,None
31069,28,Exploration Reports Management System,None
31069,29,TRANSACTION No,None
31069,31,REPORT NO,None
31069,33,PART,None
31069,34,I,None
31069,35,Iof,None
31356,0,CR ,None
31356,1,EPM   Partial Relinquishment Report,None
31356,2,October ,None
31356,3,TABLE OF CONTENTS,None
31356,4,SUMMARY,Summ
31356,5,Page,None
31356,7,INTRODUCTION,Intro
31356,10,TENEMENT DETAILS,None
31356,13,GEOLOGY,None
31356,16,PREVIOUS WORK,Work
31356,19,WORK COMPLETED,Work
31356,22, Hz GEOTEM Survey,None
31356,25,CONCLUSIONS,None
32676,0,CR  EPM  Longford,None
32676,1,March ,None
32676,2,TI,None
32676,3,TI,None
32676,4,TABLE OF CONTENTS,None
32676,5,TI,None
32676,6,Page,None
32676,7,TI,None
32676,8,SUMMARY,Summ
32676,9,TI,None
32676,11,INTRODUCTION,Intro
32676,13,T,None
32676,15,HISTORY AND TENEMENT DETAILS,None
32676,17,TI,None
32676,19,GEOLOGY,None
32676,21,T,None
32676,23,WORK COMPLETED BY BHPM,Work
32676,25,TI,None
32676,27,Summary of Work Completed,Work
32676,29, Aeromagnetic Surveys,None
32676,31,TI,None
32676,32, Ground Magnetic Surveys,None
32676,34,II,None
32676,35, Ground EM Surveys,None
32676,37,I,None
32676,38, Gravity Surveys,None
32676,40,I,None
32676,42,Stream BLEG and Soil and Rock Sampling Mayfields Area,None
32676,44, Drilling,None
32676,46,I,None
32676,48,Down Hole EM Surveys,None
32676,50,II,None
32676,51, Petrology,None
32676,53,I,None
32676,55,CONCLUSIONS,None
32676,57,I,None
32676,58,REFERENCES,None
32676,60,I,None
32676,61,I,None
33054,0,CR   EPM  South Palmer River,None
33054,1,November ,None
33054,2,TABLE OF CONTENTS,None
33054,3,Page,None
33054,4,SUMMARY,Summ
33054,6,INTRODUCTION,Intro
33054,9,TENEMENT DETAILS,None
33054,12,GEOLOGY AND EXPLORATION MODEL,None
33054,14, Geology,None
33054,17,Exploration Model,None
33054,20,WORK COMPLETED,Work
33054,23,Summary of Wrok Completed,None
33054,26,Stream Sediment Sampling,None
33054,29,Rock Chip Sampling,None
33054,32,Soil Sampling,None
33054,35,Work by Strike Mining,Work
33054,38,CONCLUSIONS,None
33355,0,CR,None
33355,3,CONTENTS,None
33355,4,FIGURES,None
33355,7,Borehole Location Map,None
33355,9,APPENDICES,None
33355,10,A,None
33355,12,English Lithology Logs,None
33355,13,B,None
33355,14,Graphical Logs,None
33355,15,C,None
33355,17,Downhole Geophysical Logs,None
36198,0,TABLE OF CONTENTS,None
36198,1,Page,None
36198,3,INTRODUCTION,Intro
36198,6,TENURE,None
36198,9,GEOLOGY,None
36198,12,PREVIOUS EXPLORATION WORK,Work
36198,15,EXPLORATION WORK COMPLETED,Work
36198,18,Introduction,None
36198,21,Drilling,None
36198,24,CONCLUSIONS,None
36198,26,List of Figures,None
36198,27,Drawing No,None
36198,28,Figure ,None
36198,29,Location  Tenement Map,None
36198,30,A,None
36198,31,Figure ,None
36198,32,Summary Map Showing all Work Completed,Work
36198,33,A,None
36198,34,List of Tables,None
36198,35,Page,None
36198,36,Table ,None
36198,37,Tenement Details,None
36198,39,Table ,None
36198,40,Major Stratigraphic Units  Wilgunya Area,None
36198,42,Table ,None
36198,43,Summary of Drilling Details,None
36198,45,List of Appendices,None
36198,46,Appendix ,None
36198,47,Drill Hole Logs and Data,None
37414,0,TABLE OF CONTENTS,None
37414,1,Page,None
37414,3,INTRODUCTION,Intro
37414,6,TENURE,None
37414,9,GEOLOGY,None
37414,12,EXPLORATION MODELS,None
37414,15,EXPLORATION WORK COMPLETED BY BHPB,Work
37414,18,Introduction,None
37414,21,FALCONTM Survey,None
37414,24,Data Interpretation,None
37414,27,CONCLUSIONS,None
37414,30,REFERENCES,None
37414,32,List of Figures,None
37414,33,Drawing No,None
37414,34,Figure ,None
37414,35,Location  Tenement Map,None
37414,36,A,None
37414,37,Figure ,None
37414,38,Regional Geology and Target Areas,None
37414,39,X,None
37414,40,List of Tables,None
37414,41,Page,None
37414,42,Table ,None
37414,43,Tenement Details,None
37414,45,List of Appendices,None
37414,46,Appendix ,None
37414,47,Summary Information on Anomalies,None
37838,0,TABLE OF CONTENTS,None
37838,1,Page,None
37838,3,INTRODUCTION,Intro
37838,6,TENURE,None
37838,9,GEOLOGY,None
37838,12,EXPLORATION WORK COMPLETED DURING THE PERIOD,Work
37838,15,CONCLUSIONS,None
37838,17,List of Figures,None
37838,18,Drawing No,None
37838,19,Figure ,None
37838,20,Location  Tenement Map,None
37838,21,A,None
37838,22,List of Tables,None
37838,23,Page,None
37838,24,Table ,None
37838,25,Tenement Details,None
38865,0,TABLE OF CONTENTS,None
38865,1,Page,None
38865,3,INTRODUCTION,Intro
38865,6,TENURE,None
38865,9,GEOLOGY,None
38865,12,EXPLORATION WORK COMPLETED DURING THE PERIOD,Work
38865,14,List of Figures,None
38865,15,Drawing No,None
38865,16,Figure ,None
38865,17,Location Map,None
38865,18,AA,None
38865,19,List of Tables,None
38865,20,Page,None
38865,21,Table ,None
38865,22,Tenement Details,None
39782,0,TABLE OF CONTENTS,None
39782,1,Page,None
39782,3,INTRODUCTION,Intro
39782,6,TENEMENT DETAILS,None
39782,9,GEOLOGY,None
39782,12,WORK COMPLETED,Work
39782,14, Ground Geophysics,None
39782,16, Drilling,None
39782,19,CONCLUSIONS,None
39782,21,List of Figures,None
39782,22,Drawing No,None
39782,23,Figure ,None
39782,24,Location Map,None
39782,25,A,None
39782,26,Figure ,None
39782,27,Summary Map,None
39782,28,A,None
39782,29,Figure ,None
39782,30,Strip Log ESD,None
39782,31,Figure ,None
39782,32,Strip Log ESD,None
39782,33,List of Tables,None
39782,34,Page,None
39782,35,Table ,None
39782,36,Tenement Details,None
39782,38,Table ,None
39782,39,Drilling Summary,None
39782,41,List of Appendices,None
39782,42,Appendix ,None
39782,43,Ground gravity and magnetic data,None
39782,44,Appendix ,None
39782,45,Drill Collar downhole survey and downhole geology,None
39782,46,Appendix ,None
39782,47,Downhole Geochemistry,None
39782,48,Appendix ,None
39782,49,Downhole magnetic susceptibility readings,None
39782,50,Appendix ,None
39782,51,Specific Gravity measurements core,None
42781,0,TABLE OF CONTENTS,None
42781,1,Page,None
42781,3,INTRODUCTION,Intro
42781,6,TENURE,None
42781,9,GEOLOGY,None
42781,12,EXPLORATION WORK COMPLETED DURING THE PERIOD,Work
42781,15,Introduction,None
42781,18,Target Selection,None
42781,21,Geophysics,None
42781,24,CONCLUSIONS,None
42781,27,REFERENCES,None
42781,29,List of Figures,None
42781,30,Drawing No,None
42781,31,Figure ,None
42781,32,Location Map,None
42781,33,A,None
42781,34,Figure ,None
42781,35,Summary Map,None
42781,36,A,None
42781,37,List of Tables,None
42781,38,Page,None
42781,39,Table ,None
42781,40,Tenement Details,None
42781,42,Table ,None
42781,43,Lithostratigraphic and geophysical comparison between the,None
42781,44,Soldiers Cap Group and Fullarton River Group,None
42781,46,Table ,None
42781,47,Description of Target Areas,None
42781,49,List of Appendices,None
42781,50,Appendix ,None
42781,51,Ground Gravity Data,None
43505,0,TABLE OF CONTENTS,None
43505,1,Page,None
43505,3,Introduction,Intro
43505,5, Tenure,None
43505,7, Geology,None
43505,10,Exploration Completed,None
43505,12, Airborne Electromagnetics AEM,None
43505,14, Results,None
43505,16, Conclusions,None
43505,19,References,None
43505,21,List of Figures,None
43505,22,Page,None
43505,23,Figure  Tenement Location Map,None
43505,25,Figure  Airborne EM Lines over Aeromagnetics,None
43505,27,Figure  Conductivity depth images for EPM,None
43505,29,Figure  Conductivity depth images for EPM,None
43505,31,List of Tables,None
43505,32,Page,None
43505,33,Table  Tenement Listing,None
43505,35,Table  Tenement Details,None
43505,37,Table ,None
43505,38,Georgetown Province LithoStratigraphy,None
43505,40,Table ,None
43505,41,Airborne Equipment Specifications,None
44387,0,TABLE OF CONTENTS,None
44387,1,Page,None
44387,3,INTRODUCTION,Intro
44387,6,TENURE,None
44387,9,GEOLOGY,None
44387,12,EXPLORATION WORK COMPLETED,Work
44387,15,CONCLUSION,None
44387,17,List of Figures,None
44387,18,Figure ,None
44387,19,Tenement Map,None
44387,20,List of Tables,None
44387,21,Page,None
44387,22,Table ,None
44387,23,Tenement Details,None
44387,25,Table ,None
44387,26,Subblock Details,None
45470,0,TABLE OF CONTENTS,None
45470,1,Page,None
45470,2, Introduction,Intro
45470,4, Tenure,None
45470,6, Geology,None
45470,8, Exploration work completed during the period,Work
45470,10,List of Figures,None
45470,11,Drawing No,None
45470,12,Figure  Location Tenement Map,None
45470,14,List of Tables,None
45470,15,Table ,None
45470,16,Tenement Details,None
45470,18,Table  EPM    Waterhole SubBlock Details,None
47884,0,TABLE OF CONTENTS,None
47884,1,Page,None
47884,2, Introduction,Intro
47884,4, Tenure,None
47884,6, Geology,None
47884,8, Exploration work completed during the period,Work
47884,10, Summary,None
47884,12,List of Figures,None
47884,13,Drawing No,None
47884,14,Figure  Location Tenement Map,None
47884,16,List of Tables,None
47884,17,Table ,None
47884,18,Tenement Details,None
52673,0,TABLE OF CONTENTS,None
52673,1,Page,None
52673,3,INTRODUCTION,Intro
52673,6,TENURE,None
52673,9,GEOLOGY,None
52673,12,EXPLORATION WORK COMPLETED and CONCLUSION,Work
52673,14,List of Figures,None
52673,15,Drawing No,None
52673,16,Figure ,None
52673,17,Location Map,None
52673,18,List of Tables,None
52673,19,Page,None
52673,20,Table ,None
52673,21,Tenement Details,None
53638,0,IABLE OF CONTENTS,None
53638,1,Page,None
53638,2, Introduction,Intro
53638,4, Tenure,None
53638,6, Geology,None
53638,8, Exploration work completed during the period,Work
53638,10,Introduction,Intro
53638,12,Cultura Heritage Clearance,None
53638,14,Drilling,None
53638,16,Geochemistry,None
53638,18,Geophysics,None
53638,20, Conclusions,None
53638,22,List of Figures,None
53638,23,Drawing No,None
53638,24,Figure  Location Tenement Map,None
53638,26,Figure ,None
53638,27,Summary Map,None
53638,29,List of Tables,None
53638,30,Table ,None
53638,31,Tenement Details,None
53638,33,Table ,None
53638,34,EPM  Teck Cominco  BHPB SubBlock Details,None
53638,36,Table ,None
53638,37,Target Details,None
53638,39,List of Appendices,None
53638,40,Appendix ,None
53638,41,Analytical Results,None
56500,0,TIABLE OF CONTENTS,None
56500,1,Page,None
56500,2, Introduction,Intro
56500,4, Tenure,None
56500,6, Geology,None
56500,8, Exploration Work Completed,Work
56500,11,Cultural Heritage Clearance,None
56500,14,Drilling,None
56500,17,Geochemical Sampling,None
56500,19, Conclusions,None
56500,21,List of Figures,None
56500,22,Figure  Tenement Location Map,None
56500,24,Figure ,None
56500,25,Drill Collar Locations,None
56500,27,List of Tables,None
56500,28,Table ,None
56500,29,Tenement Details,None
56500,31,Table ,None
56500,32,Drill Hole Details,None
56500,34,List of Appendices,None
56500,35,Appendix  Dril Hole Details and Geological Logs,None
56500,36,Appendix  Drilling Geochemical Results,None
56628,0,TABLE OF CONTENTS,None
56628,1,Page,None
56628,2, Introduction,Intro
56628,4, Tenure,None
56628,6, Geology,None
56628,8, Exploration work completed during the period,Work
56628,10, Conclusions,None
56628,12,List of Figures,None
56628,13,Figure  Tenement Location Map,None
56628,15,List of Tables,None
56628,16,Table ,None
56628,17,Tenement Details,None
56628,19,Table ,None
56628,20,Lithostratigraphic and geophysical comparison between the Soldiers,None
56628,21,Cap Group and Fullarton River Group,None
57048,0,TABLE OF CONTENTS,None
57048,1,Page No,None
57048,2, Introduction,Intro
57048,4, Tenure,None
57048,6, Geology,None
57048,8, Exploration work completed during the period,Work
57048,10, Conclusion,None
57048,12,List of Tables,None
57048,13,Table ,None
57048,14,Tenement Details,None
57048,16,Table ,None
57048,17,EPM  Strathfield  SubBlock Details,None
57048,19,Table  EPM  Strathfield  SubBlock Reduction Details,None
57048,21,List of Figures,None
57048,22,Figure  Tenement Location Map,None
57048,24,Figure ,None
57048,25,Tenement Relinquishment Map,None
57418,0,BMA,None
57418,1,BHP Billiton Mitsubishi Alliance,None
57418,2,TABLE OF CONTENTS,None
57418,3, Introduction,Intro
57418,6,Previous Exploration,None
57418,9,Historical Exploration,None
57418,12,Work Programme Year ,Work
57418,14, Geology,None
57418,16, Stratigraphy,None
57418,18, Structure,None
57418,21,Future Exploration Plans,None
57418,23, References,None
57418,25,List of Tables,None
57418,26,Table   Field Acquisition,None
57418,28,List of Figures,None
57418,29,Figure   Location Map,None
57418,31,Figure   Map showing seismic lines,None
57418,33,Appendices,None
57418,34,Appendix   Tartarus Subblock,None
57418,35,Appendix   Tartarus Geology Summary Map,None
57418,36,Appendix   South Cockenzie EPC Lotus Park EPC Falcon Downs and,None
57418,37,EPC  Tartarus Photogeological Interpretation for BHP Billiton,None
57418,38,Mitsubishi Alliance Final Report September ,None
57418,39,Appendix   Regional AeroGeophysical Interpretation of Cockenzie  Cockenzie,None
57418,40,South Projects EPCs      Queensland,None
57418,41,Final Report September ,None
57418,42,Appendix   Petrographic report of outcrop samples,None
63707,0,TABLE OF CONTENTS,None
63707,1,Page,None
63707,3,INTRODUCTION,Intro
63707,6,TENURE,None
63707,9,GEOLOGY,None
63707,12,EXPLORATION WORK COMPLETED,Work
63707,15,CONCLUSION,None
63707,17,List of Figures,None
63707,18,Figure ,None
63707,19,Location Map,None
63707,21,List of Tables,None
63707,22,Page,None
63707,23,Table ,None
63707,24,Tenement Details,None
63707,26,Table ,None
63707,27,Comparison of Soldiers Cap  Fullarton River Groups,None
67792,0,TABLE OF CONTENTS,None
67792,1,Page,None
67792,3,INTRODUCTION,Intro
67792,6,TENURE,None
67792,9,GEOLOGY,None
67792,12,EXPLORATION WORK COMPLETED,Work
