original,transformed,tag
"CR 11052 	Page 3",word bigNum tab page smallNum ,1
"CR 10778 	Page 1",word bigNum tab page smallNum ,1
"CR 11052 	Page 1",word bigNum tab page smallNum ,1
"CR 11052 	Page 5",word bigNum tab page smallNum ,1
"CR 10911 	Page 1",word bigNum tab page smallNum ,1
"CR 10819 	Page 1",word bigNum tab page smallNum ,1
Page 1 of 1,page smallNum word smallNum ,1
"CR 10778 	Page 3",word bigNum tab page smallNum ,1
"CR 10819 	Page 2",word bigNum tab page smallNum ,1
"CR 10778 	Page 2",word bigNum tab page smallNum ,1
"CR 10819 	Page 3",word bigNum tab page smallNum ,1
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
"CR 10819 	Page 4",word bigNum tab page smallNum ,1
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
"CR 10861 	Page 2",word bigNum tab page smallNum ,1
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
Bm090401t.doc,mix word ,0
"CR 10778 	Page 4",word bigNum tab page smallNum ,1
Bm090401t.doe,mix word ,0
"CR 10819 	Page 5",word bigNum tab page smallNum ,1
Bm090401t.doc,mix word ,0
1,smallNum ,1
2,smallNum ,1
Page 6,page smallNum ,1
3,smallNum ,1
Page 10,page smallNum ,1
Page 3,page smallNum ,1
Page 4,page smallNum ,1
Page 1,page smallNum ,1
Page 7,page smallNum ,1
5,smallNum ,1
Page 2,page smallNum ,1
4,smallNum ,1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	2",mix word smallNum word word word smallNum tab smallNum ,1
"EPC1163 Tartarus 12 Monthly Report Year 1 	7",mix word smallNum word word word smallNum tab smallNum ,1
"EPC1163 Tartarus 12 Monthly Report Year 1 	8",mix word smallNum word word word smallNum tab smallNum ,1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	4",mix word smallNum word word word smallNum tab smallNum ,1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	3",mix word smallNum word word word smallNum tab smallNum ,1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	9",mix word smallNum word word word smallNum tab smallNum ,1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	6",mix word smallNum word word word smallNum tab smallNum ,1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	10",mix word smallNum word word word smallNum tab smallNum ,1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	5",mix word smallNum word word word smallNum tab smallNum ,1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	1",mix word smallNum word word word smallNum tab smallNum ,1
"APRIL, 2009 	1",month bigNum tab smallNum ,1
"EPM 10628 	1 	September 1998",word bigNum tab smallNum tab month bigNum ,1
Page 16,page smallNum ,1
"C.R 7005 	Page 13",word word bigNum tab page smallNum ,1
"C.R. 7005 	Page 7",word word bigNum tab page smallNum ,1
"C.R 7005 	Page 14",word word bigNum tab page smallNum ,1
"C.R. 7005 	Page 9",word word bigNum tab page smallNum ,1
"C.R. 7005 	Page 3",word word bigNum tab page smallNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	16 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	15 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	14 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	12 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"CR 10352 - EPM 11217 South Palmer River 	1 	November 2001",word bigNum word bigNum word word word tab smallNum tab month bigNum ,1
"C.R. 7005 	Page 2",word word bigNum tab page smallNum ,1
"CR 10352 - EPM 11217 South Palmer River 	4 	November 2001",word bigNum word bigNum word word word tab smallNum tab month bigNum ,1
"Urandangi Project Annual Report 	3 	September 1998",word word word word tab smallNum tab month bigNum ,1
"EPM 9526 	1 	July 1994",word bigNum tab smallNum tab month bigNum ,1
"EPM 9526 	4 	July 1994",word bigNum tab smallNum tab month bigNum ,1
"C. R. 7005 	Page 15",word word bigNum tab page smallNum ,1
"EPM 9526 	7 	July 1994",word bigNum tab smallNum tab month bigNum ,1
"EPM 9526 	July 1994",word bigNum tab month bigNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab month bigNum ,0
"C.R. 7005 	Page 10",word word bigNum tab page smallNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	13 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	6 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"C.R. 7005 	Page 11",word word bigNum tab page smallNum ,1
"CR 10352 -- EPM 11217 South Palmer River 	3 	November 2001",word bigNum word bigNum word word word tab smallNum tab month bigNum ,1
"EPM 9526 	July 1994",word bigNum tab month bigNum ,0
"EPMs 9348, 9913, 9914, 9941 & 10416 	7 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,0
"CR 10352 - EPM 11217 South Palmer River 	November 2001",word bigNum word bigNum word word word tab month bigNum ,0
"EPM 9526 	July 1994",word bigNum tab month bigNum ,0
"EPMs 9348, 9913, 9914, 9941 & 10416 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab month bigNum ,0
"EPMs 9348, 9913, 9914, 9941 & 10416 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab month bigNum ,0
"EPM 10628 	5 	September 1998",word bigNum tab smallNum tab month bigNum ,1
"EPM 9526 	6 	July 1994",word bigNum tab smallNum tab month bigNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab month bigNum ,0
"EPMs 9348, 9913, 9914, 9941 & 10416 	3 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	2 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"C.R. 7005 	Page 6",word word bigNum tab page smallNum ,1
"CR 10352 EPM 11217 South Palmer River 	2 	November 2001",word bigNum word bigNum word word word tab smallNum tab month bigNum ,1
"EPM 9526 	8 	July 1994",word bigNum tab smallNum tab month bigNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	4 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	11 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	1 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"EPM 10628 	4 	September 1998",word bigNum tab smallNum tab month bigNum ,1
"C.R. 7005 	Page 5",word word bigNum tab page smallNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	9 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"C.R 7005 	Page 1",word word bigNum tab page smallNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab month bigNum ,0
"EPM 10778 	3 	August 1996",word bigNum tab smallNum tab month bigNum ,1
"EPM 10778 	August 1996",word bigNum tab month bigNum ,0
"EPMs 9348, 9913, 9914, 9941 & 10416 	8 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"EPM 9526 	2 	July 1994",word bigNum tab smallNum tab month bigNum ,1
"EPMs 8662,8688, 8734 	11 	15 February 1996",word bigNum bigNum bigNum tab smallNum tab smallNum month bigNum ,1
"EPM 9526 	5 	July 1994",word bigNum tab smallNum tab month bigNum ,1
"C.R. 7005 	Page 12",word word bigNum tab page smallNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	5 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"EPM 10628 	2 	September 1998",word bigNum tab smallNum tab month bigNum ,1
"EPM 9335 	June 1995",word bigNum tab month bigNum ,0
"EPM 9526 	3 	July 1994",word bigNum tab smallNum tab month bigNum ,1
"C. R 7005 	Page 4",word word bigNum tab page smallNum ,1
"EPM 10777 	April 1996",word bigNum tab month bigNum ,0
"EPM 10628 	September 1998",word bigNum tab month bigNum ,0
"EPM 10628 	3 	September 1998",word bigNum tab smallNum tab month bigNum ,1
"CR 10352 - EPM 11217 South Palmer River 	November 2001",word bigNum word bigNum word word word tab month bigNum ,0
"EPM 9873 	January 1995",word bigNum tab month bigNum ,0
"EPM 10777 	April 1996",word bigNum tab month bigNum ,0
"C.R 7005 	Page 8",word word bigNum tab page smallNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	10 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab smallNum tab month bigNum ,1
"EPM 10778 	August 1996",word bigNum tab month bigNum ,0
"EPM 10777 	April 1996",word bigNum tab month bigNum ,0
"Urandangi Project Annual Report 	September 1998",word word word word tab month bigNum ,0
"Urandangi Project Annual Report 	2 	September 1998",word word word word tab smallNum tab month bigNum ,1
"EPM 10778 	1 	August 1996",word bigNum tab smallNum tab month bigNum ,1
"EPM 10628 	September 1998",word bigNum tab month bigNum ,0
"EPM 10778 	2 	August 1996",word bigNum tab smallNum tab month bigNum ,1
"EPM 10777 	2 	April 1996",word bigNum tab smallNum tab month bigNum ,1
"EPM 8440 	December 1995",word bigNum tab month bigNum ,0
"EPMs 8913, 10435 Sandy Creek JV 	1 	November 1997",word bigNum bigNum word word word tab smallNum tab month bigNum ,1
"EPMs 8662,8688, 8734 	10 	15 February 1996",word bigNum bigNum bigNum tab smallNum tab smallNum month bigNum ,1
Urandangi Project Annual Report,word word word word ,0
"CR 10157 - EPM 7786 Longford 	10 	March 2001",word bigNum word bigNum word tab smallNum tab month bigNum ,1
"EPM 9873 	January 1995",word bigNum tab month bigNum ,0
"CR 10157 - EPM 7786 Longford 	March 2001",word bigNum word bigNum word tab month bigNum ,0
"EPM 10777 	1 	April 1996",word bigNum tab smallNum tab month bigNum ,1
"CR 10157 - EPM 7786 Longford 	11 	March 2001",word bigNum word bigNum word tab smallNum tab month bigNum ,1
"EPMs 8662, 8688, 8734 	5 	15 February 1996",word bigNum bigNum bigNum tab smallNum tab smallNum month bigNum ,1
"EPM 9750 	January 1995",word bigNum tab month bigNum ,0
"Police Creek Annual Report 	1 	June 1997",word word word word tab smallNum tab month bigNum ,1
"CR 10157 - EPM 7786 Longford 	1 	March 2001",word bigNum word bigNum word tab smallNum tab month bigNum ,1
"EPMs 8662, 8688, 8734 	15 February 1996",word bigNum bigNum bigNum tab smallNum month bigNum ,1
"EPMs 8913, 10435 Sandy Creek JV 	November 1997",word bigNum bigNum word word word tab month bigNum ,0
"CR 10157 - EPM 7786 Longford 	6 	March 2001",word bigNum word bigNum word tab smallNum tab month bigNum ,1
"EPMs 8913, 10435 Sandy Creek JV 	2 	November 1997",word bigNum bigNum word word word tab smallNum tab month bigNum ,1
"Police Creek Annual Report 	June 1997",word word word word tab month bigNum ,0
"EPM 9873 	January 1995",word bigNum tab month bigNum ,0
"EPM 9335 	June 1995",word bigNum tab month bigNum ,0
"EPMs 8913, 10435 Sandy Creek JV 	November 1997",word bigNum bigNum word word word tab month bigNum ,0
"EPM 9873 	3 	January 1995",word bigNum tab smallNum tab month bigNum ,1
"EPMs 8662, 8688, 8734 	15 February 1996",word bigNum bigNum bigNum tab smallNum month bigNum ,1
"CR 10157 - EPM 7786 Longford 	7 	March 2001",word bigNum word bigNum word tab smallNum tab month bigNum ,1
"EPM 9216 	February 1995",word bigNum tab month bigNum ,0
"Jolimont Joint Venture 	July 1999",word word word tab month bigNum ,0
"CR 10157 EPM 7786 Longford 	March 2001",word bigNum word bigNum word tab month bigNum ,0
"CR 10157 - EPM 7786 Longford 	3 	March 2001",word bigNum word bigNum word tab smallNum tab month bigNum ,1
"CR 10157 - EPM 7786 Longford 	12 	March 2001",word bigNum word bigNum word tab smallNum tab month bigNum ,1
"EPMs 8662,8688, 8734 	8 	15 February 1996",word bigNum bigNum bigNum tab smallNum tab smallNum month bigNum ,1
"Police Creek Annual Report 	June 1997",word word word word tab month bigNum ,0
"CR 10157 - EPM 7786 Longford 	2 	March 2001",word bigNum word bigNum word tab smallNum tab month bigNum ,1
"EPMs 8662, 8688, 8734 	2 	15 February 1996",word bigNum bigNum bigNum tab smallNum tab smallNum month bigNum ,1
"EPMs 8662, 8688, 8734 	7 	15 February 1996",word bigNum bigNum bigNum tab smallNum tab smallNum month bigNum ,1
"EPM 9873 	6 	January 1995",word bigNum tab smallNum tab month bigNum ,1
"Urandangi Project Annual Report 	September 1998",word word word word tab month bigNum ,0
"EPM 8440 	4 	December 1995",word bigNum tab smallNum tab month bigNum ,1
"Urandangi Project Annual Report 	1 	September 1998",word word word word tab smallNum tab month bigNum ,1
"EPMs 8662, 8688, 8734 	15 February 1996",word bigNum bigNum bigNum tab smallNum month bigNum ,1
"EPM 9873 	5 	January 1995",word bigNum tab smallNum tab month bigNum ,1
"CR 10157 - EPM 7786 Longford 	5 	March 2001",word bigNum word bigNum word tab smallNum tab month bigNum ,1
"EPM 9873 	4 	January 1995",word bigNum tab smallNum tab month bigNum ,1
"EPMs 8662, 8688, 8734 	1 	15 February 1996",word bigNum bigNum bigNum tab smallNum tab smallNum month bigNum ,1
"EPM 9873 	2 	January 1995",word bigNum tab smallNum tab month bigNum ,1
"Police Creek Annual Report 	2 	June 1997",word word word word tab smallNum tab month bigNum ,1
"Jolimont Joint Venture 	3 	July 1999",word word word tab smallNum tab month bigNum ,1
"Police Creek Annual Report 	11 	June 1997",word word word word tab smallNum tab month bigNum ,1
"EPM 9335 	5 	June 1995",word bigNum tab smallNum tab month bigNum ,1
"Police Creek Annual Report 	5 	June 1997",word word word word tab smallNum tab month bigNum ,1
"EPM 9335 	6 	June 1995",word bigNum tab smallNum tab month bigNum ,1
"Jolimont Joint Venture 	2 	July 1999",word word word tab smallNum tab month bigNum ,1
"EPMs 8662, 8688, 8734 	6 	15 February 1996",word bigNum bigNum bigNum tab smallNum tab smallNum month bigNum ,1
"EPM 8440 	3 	December 1995",word bigNum tab smallNum tab month bigNum ,1
"Police Creek Annual Report 	10 	June 1997",word word word word tab smallNum tab month bigNum ,1
"EPMs 8913, 10435 Sandy Creek JV 	4 	November 1997",word bigNum bigNum word word word tab smallNum tab month bigNum ,1
"EPM 9873 	1 	January 1995",word bigNum tab smallNum tab month bigNum ,1
"EPM 8440 	December 1995",word bigNum tab month bigNum ,0
"EPM 9335 	1 	June 1995",word bigNum tab smallNum tab month bigNum ,1
"EPM 9335 	2 	June 1995",word bigNum tab smallNum tab month bigNum ,1
"EPMs 8662, 8688, 8734 	4 	15 February 1996",word bigNum bigNum bigNum tab smallNum tab smallNum month bigNum ,1
"Police Creek Annual Report 	3 	June 1997",word word word word tab smallNum tab month bigNum ,1
"Police Creek Annual Report 	4 	June 1997",word word word word tab smallNum tab month bigNum ,1
"EPM 9335 	June 1995",word bigNum tab month bigNum ,0
"EPMs 7668 and 7669 Alexandra and Coolullah 	December 1997",word bigNum word bigNum word word word tab month bigNum ,0
"EPMs 8662, 8688, 8734 	3 	15 February 1996",word bigNum bigNum bigNum tab smallNum tab smallNum month bigNum ,1
"EPMs 8662,8688, 8734 	9 	15 February 1996",word bigNum bigNum bigNum tab smallNum tab smallNum month bigNum ,1
"EPM 8440 	2 	December 1995",word bigNum tab smallNum tab month bigNum ,1
"EPM 7786 	2 	FEBRUARY 1993",word bigNum tab smallNum tab month bigNum ,1
"Cockenzie Project, Australia 	12/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	53/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	2/54",word word word tab smallNum smallNum ,1
"EPMs 9348, 9913, 9914, 9941 & 10416 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab month bigNum ,0
"CR 10352 - EPM 11217 South Palmer River 	November 2001",word bigNum word bigNum word word word tab month bigNum ,0
"Cockenzie Project, Australia 	37/54",word word word tab smallNum smallNum ,1
"EPMs 8913, 10435 Sandy Creek JV 	3 	November 1997",word bigNum bigNum word word word tab smallNum tab month bigNum ,1
"Cockenzie Project, Australia 	28/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	7/54",word word word tab smallNum smallNum ,1
"EPMs 7668 and 7669 Alexandra 	1 	December 1997",word bigNum word bigNum word tab smallNum tab month bigNum ,1
"EPM 8440 	December 1995",word bigNum tab month bigNum ,0
"EPM 7786 	1 	FEBRUARY 1993",word bigNum tab smallNum tab month bigNum ,1
"Cockenzie Project, Australia 	54/54",word word word tab smallNum smallNum ,1
BMA,word ,0
"Cockenzie Project, Australia 	21/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	11/54",word word word tab smallNum smallNum ,1
"EPMs 7668 and 7669 Alexandra 	3 	December 1997",word bigNum word bigNum word tab smallNum tab month bigNum ,1
"Cockenzie Project, Australia 	3/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	6/54",word word word tab smallNum smallNum ,1
"EPMs 7668 and 7669 Alexandra and Coolullah 	December 1997",word bigNum word bigNum word word word tab month bigNum ,0
"Cockenzie Project, Australia 	5/54",word word word tab smallNum smallNum ,1
"EPM 8440 	1 	December 1995",word bigNum tab smallNum tab month bigNum ,1
